p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.2484940797296214,0,3,1,1,0,0,on,2.8509123074393712e-05,178,85.47843170166016,-1.3434711694717407,-0.1088861152529716,3,0.2323639392852783,413.7367732524872,1691762948.424786,1691763361.9284334,0.1088861152529716,80632.78125,1.3434711694717407,11.54442310333252,85.47843170166016,88.62261199951172,85.84957885742188,False
Mish,0.2965010877665966,3,0,0,1,1,0,off,6.094108205310647e-05,43,65.86849212646484,-1.357615947723389,-0.1074602007865905,10,0.2400364875793457,106.51444005966188,1691762948.4324558,1691763054.7063663,0.1074602007865905,19179.7890625,1.357615947723389,11.815966606140137,65.86849212646484,79.2879409790039,65.38361358642578,False
ReLU,0.0027532655320256,3,3,1,3,3,0,off,0.0006265852957652,63,72.40477752685547,-0.9021813869476318,-0.1785650700330734,11,0.2406187057495117,154.99845385551453,1691762948.433041,1691763103.1904106,0.1785650700330734,28876.578125,0.9021813869476318,25.09904670715332,72.40477752685547,79.24349212646484,70.27467346191406,False
Hardswish,0.0344604503878068,3,1,2,4,0,4,off,3.4547792078172745e-05,60,82.798828125,-1.9350976943969729,-0.3586758077144623,12,0.2355375289916992,257.8999710083008,1691762948.427959,1691763206.0918894,0.3586758077144623,49456.3984375,1.9350976943969729,47.34657287597656,82.798828125,92.57787322998048,83.28392028808594,False
ReLU,0.0463696916313767,0,2,3,0,1,1,off,1.2014684435377632e-05,63,79.89054107666016,-0.6887669563293457,-0.3522740602493286,15,0.2384212017059326,116.41141676902772,1691762948.4308405,1691763064.6033633,0.3522740602493286,21158.966796875,0.6887669563293457,47.62570190429688,79.89054107666016,87.51469421386719,79.91974639892578,False
Mish,0.1317934809846203,1,1,1,3,1,3,off,0.0007227660901664,76,10.911595344543455,-1.7301771640777588,-0.1342290639877319,19,0.2401916980743408,259.42521142959595,1691762948.4326143,1691763207.617143,0.1342290639877319,49760.3984375,1.7301771640777588,15.056684494018556,10.911595344543455,11.734219551086426,11.012762069702148,False
ReLU,0.001594019122226,3,2,2,4,1,2,off,0.0004293812857368,11,54.710426330566406,-1.8343106508255005,-0.8153021335601807,2,0.2305145263671875,55.33213686943054,1691762948.422938,1691763003.5240676,0.8153021335601807,8952.4130859375,1.8343106508255005,114.40196228027344,54.710426330566406,59.71057891845703,55.19712066650391,False
Hardswish,0.0319389705051031,3,3,2,1,3,2,off,1.307170728772891e-05,19,78.6749038696289,-1.2161535024642944,-0.6315794587135315,21,0.2417900562286377,70.42818117141724,1691762948.434207,1691763018.6201272,0.6315794587135315,11969.0625,1.2161535024642944,85.67240905761719,78.6749038696289,84.7353515625,78.43495178222656,False
ReLU,0.2596118674120599,0,3,1,3,4,2,on,4.883384359615342e-05,105,82.38092041015625,-1.5763171911239624,-0.3635333776473999,25,0.2491443157196045,374.28078269958496,1691762948.4415655,1691763322.4727364,0.3635333776473999,72731.65625,1.5763171911239624,51.94866180419922,82.38092041015625,86.85299682617188,82.7994384765625,False
Hardswish,0.2653034446087628,0,1,1,2,3,4,off,8.834423494877104e-05,129,83.20362854003906,-1.356373310089111,-0.3494320511817932,26,0.2507607936859131,385.3077974319458,1691762948.4431806,1691763333.4998653,0.3494320511817932,74937.3203125,1.356373310089111,47.28010940551758,83.20362854003906,93.49495697021484,83.74828338623047,False
ReLU,0.3053182096005767,0,1,0,2,0,4,on,2.552170409197391e-05,76,71.40410614013672,-1.1714335680007937,-0.333889752626419,27,0.253159761428833,193.7030026912689,1691762948.4455824,1691763141.894941,0.333889752626419,36616.328125,1.1714335680007937,42.73834609985352,71.40410614013672,68.11563873291016,71.79995727539062,False
ReLU,0.0064929260736925,4,0,0,1,1,4,off,2.0217490450271612e-05,132,66.19502258300781,-1.5141748189926147,-0.0659567639231681,30,0.2583706378936767,370.5583367347718,1691762948.4507897,1691763318.7502806,0.0659567639231681,71987.0703125,1.5141748189926147,7.881308555603027,66.19502258300781,74.29163360595703,66.3515396118164,False
Mish,0.052627711905234,1,0,4,3,4,0,on,9.460669095733687e-05,45,59.18307113647461,-2.2567250728607178,-0.111191064119339,32,0.2640666961669922,219.7038552761078,1691762948.4564877,1691763167.8957417,0.111191064119339,41815.7265625,2.2567250728607178,11.75980281829834,59.18307113647461,59.10172271728515,58.141357421875,False
Hardswish,0.052538847842193,4,1,3,4,2,0,on,1.0724202095130975e-05,36,74.8840560913086,-1.8828074932098389,-0.3552028238773346,35,0.2675426006317138,150.6020975112915,1691762948.4599595,1691763098.794033,0.3552028238773346,28015.65234375,1.8828074932098389,46.53783416748047,74.8840560913086,72.87018585205078,74.30805206298828,False
Mish,0.00393421842066,1,4,2,0,2,2,off,0.0007417247887833,10,64.82611846923828,-3.3419783115386963,-0.7834938168525696,36,0.2696144580841064,69.94512271881104,1691762948.4620352,1691763018.1370654,0.7834938168525696,11873.904296875,3.3419783115386963,113.53324127197266,64.82611846923828,69.93598937988281,64.21603393554688,False
ReLU,0.0031069565108383,4,1,2,3,3,4,on,0.0003145865029046,84,79.07275390625,-2.011438131332397,-0.3602071404457092,39,0.2736496925354004,382.16209650039673,1691762948.466069,1691763330.3540502,0.3602071404457092,74308.546875,2.011438131332397,52.12788772583008,79.07275390625,78.68278503417969,79.40432739257812,False
