p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.2484940797296214,0,3,1,1,0,0,on,2.8509123074393712e-05,178,85.47843170166016,-1.3434711694717407,-0.1088861152529716,31,0.3974766731262207,418.7038724422455,1691664693.1494596,1691665111.4543557,0.1088861152529716,80632.78125,1.3434711694717407,11.54442310333252,85.47843170166016,88.62261199951172,85.84957885742188,False
Hardswish,0.0344604503878068,3,1,2,4,0,4,off,3.4547792078172745e-05,60,82.798828125,-1.9350976943969729,-0.3586758077144623,0,0.3578314781188965,262.8324382305145,1691664693.109824,1691664955.5839365,0.3586758077144623,49456.3984375,1.9350976943969729,47.34657287597656,82.798828125,92.57787322998048,83.28392028808594,False
Mish,0.2965010877665966,3,0,0,1,1,0,off,6.094108205310647e-05,43,65.86849212646484,-1.357615947723389,-0.1074602007865905,17,0.3673427104949951,111.42612910270692,1691664693.1193025,1691664804.1776252,0.1074602007865905,19179.7890625,1.357615947723389,11.815966606140137,65.86849212646484,79.2879409790039,65.38361358642578,False
Mish,0.052627711905234,1,0,4,3,4,0,on,9.460669095733687e-05,45,59.18307113647461,-2.2567250728607178,-0.111191064119339,20,0.3621211051940918,224.61901426315308,1691664693.114081,1691664917.3697226,0.111191064119339,41815.7265625,2.2567250728607178,11.75980281829834,59.18307113647461,59.10172271728515,58.141357421875,False
Mish,0.1317934809846203,1,1,1,3,1,3,off,0.0007227660901664,76,10.911595344543455,-1.7301771640777588,-0.1342290639877319,22,0.3622035980224609,264.34268283843994,1691664693.1141646,1691664957.093307,0.1342290639877319,49760.3984375,1.7301771640777588,15.056684494018556,10.911595344543455,11.734219551086426,11.012762069702148,False
Hardswish,0.2653034446087628,0,1,1,2,3,4,off,8.834423494877104e-05,129,83.20362854003906,-1.356373310089111,-0.3494320511817932,24,0.3617758750915527,390.2220940589905,1691664693.1137345,1691665082.973595,0.3494320511817932,74937.3203125,1.356373310089111,47.28010940551758,83.20362854003906,93.49495697021484,83.74828338623047,False
ReLU,0.3053182096005767,0,1,0,2,0,4,on,2.552170409197391e-05,76,71.40410614013672,-1.1714335680007937,-0.333889752626419,26,0.3881239891052246,198.62027525901792,1691664693.1400826,1691664891.3717675,0.333889752626419,36616.328125,1.1714335680007937,42.73834609985352,71.40410614013672,68.11563873291016,71.79995727539062,False
Mish,0.4962767296207441,1,4,0,4,4,3,on,0.0006042132946681,9,47.79376220703125,-2.7471954822540283,-0.105062298476696,27,0.3908188343048096,63.77351212501526,1691664693.1427815,1691664756.5242956,0.105062298476696,9652.4814453125,2.7471954822540283,11.892138481140137,47.79376220703125,55.7925910949707,50.30040740966797,False
ReLU,0.2596118674120599,0,3,1,3,4,2,on,4.883384359615342e-05,105,82.38092041015625,-1.5763171911239624,-0.3635333776473999,29,0.3939685821533203,379.2189643383026,1691664693.1459315,1691665071.9695525,0.3635333776473999,72731.65625,1.5763171911239624,51.94866180419922,82.38092041015625,86.85299682617188,82.7994384765625,False
ReLU,0.001594019122226,3,2,2,4,1,2,off,0.0004293812857368,11,54.710426330566406,-1.8343106508255005,-0.8153021335601807,3,0.357837438583374,60.25846028327942,1691664693.109837,1691664753.0090292,0.8153021335601807,8952.4130859375,1.8343106508255005,114.40196228027344,54.710426330566406,59.71057891845703,55.19712066650391,False
Mish,0.0182677231455133,4,0,3,0,4,0,on,3.0846257060806685e-05,31,50.521751403808594,-2.5819525718688965,-0.1062180250883102,34,0.4013102054595947,167.91574335098267,1691664693.1532712,1691664860.6672103,0.1062180250883102,30483.4375,2.5819525718688965,11.858379364013672,50.521751403808594,54.98334884643555,52.69268035888672,False
ReLU,0.0463696916313767,0,2,3,0,1,1,off,1.2014684435377632e-05,63,79.89054107666016,-0.6887669563293457,-0.3522740602493286,35,0.403282880783081,121.2931423187256,1691664693.1552448,1691664814.0446446,0.3522740602493286,21158.966796875,0.6887669563293457,47.62570190429688,79.89054107666016,87.51469421386719,79.91974639892578,False
ReLU,0.0027532655320256,3,3,1,3,3,0,off,0.0006265852957652,63,72.40477752685547,-0.9021813869476318,-0.1785650700330734,36,0.4180693626403808,159.91786313056946,1691664693.170032,1691664852.6693552,0.1785650700330734,28876.578125,0.9021813869476318,25.09904670715332,72.40477752685547,79.24349212646484,70.27467346191406,False
Hardswish,0.0319389705051031,3,3,2,1,3,2,off,1.307170728772891e-05,19,78.6749038696289,-1.2161535024642944,-0.6315794587135315,37,0.4179301261901855,75.34578585624695,1691664693.1699018,1691664768.0962398,0.6315794587135315,11969.0625,1.2161535024642944,85.67240905761719,78.6749038696289,84.7353515625,78.43495178222656,False
ReLU,0.0031069565108383,4,1,2,3,3,4,on,0.0003145865029046,84,79.07275390625,-2.011438131332397,-0.3602071404457092,38,0.4182078838348388,387.0773208141327,1691664693.1701798,1691665079.8288095,0.3602071404457092,74308.546875,2.011438131332397,52.12788772583008,79.07275390625,78.68278503417969,79.40432739257812,False
ReLU,0.0064929260736925,4,0,0,1,1,4,off,2.0217490450271612e-05,132,66.19502258300781,-1.5141748189926147,-0.0659567639231681,39,0.418226957321167,375.4749858379364,1691664693.1701996,1691665068.226434,0.0659567639231681,71987.0703125,1.5141748189926147,7.881308555603027,66.19502258300781,74.29163360595703,66.3515396118164,False
ReLU,0.0032355580587476,3,4,2,2,3,3,on,0.0007381218046942,80,80.57528686523438,-1.7976198196411133,-0.6356683373451233,41,63.95929789543152,399.5825524330139,1691664756.7112644,1691665092.3341105,0.6356683373451233,67099.828125,1.7976198196411133,88.29351806640625,80.57528686523438,82.56137084960938,79.95500946044922,False
Hardswish,0.0039838836442929,3,3,0,4,4,2,off,0.0006525725980897,43,78.41464233398438,-2.028728008270264,-0.3670162856578827,42,75.06643414497375,266.9834306240082,1691664767.8183975,1691664959.735016,0.3670162856578827,38358.6875,2.028728008270264,51.32807540893555,78.41464233398438,87.25985717773438,78.85324096679688,False
Mish,0.0027400098051597,1,4,3,2,1,1,off,0.0001092025614943,35,67.62102508544922,-2.439042091369629,-0.346074640750885,45,121.48258709907532,280.7931146621704,1691664814.2345495,1691664973.5446763,0.346074640750885,31856.916015625,2.439042091369629,46.47954559326172,67.62102508544922,69.96210479736328,70.67387390136719,False
ReLU,0.0654284028883169,4,3,4,1,0,1,on,1.8951967276757387e-05,29,45.56306457519531,-1.6804383993148804,-0.1075285300612449,46,155.80364179611206,250.96181082725525,1691664848.5556045,1691664943.7134252,0.1075285300612449,19007.8984375,1.6804383993148804,11.911696434020996,45.56306457519531,46.05667495727539,42.77815246582031,False
Mish,0.0010158900364105,2,0,0,1,0,3,on,0.0002568696222134,61,70.692626953125,-1.6976068019866943,-0.3426466286182403,47,160.10615706443787,371.7090716361999,1691664852.8581214,1691665064.4606538,0.3426466286182403,42295.76953125,1.6976068019866943,46.95475387573242,70.692626953125,69.38568878173828,72.7776107788086,False
ReLU,0.0013050915806381,0,0,4,0,3,0,off,1.0451849744224272e-05,66,46.3781852722168,-1.0581773519515991,-0.0956313535571098,49,199.0717089176178,331.4155848026276,1691664891.823665,1691665024.1671948,0.0956313535571098,26463.712890625,1.0581773519515991,11.65127944946289,46.3781852722168,48.990665435791016,41.89147567749024,False
ReLU,0.0201571139610551,1,2,4,0,1,3,off,1.0373095714894722e-05,57,80.64076232910156,-1.310092210769653,-0.3219175934791565,50,224.94637751579285,377.9389042854309,1691664917.698337,1691665070.690517,0.3219175934791565,30573.78125,1.310092210769653,45.50026321411133,80.64076232910156,91.04888153076172,80.26698303222656,False
Hardswish,0.052538847842193,4,1,3,4,2,0,on,1.0724202095130975e-05,36,74.8840560913086,-1.8828074932098389,-0.3552028238773346,6,0.3578288555145263,155.6169309616089,1691664693.1097991,1691664848.367411,0.3552028238773346,28015.65234375,1.8828074932098389,46.53783416748047,74.8840560913086,72.87018585205078,74.30805206298828,False
Mish,0.00393421842066,1,4,2,0,2,2,off,0.0007417247887833,10,64.82611846923828,-3.3419783115386963,-0.7834938168525696,9,0.3578758239746094,74.86867690086365,1691664693.1098428,1691664767.619372,0.7834938168525696,11873.904296875,3.3419783115386963,113.53324127197266,64.82611846923828,69.93598937988281,64.21603393554688,False
Hardswish,0.3212368998948774,0,4,4,2,1,2,off,0.0005126083682842,181,85.28236389160156,-1.824157953262329,-0.5708189606666565,64,419.06866979599,1152.3386583328247,1691665111.820634,1691665845.090163,0.5708189606666565,146629.25,1.824157953262329,79.0482177734375,85.28236389160156,99.20435333251952,84.70244598388672,False
Mish,0.6985415033787468,2,2,0,3,2,3,on,0.0008584071349421,62,61.8407096862793,-3.6442060470581055,-0.8344505429267883,1,0.3578321933746338,561.0788476467133,1691664693.1098309,1691665253.8303125,0.8344505429267883,109104.578125,3.6442060470581055,118.623779296875,61.8407096862793,74.84698486328125,63.7540168762207,False
Mish,0.0017368731157225,4,3,1,0,2,1,off,1.1119307824710916e-05,176,74.56768798828125,-2.295957326889038,-0.3512499928474426,10,0.3579635620117187,874.5475933551788,1691664693.109928,1691665567.299077,0.3512499928474426,171798.09375,2.295957326889038,48.69596099853515,74.56768798828125,91.26254272460938,77.47831726074219,False
ReLU,0.0060458641284363,3,2,0,4,0,1,on,1.2670241005831347e-05,176,84.31770324707031,-1.278962016105652,-0.3470833897590637,11,0.3580405712127685,498.38291811943054,1691664693.1100037,1691665191.1344547,0.3470833897590637,96568.4375,1.278962016105652,47.22687530517578,84.31770324707031,87.19719696044922,84.11981964111328,False
