p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.2484940797296214,0,3,1,1,0,0,on,2.8509123074393712e-05,178,85.47843170166016,-1.3434711694717407,-0.1088861152529716,130,0.7455379962921143,418.3601653575897,1691997748.766255,1691998166.379449,0.1088861152529716,80632.78125,1.3434711694717407,11.54442310333252,85.47843170166016,88.62261199951172,85.84957885742188,False
ReLU,0.0022494707274084,1,3,2,0,0,0,on,1.2307103176982856e-05,50,74.88172912597656,-0.7357594966888428,-0.3457490801811218,102,0.6957526206970215,107.57247138023376,1691997748.7164624,1691997855.5918343,0.3457490801811218,18481.873046875,0.7357594966888428,47.1158332824707,74.88172912597656,75.87296295166016,75.02580261230469,False
ReLU,0.0551604387073759,0,2,3,0,0,0,on,3.675161214632627e-05,94,80.23360443115234,-0.7049427032470703,-0.3478974401950836,103,0.6994524002075195,186.8028647899628,1691997748.7201624,1691997934.8231125,0.3478974401950836,34327.35546875,0.7049427032470703,47.47341537475586,80.23360443115234,82.34307098388672,79.07858276367188,False
Hardswish,0.5593772499189633,0,2,0,0,1,1,off,0.0003131889607055,162,81.00731658935547,-0.5168254971504211,-0.3419460952281952,105,0.7021574974060059,221.52502870559687,1691997748.7228706,1691997969.5443914,0.3419460952281952,41270.37109375,0.5168254971504211,42.78792953491211,81.00731658935547,88.41913604736328,80.79286193847656,False
ReLU,0.0064929260736925,4,0,0,1,1,4,off,2.0217490450271612e-05,132,66.19502258300781,-1.5141748189926147,-0.0659567639231681,106,0.7037198543548584,375.1078617572784,1691997748.7244294,1691998123.128112,0.0659567639231681,71987.0703125,1.5141748189926147,7.881308555603027,66.19502258300781,74.29163360595703,66.3515396118164,False
Hardswish,0.5340497754967969,1,3,3,4,1,3,on,2.2109254540077063e-05,73,79.0396957397461,-1.4120315313339231,-0.1577570438385009,107,0.7056751251220703,229.13172125816345,1691997748.7263882,1691997977.1519444,0.1577570438385009,42789.953125,1.4120315313339231,19.66133117675781,79.0396957397461,80.83480834960938,77.0322494506836,False
Hardswish,0.0024431013606454,4,2,0,3,3,3,on,4.96495088773708e-05,98,81.11571502685547,-1.5378146171569824,-0.3949239253997803,108,0.7073473930358887,358.0265374183655,1691997748.7280612,1691998106.046897,0.3949239253997803,68566.265625,1.5378146171569824,55.44751739501953,81.11571502685547,81.57227325439453,80.45658874511719,False
Hardswish,0.011437310785612,4,4,1,3,3,4,off,0.0002789986527,46,58.32122039794922,-2.3743045330047607,-0.1303523629903793,11,0.5556442737579346,240.8508825302124,1691997748.5763545,1691997988.8701255,0.1303523629903793,45136.57421875,2.3743045330047607,15.392495155334473,58.32122039794922,65.07679748535156,56.9674186706543,False
Mish,0.052627711905234,1,0,4,3,4,0,on,9.460669095733687e-05,45,59.18307113647461,-2.2567250728607178,-0.111191064119339,111,0.7121145725250244,224.2539186477661,1691997748.7328236,1691997972.2734768,0.111191064119339,41815.7265625,2.2567250728607178,11.75980281829834,59.18307113647461,59.10172271728515,58.141357421875,False
ReLU,0.0010223295510093,3,1,3,1,2,0,on,1.857304129937232e-05,180,77.59513854980469,-0.8463724851608276,-0.3525919318199157,113,0.7162880897521973,414.6318109035492,1691997748.737002,1691998162.6520505,0.3525919318199157,79900.8828125,0.8463724851608276,50.746055603027344,77.59513854980469,79.8067855834961,76.15909576416016,False
Hardswish,0.2001002157596226,4,1,0,1,1,1,off,0.0002172006463753,99,78.40140533447266,-0.9100185632705688,-0.0653151497244834,115,0.7195487022399902,188.75832676887512,1691997748.740261,1691997936.778535,0.0653151497244834,34716.4609375,0.9100185632705688,7.79571008682251,78.40140533447266,83.48699951171875,80.23506164550781,False
Hardswish,0.0206050340512835,0,2,3,0,1,1,off,0.0002980834049813,138,83.2490234375,-0.6747899651527405,-0.3500635027885437,120,0.7272346019744873,245.75839686393732,1691997748.7479455,1691997993.7779207,0.3500635027885437,46116.2109375,0.6747899651527405,47.241981506347656,83.2490234375,95.37843322753906,83.78717041015625,False
