p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Hardswish,0.10213481343926524,1,3,0,4,0,3,off,0.00013717269854754844,198,86.91291809082031,-1.180997371673584,-0.13452543318271637,82,0.8412373065948486,517.8026974201202,1692098701.9328098,1692099218.8935344,0.13452543318271637,100471.0546875,1.180997371673584,15.876849174499512,86.91291809082031,99.50234985351562,86.01216888427734
Hardswish,0.0118820014528699,4,4,1,1,4,1,on,2.0044607528664085e-05,60,56.26996612548828,-2.202956199645996,-0.06151067465543747,1,0.8315839767456055,274.71590781211853,1692098701.9231873,1692098975.806137,0.06151067465543747,51851.7890625,2.202956199645996,7.784430027008057,56.26996612548828,49.744083404541016,59.897762298583984
ReLU,0.001805033063702296,1,0,0,4,1,4,on,3.2432844979722426e-05,97,57.02972030639648,-1.5365562438964844,-0.06752839684486389,10,0.8316354751586914,279.5271816253662,1692098701.9232423,1692098980.61823,0.06752839684486389,52817.171875,1.5365562438964844,7.950642585754395,57.02972030639648,54.21674346923828,55.962284088134766
Hardswish,0.0012236763504114784,3,1,4,2,0,4,on,3.427106614636927e-05,84,71.1591567993164,-1.988013744354248,-0.35250139236450195,100,0.8580582141876221,367.0592608451843,1692098701.949624,1692099068.1503696,0.35250139236450195,70322.8359375,1.988013744354248,47.230072021484375,71.1591567993164,67.0354995727539,71.96562957763672
Hardswish,0.031242294510612275,0,4,3,2,1,0,off,2.688900417961672e-05,95,81.96407318115234,-1.3048532009124756,-0.35309815406799316,102,0.8619065284729004,287.29853796958923,1692098701.9534762,1692098988.3887277,0.35309815406799316,54369.87109375,1.3048532009124756,46.6206169128418,81.96407318115234,96.2945785522461,82.9669189453125
Mish,0.8306340336783231,4,4,3,4,3,0,off,7.372816718452996e-05,63,50.66716766357422,-3.6303279399871826,-0.13366328179836273,103,0.8639960289001465,496.8464937210083,1692098701.955566,1692099197.9375837,0.13366328179836273,96278.0859375,3.6303279399871826,15.911848068237305,50.66716766357422,69.9089126586914,47.89036178588867
ReLU,0.39320974427502303,1,0,1,4,2,1,on,0.0004246520512985604,137,10.648890495300291,-1.1734654903411863,-0.3188639283180237,105,0.8674747943878174,337.3476400375366,1692098701.959045,1692099038.4387426,0.3188639283180237,64380.765625,1.1734654903411863,43.16209030151367,10.648890495300291,11.332900047302246,7.535727024078369
Hardswish,0.045668075594360535,3,2,0,4,2,2,on,3.440275798201409e-05,65,87.40137481689453,-1.8128718137741089,-0.7972517609596252,106,0.8687620162963867,273.5385367870331,1692098701.960332,1692098974.6296186,0.7972517609596252,51617.2578125,1.8128718137741089,121.00060272216795,87.40137481689453,92.97940063476562,86.95654296875
ReLU,0.01999488160753604,2,1,1,3,0,0,on,0.0008342233362257795,172,87.97933959960938,-0.7464786767959595,-0.3434654176235199,107,0.8710894584655762,318.96492862701416,1692098701.9626558,1692099020.056035,0.3434654176235199,60703.64453125,0.7464786767959595,46.6280517578125,87.97933959960938,94.0503387451172,88.87733459472656
Hardswish,0.0875488622761106,1,0,3,2,1,3,on,0.00016092875176347795,177,87.75663757324219,-0.8722852468490601,-0.35906878113746643,109,0.8727610111236572,418.5573172569275,1692098701.964327,1692099119.647635,0.35906878113746643,80621.3828125,0.8722852468490601,51.346492767333984,87.75663757324219,91.83282470703124,86.61270904541016
