p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.001547663732505,4,2,4,4,1,1,off,6.485339288100594e-05,38,52.31085205078125,-3.0335352420806885,-0.3344070613384247,0,1691793996.3496234,1691794224.6681309,0.3344070613384247,44243.18359375,3.0335352420806885,43.35611724853516,52.31085205078125,54.51403427124024,49.619911193847656,False
Mish,0.5930072912680995,2,0,0,3,4,4,on,0.0006962887157877,199,80.73926544189453,-3.1165850162506104,-0.34424689412117,1,1691793996.6385076,1691795408.4179792,0.34424689412117,280992.9375,3.1165850162506104,47.27936553955078,80.73926544189453,86.44208526611328,82.54264068603516,False
ReLU,0.4157150370692146,3,0,4,2,1,1,off,0.0001128410743582,160,73.2424545288086,-1.3556454181671145,-0.3597210049629211,2,1691793996.6475298,1691794451.840187,0.3597210049629211,89677.21875,1.3556454181671145,47.55567169189453,73.2424545288086,83.19145965576172,71.15064239501953,False
Mish,0.20875080972321,0,2,1,0,2,0,on,1.5074543188124991e-05,32,77.75833129882812,-1.9569624662399288,-0.5568163394927979,3,1691793996.6537983,1691794124.5745802,0.5568163394927979,24224.076171875,1.9569624662399288,80.4836654663086,77.75833129882812,77.5716552734375,77.27882385253906,False
ReLU,0.0011344406107019,0,4,3,1,3,4,off,8.532774130395593e-05,184,72.5306625366211,-1.7267619371414185,-0.1296630352735519,4,1691794004.700108,1691794680.7249258,0.1296630352735519,134798.265625,1.7267619371414185,15.954338073730469,72.5306625366211,79.10340118408203,73.9711685180664,False
Hardswish,0.0540963413162237,3,1,4,2,4,1,off,0.000252616007023,168,80.61741638183594,-1.884971022605896,-0.3473984003067016,5,1691794004.680061,1691794654.267511,0.3473984003067016,129519.78125,1.884971022605896,46.85811996459961,80.61741638183594,98.63607025146484,80.59245300292969,False
ReLU,0.0084161546343712,2,0,2,2,2,1,on,0.0004109616219015,27,78.06668090820312,-1.3539186716079712,-0.992768168449402,6,1691794004.9702694,1691794093.0217383,0.992768168449402,17264.18359375,1.3539186716079712,153.2955780029297,78.06668090820312,78.223388671875,77.40531158447266,False
ReLU,0.0013581357830647,0,3,2,4,2,1,off,3.848671907918873e-05,43,71.61045837402344,-1.5612599849700928,-0.56391841173172,7,1691794004.7155862,1691794146.6826882,0.56391841173172,27995.515625,1.5612599849700928,82.9329605102539,71.61045837402344,78.86831665039062,72.85496520996094,False
ReLU,0.0098331368727662,1,2,0,0,3,2,off,7.342770159964527e-05,116,86.35612487792969,-0.9635474681854248,-0.5829496383666992,8,1691794004.754625,1691794274.164047,0.5829496383666992,53486.87109375,0.9635474681854248,82.78032684326172,86.35612487792969,99.53704071044922,85.87921142578125,False
ReLU,0.0038755251890945,3,4,2,1,1,0,off,0.0007804644704726,195,83.4543228149414,-1.2714252471923828,-0.3446308970451355,9,1691794004.812397,1691794558.6530578,0.3446308970451355,110384.265625,1.2714252471923828,47.07783889770508,83.4543228149414,99.17052459716795,83.19601440429688,False
Hardswish,0.0042787202850834,3,2,3,1,1,4,on,3.285017333315888e-05,135,84.75970458984375,-1.4796142578125,-0.3636921644210815,10,1691794004.8234088,1691794440.382377,0.3636921644210815,86749.2734375,1.4796142578125,50.49734115600586,84.75970458984375,88.60810852050781,85.72505950927734,False
ReLU,0.0107082740385183,4,1,3,0,2,1,off,0.0001242310834296,167,84.22373962402344,-1.298851490020752,-0.3486912250518799,11,1691794004.8431833,1691794480.8464878,0.3486912250518799,94818.2421875,1.298851490020752,47.48073196411133,84.22373962402344,98.58000183105467,83.79391479492188,False
Mish,0.248567109905936,0,0,0,0,1,0,on,4.028408844856256e-05,35,52.70796585083008,-0.7466695308685303,-0.0593443177640438,12,1691794004.97399,1691794060.150695,0.0593443177640438,10698.0888671875,0.7466695308685303,7.754978656768799,52.70796585083008,52.61090469360352,49.04070663452149,False
Hardswish,0.0736059212523098,0,2,0,4,0,2,off,0.0003182804054922,187,86.29476928710938,-1.3571757078170776,-0.5657714605331421,13,1691794004.966307,1691794553.2917392,0.5657714605331421,109320.25,1.3571757078170776,78.1332778930664,86.29476928710938,99.8597183227539,85.72573852539062,False
Hardswish,0.123459133882993,1,4,3,0,0,2,on,0.0005580440570226,14,65.1265640258789,-1.3367775678634644,-0.3496448993682861,14,1691794004.977601,1691794043.767341,0.3496448993682861,7424.21484375,1.3367775678634644,47.09704208374024,65.1265640258789,65.47315216064453,63.68233108520508,False
Mish,0.0038932434621499,0,0,4,2,2,4,off,1.430169396135184e-05,42,68.20836639404297,-3.609830379486084,-0.5771280527114868,15,1691794005.0006146,1691794305.306673,0.5771280527114868,59733.3515625,3.609830379486084,78.22891235351562,68.20836639404297,71.14403533935547,65.25193786621094,False
Mish,0.0045527998970605,4,2,3,1,1,3,on,0.0004554287451034,85,84.3746566772461,-2.8855690956115723,-0.3617490828037262,16,1691794005.1850216,1691794491.3321362,0.3617490828037262,96927.9296875,2.8855690956115723,50.47517776489258,84.3746566772461,86.60143280029297,85.31253051757812,False
ReLU,0.0809086745427525,2,4,3,1,2,2,off,1.7299752038837073e-05,19,74.77120971679688,-1.8277419805526731,-0.805299699306488,17,1691794005.2085783,1691794084.0396256,0.805299699306488,15473.8388671875,1.8277419805526731,121.95156860351562,74.77120971679688,80.67103576660156,75.59454345703125,False
Mish,0.1026939799651208,3,4,0,1,2,4,off,0.0002878518544394,138,77.68963623046875,-2.979341745376587,-0.3491361439228058,18,1691794005.2161987,1691794854.5793586,0.3491361439228058,169584.21875,2.979341745376587,47.07366180419922,77.68963623046875,96.65866088867188,75.351806640625,False
ReLU,0.0783900264393066,0,2,2,3,1,2,off,6.9952295550447e-05,16,74.12141418457031,-1.1572942733764648,-0.8223880529403687,19,1691794005.2239451,1691794051.8403518,0.8223880529403687,9047.3779296875,1.1572942733764648,116.05706024169922,74.12141418457031,76.06787872314453,72.2374496459961,False
Mish,0.9152290523844814,1,0,1,1,4,2,off,0.0003308337759869,105,69.1052474975586,-1.8182584047317505,-0.3529588282108307,20,1691794005.2315116,1691794380.0719905,0.3529588282108307,74680.734375,1.8182584047317505,42.37885284423828,69.1052474975586,87.99933624267578,65.07975006103516,False
ReLU,0.1378102037269449,4,0,1,4,4,1,on,0.0007550092214727,101,46.72624588012695,-2.109784841537476,-0.0572850368916988,21,1691794005.2354677,1691794438.7922037,0.0572850368916988,86423.2578125,2.109784841537476,7.741562843322754,46.72624588012695,52.855953216552734,49.62416458129883,False
Hardswish,0.6044093582153641,4,4,3,3,0,4,off,0.0001057781170349,7,35.53499984741211,-2.3043041229248047,-0.1366373747587204,22,1691794005.239195,1691794038.984277,0.1366373747587204,6478.408203125,2.3043041229248047,15.332547187805176,35.53499984741211,45.25110626220703,35.44382858276367,False
Hardswish,0.1059405455593384,1,4,4,1,4,0,on,6.012429703091252e-05,182,64.1198959350586,-2.082672357559204,-0.0711895003914833,23,1691794005.246928,1691794734.01021,0.0711895003914833,145470.015625,2.082672357559204,7.84604549407959,64.1198959350586,59.94482803344727,63.06237030029297,False
ReLU,0.0011224105531024,1,3,0,4,2,4,off,7.86855840391012e-05,48,62.652435302734375,-1.9520219564437864,-0.3436830341815948,24,1691794005.2550364,1691794199.1077025,0.3436830341815948,38476.67578125,1.9520219564437864,47.96025466918945,62.652435302734375,66.61872100830078,64.48792266845703,False
ReLU,0.0012188111185952,2,0,0,4,1,4,on,0.0001016235936527,178,72.1867446899414,-1.7913192510604858,-0.3227748274803161,25,1691794005.259068,1691794648.822121,0.3227748274803161,128425.921875,1.7913192510604858,43.53051376342773,72.1867446899414,67.10502624511719,76.55457305908203,False
Hardswish,0.001422641802429,1,2,2,1,1,4,off,0.000506847908759,30,71.733642578125,-1.521021842956543,-0.5703893899917603,26,1691794005.262211,1691794100.5931735,0.5703893899917603,18774.853515625,1.521021842956543,78.98931884765625,71.733642578125,78.31684875488281,73.73494720458984,False
Hardswish,0.1394855758940391,0,2,4,0,3,4,off,1.5494930678883973e-05,49,70.32966613769531,-1.969908356666565,-0.3419703841209411,27,1691794005.2691169,1691794197.182143,0.3419703841209411,38105.07421875,1.969908356666565,46.469017028808594,70.32966613769531,80.11166381835938,69.54606628417969,False
Hardswish,0.6478464479893824,1,3,0,0,2,0,off,0.0003266869097106,41,56.373138427734375,-0.7281773686408997,-0.3506903350353241,28,1691794005.273135,1691794072.830551,0.3506903350353241,13234.4033203125,0.7281773686408997,47.48452377319336,56.373138427734375,73.16505432128906,56.6589469909668,False
Hardswish,0.0148360951102487,2,0,3,4,3,2,on,7.19555415619018e-05,127,88.45927429199219,-1.6374257802963257,-0.5960395932197571,29,1691794005.2660947,1691794482.9336512,0.5960395932197571,95241.71875,1.6374257802963257,85.03463745117188,88.45927429199219,95.38518524169922,88.17190551757812,False
ReLU,0.2723469473747844,4,4,0,4,2,4,on,0.0003186362823018,33,35.34064102172852,-2.8912506103515625,-0.3292685151100158,30,1691794005.2771902,1691794211.0043242,0.3292685151100158,40854.80859375,2.8912506103515625,42.35061264038086,35.34064102172852,44.87990951538086,42.37110900878906,False
ReLU,0.0118898817054516,4,0,2,1,2,0,on,0.0006102899824697,121,85.73223114013672,-1.4500375986099243,-0.5523551106452942,31,1691794005.2812505,1691794382.2340567,0.5523551106452942,75113.2421875,1.4500375986099243,79.24395751953125,85.73223114013672,90.85204315185548,85.5202407836914,False
Hardswish,0.0667127354582959,2,2,1,2,4,3,on,4.9707579941916014e-05,81,86.06871795654297,-1.8483846187591555,-0.8055141568183899,32,1691794005.284802,1691794348.1799252,0.8055141568183899,68291.453125,1.8483846187591555,123.04167938232422,86.06871795654297,89.55543518066406,85.57290649414062,False
ReLU,0.0073967159770027,0,0,4,0,2,3,on,4.649156667973929e-05,155,85.61077117919922,-1.2449346780776978,-0.3399567008018493,33,1691794005.2882135,1691794442.2683582,0.3399567008018493,87109.1953125,1.2449346780776978,47.24625015258789,85.61077117919922,90.81023406982422,85.06443786621094,False
Hardswish,0.0487272841638521,4,1,4,2,4,4,off,6.359288237315467e-05,144,64.96414947509766,-3.07133150100708,-0.328460156917572,34,1691794005.29163,1691794898.5213394,0.328460156917572,178363.53125,3.07133150100708,43.10962677001953,64.96414947509766,75.349609375,66.05065155029297,False
ReLU,0.0029287371846993,4,2,0,4,1,2,off,1.362072861656136e-05,172,83.67095184326172,-2.0541577339172363,-0.5765643119812012,35,1691794005.2950602,1691794730.9934633,0.5765643119812012,144864.546875,2.0541577339172363,78.79425048828125,83.67095184326172,98.83966064453124,83.11500549316406,False
Mish,0.2667974196054286,2,0,3,4,0,2,off,7.234590990135347e-05,13,72.58020782470703,-2.961864233016968,-0.5658774375915527,36,1691794005.3022375,1691794087.936996,0.5658774375915527,16240.0634765625,2.961864233016968,82.58277893066406,72.58020782470703,75.42896270751953,72.34610748291016,False
ReLU,0.0076207739607535,4,3,4,1,0,0,off,2.11037552217496e-05,96,69.26084899902344,-1.733534574508667,-0.1131747439503669,37,1691794005.2990746,1691794316.910094,0.1131747439503669,62045.13671875,1.733534574508667,11.760187149047852,69.26084899902344,76.79104614257812,67.8743667602539,False
Hardswish,0.1227809327662979,4,4,4,2,3,3,off,0.0001327987940475,100,73.8552017211914,-2.622030019760132,-0.3734283745288849,38,1691794005.3063705,1691794580.791768,0.3734283745288849,114819.71875,2.622030019760132,52.43240737915039,73.8552017211914,86.95313262939453,72.88204193115234,False
Hardswish,0.5221500659780158,1,1,4,2,1,2,off,2.021560179542289e-05,71,54.02667236328125,-1.4980467557907104,-0.5683224201202393,39,1691794005.3104649,1691794231.4413395,0.5683224201202393,44965.73828125,1.4980467557907104,79.46066284179688,54.02667236328125,73.35385131835938,47.79087448120117,False
Hardswish,0.0241686886765493,4,0,2,0,3,1,off,2.010242710685751e-05,134,85.11367797851562,-1.298193097114563,-0.3435213565826416,40,1691794005.314507,1691794390.4240477,0.3435213565826416,76748.09375,1.298193097114563,46.59858703613281,85.11367797851562,99.4362564086914,85.49886322021484,False
Mish,0.079517231652035,0,1,4,4,4,4,off,0.0003407231538022,79,44.75439453125,-3.027892589569092,-0.0581984370946884,41,1691794005.3180294,1691794478.794602,0.0581984370946884,94424.484375,3.027892589569092,7.604053020477295,44.75439453125,59.22869873046875,38.7245979309082,False
