p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.0514680354403044,0,1,2,2,3,4,off,1.2220686848747022e-05,96,84.9744644165039,-1.5845098495483398,-0.5864423513412476,43,0.5309271812438965,337.93080163002014,1691943484.9611974,1691943822.3602183,0.5864423513412476,67088.796875,1.5845098495483398,81.98175048828125,84.9744644165039,97.2891616821289,84.15939331054688,False
ReLU,0.0316341071053227,0,4,0,0,3,1,off,2.698014375167036e-05,44,76.4369888305664,-0.9178770780563354,-0.1057921648025512,0,0.3871166706085205,88.3357002735138,1691943484.8173828,1691943572.7654335,0.1057921648025512,17195.611328125,0.9178770780563354,11.603874206542969,76.4369888305664,84.64747619628906,77.41677856445312,False
Hardswish,0.3625292178311044,1,0,0,0,3,3,on,0.0001797648367036,117,80.88114166259766,-0.6507577896118164,-0.1323761045932769,10,0.4716572761535644,201.0023229122162,1691943484.901922,1691943685.4321313,0.1323761045932769,39728.12890625,0.6507577896118164,15.687957763671877,80.88114166259766,80.09168243408203,81.13348388671875,False
Hardswish,0.0023416015703953,1,1,0,0,2,0,off,1.5906560205034938e-05,114,72.02639770507812,-0.5334601998329163,-0.3273040354251861,101,0.6109507083892822,149.41943335533142,1691943485.0412183,1691943633.849205,0.3273040354251861,29384.181640625,0.5334601998329163,42.66093826293945,72.02639770507812,68.43144226074219,74.15986633300781,False
ReLU,0.0429424192578418,4,2,0,3,3,1,on,2.7698990722463487e-05,46,76.91756439208984,-1.417597413063049,-0.367430716753006,102,0.6135356426239014,145.6889111995697,1691943485.0438037,1691943630.118617,0.367430716753006,28639.361328125,1.417597413063049,51.61958312988281,76.91756439208984,75.54290771484375,77.66580200195312,False
Hardswish,0.1839370384813042,1,2,0,0,4,0,on,4.7269342493366286e-05,132,86.46259307861328,-1.0879743099212646,-0.3166424334049225,103,0.6148617267608643,324.43542981147766,1691943485.0451307,1691943808.865214,0.3166424334049225,64390.47265625,1.0879743099212646,44.10879135131836,86.46259307861328,90.76856231689452,86.48292541503906,False
ReLU,0.0034949258064028,0,0,4,0,2,1,off,1.7126289199964427e-05,126,80.55011749267578,-1.116788387298584,-0.3379741311073303,105,0.6177785396575928,291.7044265270233,1691943485.0480466,1691943776.1342182,0.3379741311073303,57842.8828125,1.116788387298584,43.16869354248047,80.55011749267578,95.5995101928711,81.30520629882812,False
Mish,0.0434767977547242,4,0,4,0,0,4,off,0.0001602132766545,21,28.63247299194336,-2.7476372718811035,-0.0634122043848037,106,0.6185665130615234,106.54291558265686,1691943485.0488346,1691943590.972703,0.0634122043848037,20809.421875,2.7476372718811035,7.922022819519043,28.63247299194336,36.55904769897461,29.86478042602539,False
Mish,0.0833715296737639,4,0,0,4,0,0,off,0.0001098451393434,18,29.980443954467773,-2.197133302688598,-0.0607144795358181,107,0.6209080219268799,72.94232106208801,1691943485.0511754,1691943557.3721433,0.0607144795358181,14119.7412109375,2.197133302688598,8.007487297058105,29.980443954467773,36.54001235961914,31.367918014526367,False
Mish,0.0028275894962625,2,1,3,2,1,1,on,0.0004500510351627,67,78.31049346923828,-2.587855100631714,-0.5799897313117981,110,0.6255199909210205,336.6604278087616,1691943485.055789,1691943821.0901852,0.5799897313117981,66834.7578125,2.587855100631714,83.42463684082031,78.31049346923828,72.49349975585938,74.45001220703125,False
Hardswish,0.0061656299298706,1,4,1,1,0,3,off,0.0001662895741657,40,61.67527389526367,-1.121983289718628,-0.1081546917557716,112,0.62709641456604,87.9508695602417,1691943485.0573611,1691943572.380658,0.1081546917557716,17120.671875,1.121983289718628,11.998547554016112,61.67527389526367,66.78739929199219,60.922149658203125,False
ReLU,0.0029015098978639,2,1,0,2,0,2,on,0.0003721145945797,66,81.74665832519531,-1.149614930152893,-0.7805357575416565,114,0.6311647891998291,176.1920289993286,1691943485.0614328,1691943660.621816,0.7805357575416565,34740.359375,1.149614930152893,114.58399963378906,81.74665832519531,83.73568725585938,82.50524139404297,False
Hardswish,0.7928509670406915,3,3,0,2,3,2,off,0.0001029041407764,1,36.00703430175781,-1.2022000551223757,-0.6402618885040283,115,0.6317646503448486,5.375388622283936,1691943485.0620294,1691943489.8052382,0.6402618885040283,611.3805541992188,1.2022000551223757,88.38665771484375,36.00703430175781,29.375402450561523,35.11986541748047,False
ReLU,0.4404285375789145,1,1,1,1,1,3,off,0.0001403282042033,45,8.856637954711914,-0.6322993040084839,-0.1077158078551292,116,0.6333308219909668,63.83904218673706,1691943485.063596,1691943548.2688098,0.1077158078551292,12304.7900390625,0.6322993040084839,11.844246864318848,8.856637954711914,10.23667812347412,8.992476463317871,False
Mish,0.0100114191286809,4,0,2,2,0,1,off,3.5027006242878605e-05,51,80.23058319091797,-2.605048418045044,-0.5650320649147034,117,0.6342861652374268,253.67099499702456,1691943485.0645542,1691943738.1007757,0.5650320649147034,50259.48828125,2.605048418045044,78.9340591430664,80.23058319091797,90.5384521484375,80.7225341796875,False
Mish,0.0096442817069771,2,4,2,2,4,4,off,0.0002109647019966,22,73.22096252441406,-4.662145137786865,-0.7873964309692383,118,0.6360733509063721,217.2341158390045,1691943485.0663407,1691943701.663896,0.7873964309692383,42947.56640625,4.662145137786865,114.05606079101562,73.22096252441406,79.30927276611328,73.8248291015625,False
Mish,0.0014634388691939,2,4,0,0,1,3,on,0.0008483760404967,68,75.58772277832031,-2.2429323196411133,-0.3553640246391296,119,0.637885570526123,313.1207926273346,1691943485.0681531,1691943797.5505817,0.3553640246391296,62126.1640625,2.2429323196411133,47.175880432128906,75.58772277832031,71.43905639648438,75.78129577636719,False
