p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.001547663732505,4,2,4,4,1,1,off,6.485339288100594e-05,38,52.31085205078125,-3.0335352420806885,-0.3344070613384247,0,1691698225.7720635,1691698448.5543306,0.3344070613384247,44243.18359375,3.0335352420806885,43.35611724853516,52.31085205078125,54.51403427124024,49.619911193847656,False
Mish,0.5930072912680995,2,0,0,3,4,4,on,0.0006962887157877,199,80.73926544189453,-3.1165850162506104,-0.34424689412117,1,1691698226.062734,1691699632.3012476,0.34424689412117,280992.9375,3.1165850162506104,47.27936553955078,80.73926544189453,86.44208526611328,82.54264068603516,False
Mish,0.20875080972321,0,2,1,0,2,0,on,1.5074543188124991e-05,32,77.75833129882812,-1.9569624662399288,-0.5568163394927979,2,1691698226.076754,1691698348.4351256,0.5568163394927979,24224.076171875,1.9569624662399288,80.4836654663086,77.75833129882812,77.5716552734375,77.27882385253906,False
ReLU,0.4157150370692146,3,0,4,2,1,1,off,0.0001128410743582,160,73.2424545288086,-1.3556454181671145,-0.3597210049629211,3,1691698226.0740557,1691698675.7254555,0.3597210049629211,89677.21875,1.3556454181671145,47.55567169189453,73.2424545288086,83.19145965576172,71.15064239501953,False
Mish,0.1026939799651208,3,4,0,1,2,4,off,0.0002878518544394,138,77.68963623046875,-2.979341745376587,-0.3491361439228058,4,1691698231.954004,1691699081.089251,0.3491361439228058,169584.21875,2.979341745376587,47.07366180419922,77.68963623046875,96.65866088867188,75.351806640625,False
Mish,0.0038932434621499,0,0,4,2,2,4,off,1.430169396135184e-05,42,68.20836639404297,-3.609830379486084,-0.5771280527114868,5,1691698231.943118,1691698531.8589635,0.5771280527114868,59733.3515625,3.609830379486084,78.22891235351562,68.20836639404297,71.14403533935547,65.25193786621094,False
ReLU,0.0029287371846993,4,2,0,4,1,2,off,1.362072861656136e-05,172,83.67095184326172,-2.0541577339172363,-0.5765643119812012,6,1691698232.0912986,1691698957.5616071,0.5765643119812012,144864.546875,2.0541577339172363,78.79425048828125,83.67095184326172,98.83966064453124,83.11500549316406,False
Hardswish,0.0736059212523098,0,2,0,4,0,2,off,0.0003182804054922,187,86.29476928710938,-1.3571757078170776,-0.5657714605331421,7,1691698232.358512,1691698779.798955,0.5657714605331421,109320.25,1.3571757078170776,78.1332778930664,86.29476928710938,99.8597183227539,85.72573852539062,False
Hardswish,0.4047061176454278,1,4,0,3,2,0,off,5.7373250998580455e-05,8,34.24650192260742,-1.333940505981445,-0.349636822938919,8,1691698233.1110368,1691698255.6516764,0.349636822938919,4298.927734375,1.333940505981445,48.29267883300781,34.24650192260742,40.61430740356445,37.31517028808594,False
ReLU,0.2095392682812273,2,1,0,3,4,4,off,4.033270086788961e-05,146,86.29682159423828,-1.9471241235733032,-0.3506336808204651,9,1691698233.2275765,1691698819.0862696,0.3506336808204651,116970.546875,1.9471241235733032,47.5916862487793,86.29682159423828,98.91983032226562,86.51275634765625,False
ReLU,0.1255725217175361,3,4,1,0,4,3,on,0.000590848611302,32,60.05672836303711,-1.79600989818573,-0.1308435648679733,10,1691698233.0998628,1691698353.274171,0.1308435648679733,23767.57421875,1.79600989818573,15.538795471191406,60.05672836303711,66.14349365234375,61.7052001953125,False
ReLU,0.4215904400618402,4,4,4,2,2,0,off,0.0002923132644089,64,42.476016998291016,-2.5473897457122803,-0.5652033090591431,11,1691698233.107826,1691698580.9926982,0.5652033090591431,69351.6953125,2.5473897457122803,79.12064361572266,42.476016998291016,54.639686584472656,45.64323043823242,False
Hardswish,0.0289949313563861,2,1,3,0,4,4,on,3.4978425472387265e-05,157,86.67178344726562,-1.8721954822540283,-0.3577666878700256,12,1691698233.1428392,1691698866.128646,0.3577666878700256,126342.7890625,1.8721954822540283,46.9090461730957,86.67178344726562,92.5091323852539,85.75569915771484,False
Mish,0.0907054229165254,1,2,2,4,1,4,on,2.277064516092048e-05,12,70.26403045654297,-3.1442198753356934,-0.563396692276001,13,1691698233.318823,1691698306.3772929,0.563396692276001,14388.529296875,3.1442198753356934,80.09908294677734,70.26403045654297,66.14375305175781,66.22603607177734,False
Hardswish,0.0060327899956895,0,3,3,0,1,2,on,1.4410535052559697e-05,110,85.5671615600586,-0.8438903093338013,-0.3657762110233307,14,1691698233.4040778,1691698465.3525994,0.3657762110233307,46129.796875,0.8438903093338013,50.94434356689453,85.5671615600586,91.13172912597656,85.5672607421875,False
ReLU,0.1221883061415799,3,1,2,4,1,4,on,6.208763175026249e-05,157,87.309326171875,-1.909518122673035,-0.351475179195404,15,1691698233.4252856,1691698881.1905336,0.351475179195404,129304.21875,1.909518122673035,47.89329147338867,87.309326171875,93.34105682373048,87.45160675048828,False
Mish,0.616641938270517,3,0,1,2,3,4,on,6.992533674683489e-05,55,65.28002166748047,-2.90664291381836,-0.3593809306621551,16,1691698233.4993792,1691698556.3642533,0.3593809306621551,64312.25,2.90664291381836,50.073638916015625,65.28002166748047,78.11239624023438,71.46037292480469,False
Mish,0.104008665632818,1,0,2,2,3,1,off,0.0002786845335402,175,87.79328155517578,-2.3095407485961914,-0.5855868458747864,17,1691698233.5793357,1691699094.8424602,0.5855868458747864,172054.9375,2.3095407485961914,81.76268768310547,87.79328155517578,99.93453979492188,87.70597839355469,False
Mish,0.0069718398412175,0,4,4,3,4,1,on,0.0005265299964077,110,62.32894515991211,-2.853689432144165,-0.1091000810265541,18,1691698233.6415486,1691698895.6804266,0.1091000810265541,132173.3125,2.853689432144165,11.688488006591797,62.32894515991211,57.24320602416992,60.07586288452149,False
Hardswish,0.7979571276531549,3,1,2,0,1,4,on,1.8032718508271865e-05,90,81.1356430053711,-1.3965774774551392,-0.3485938310623169,19,1691698233.631769,1691698502.4480028,0.3485938310623169,53524.78125,1.3965774774551392,48.01420974731445,81.1356430053711,84.52352905273438,78.91055297851562,False
Mish,0.0037568430258879,1,2,2,2,0,3,off,3.535282859940971e-05,135,84.69984436035156,-3.2297096252441406,-0.8028618097305298,20,1691698233.6509762,1691699093.9170225,0.8028618097305298,171814.71875,3.2297096252441406,117.86255645751952,84.69984436035156,99.35416412353516,84.3281478881836,False
ReLU,0.1035001290485176,1,2,0,1,1,2,on,7.720184707106173e-05,20,79.32540130615234,-0.898322582244873,-0.5743418335914612,21,1691698233.6447396,1691698273.9054112,0.5743418335914612,7859.619140625,0.898322582244873,78.52605438232422,79.32540130615234,81.82478332519531,80.01193237304688,False
ReLU,0.0424501102200635,4,1,1,2,4,0,off,3.257689945119208e-05,197,73.50824737548828,-1.795652151107788,-0.3250711858272552,22,1691698233.6543684,1691698930.7833924,0.3250711858272552,139252.828125,1.795652151107788,42.82852554321289,73.50824737548828,93.24834442138672,70.51737213134766,False
