,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,Mish,0.7986402434189707,0,3,1,1,0,0,on,0.0002352170101284,178,89.7412338256836,-1.898159384727478,-0.1184034049510955,1,0.2585988044738769,2184.909731864929,1688283738.4608543,1688285923.1111412,89.7412338256836,94.7874984741211,0.1184034049510955,11.711949348449709,94.1930694580078,218282.578125,1.898159384727478
1,ReLU,0.1612169851468289,2,4,0,0,2,4,off,0.0004197478952563,175,94.65838623046876,-1.9668422937393188,-0.608816921710968,0,0.2586655616760254,1942.5622673034668,1688283738.4608974,1688285680.7640142,94.65838623046876,99.66889190673828,0.608816921710968,79.31372833251953,94.1087875366211,194043.65625,1.9668422937393188
2,Hardswish,0.5019388641394317,3,3,2,1,3,2,off,6.758449554036564e-05,19,88.08517456054688,-1.593419075012207,-0.5741949677467346,12,0.2690439224243164,195.93748378753665,1688283738.4712727,1688283934.1392295,88.08517456054688,91.42890167236328,0.5741949677467346,79.97132110595703,85.97051239013672,19386.3828125,1.593419075012207
3,Hardswish,0.9326638818606026,3,2,4,0,1,0,off,0.0003262472409721,173,90.62010955810548,-2.76996111869812,-0.4593906998634338,13,0.2625074386596679,1399.8888099193573,1688283738.4647267,1688285138.0897274,90.62010955810548,97.71472930908205,0.4593906998634338,57.08123397827149,93.41089630126952,139775.921875,2.76996111869812
4,Mish,0.7440887950139167,3,4,3,1,4,1,off,0.0006201521224982,122,71.02608489990234,-2.297412395477295,-0.1261120736598968,14,0.262779951095581,1890.2523427009585,1688283738.465004,1688285628.4541097,71.02608489990234,87.661865234375,0.1261120736598968,15.337499618530272,76.78475189208984,188820.21875,2.297412395477295
5,Hardswish,0.5739200213633185,4,1,3,4,2,0,on,2.503066983613431e-05,36,88.1656723022461,-2.1673173904418945,-0.3876862227916717,15,0.2680196762084961,346.22939801216125,1688283738.4702387,1688284084.430361,88.1656723022461,90.19091033935548,0.3876862227916717,61.16270065307617,91.50592041015624,34424.4375,2.1673173904418945
6,Hardswish,0.1850247670631557,1,4,4,2,4,0,off,0.000168021512035,171,91.32247924804688,-2.020729780197144,-0.3758721053600311,17,0.2687146663665771,2171.9727189540863,1688283738.4709392,1688285910.1744158,91.32247924804688,93.17730712890624,0.3758721053600311,43.18028259277344,87.24288940429688,216989.140625,2.020729780197144
7,Mish,0.8191960047394777,1,0,3,3,0,1,off,0.0009215947942583,142,29.495561599731445,-3.7405436038970943,-0.1599634736776352,18,0.268749475479126,2116.143741130829,1688283738.470975,1688285854.3454766,29.495561599731445,77.33072662353516,0.1599634736776352,13.167325019836426,46.33230209350586,211406.765625,3.7405436038970943
8,ReLU,0.0684303444874945,3,2,2,4,1,2,off,0.0008182573404952,11,86.14715576171875,-1.559128761291504,-0.6094099879264832,19,0.2629246711730957,122.31481504440308,1688283738.4651504,1688283860.5165534,86.14715576171875,89.74049377441406,0.6094099879264832,82.34046173095703,83.13245391845703,12017.806640625,1.559128761291504
9,Mish,0.2376211841492862,4,0,3,3,2,2,off,0.0008464412977033,63,72.93538665771484,-3.6284029483795166,-0.6042320728302002,2,0.2585189342498779,1194.2061042785645,1688283738.4607468,1688284932.407841,72.93538665771484,87.92071533203125,0.6042320728302002,110.82356262207033,80.84475708007812,119206.9140625,3.6284029483795166
