p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Hardswish,0.6679637496219065,0,0,3,3,3,4,on,0.00037811872883396794,84,81.73245239257812,-2.326414108276367,-0.12324391305446625,56,0.5136919021606445,974.6771318912506,1688961058.9614527,1688962033.1238265,81.73245239257812,89.92192077636719,0.12324391305446625,15.992737770080566,67.37025451660156,97059.0,2.326414108276367
Hardswish,0.9455189948470328,0,3,4,3,2,3,off,0.0006886307194819485,26,56.42900466918945,-1.5324503183364868,-0.21218737959861755,0,0.3781609535217285,333.27495646476746,1688961058.8259318,1688961391.7222042,56.42900466918945,83.71485137939453,0.21218737959861755,43.472904205322266,46.29832077026367,33017.34375,1.5324503183364868
Hardswish,0.24861186241107888,4,2,2,2,1,4,off,0.0007847290817320618,47,70.29881286621094,-2.075427293777466,-0.6220877766609192,1,0.3836193084716797,478.0990161895752,1688961058.8313694,1688961536.5462418,70.29881286621094,90.5817642211914,0.6220877766609192,88.43130493164062,71.28598022460938,47499.62890625,2.075427293777466
Hardswish,0.9861592580370988,0,2,1,4,2,4,off,0.0006911393698699756,9,58.20383834838867,-2.203033924102783,-0.5618062019348145,10,0.4294149875640869,125.77929186820984,1688961058.877169,1688961184.2265463,58.20383834838867,77.83094787597656,0.5618062019348145,81.12994384765625,57.57965850830078,12268.0087890625,2.203033924102783
Hardswish,0.6527273941801175,0,4,4,1,1,2,on,0.0009808287083333358,63,17.528623580932617,-3.5332961082458496,-0.05342349782586098,101,0.5554773807525635,680.9998333454132,1688961059.0032258,1688961739.4471304,17.528623580932617,37.15961837768555,0.05342349782586098,43.52644348144531,77.35173797607422,67745.5,3.5332961082458496
Mish,0.0485469106527443,2,2,2,3,1,1,on,0.0002319654679822437,13,89.44671630859375,-3.096641540527344,-0.8328502774238586,105,0.5601775646209717,218.63231110572815,1688961059.0079284,1688961277.0794115,89.44671630859375,88.98107147216797,0.8328502774238586,102.73451232910156,90.44808197021484,21488.728515625,3.096641540527344
Mish,0.6562063107573527,0,1,0,3,3,0,off,0.0008163560186561889,90,74.34955596923828,-2.027965784072876,-0.1303057223558426,106,0.5614492893218994,880.5737354755402,1688961059.0092058,1688961939.0208304,74.34955596923828,63.907772064208984,0.1303057223558426,15.475624084472656,64.53744506835938,87691.5859375,2.027965784072876
Hardswish,0.4045148718763549,0,1,4,1,0,2,off,0.0008002699802412946,47,46.84584045410156,-1.365721583366394,-0.3090411424636841,107,0.5618011951446533,461.114382982254,1688961059.0095592,1688961519.5614676,46.84584045410156,73.53226470947266,0.3090411424636841,39.105926513671875,65.23509979248047,45751.46875,1.365721583366394
Hardswish,0.3724597794132915,2,4,1,4,0,4,off,0.0005811921919069969,38,51.42426681518555,-2.2582948207855225,-0.3706655204296112,110,0.5646803379058838,446.9545478820801,1688961059.012442,1688961505.4016368,51.42426681518555,75.60604858398438,0.3706655204296112,44.31021881103515,64.3621597290039,44277.2421875,2.2582948207855225
Hardswish,0.2803180174125979,1,3,1,3,3,3,on,0.00045461142720943954,58,74.91865539550781,-1.518386960029602,-0.19475384056568143,112,0.5685305595397949,422.0302197933197,1688961059.0162842,1688961480.4774995,74.91865539550781,80.84133911132812,0.19475384056568143,19.602251052856445,88.8000717163086,41818.60546875,1.518386960029602
Hardswish,0.0015585523473674297,2,2,4,2,4,1,on,4.560861069194447e-05,25,85.59419250488281,-2.2467236518859863,-0.6411354541778564,113,0.5701515674591064,292.51883935928345,1688961059.0179029,1688961350.9658632,85.59419250488281,83.9326400756836,0.6411354541778564,88.28113555908203,87.42374420166016,28879.875,2.2467236518859863
Mish,0.8426042698981523,1,3,0,4,1,1,on,0.0004656784985956875,30,59.82316589355469,-2.32731032371521,-0.11502022296190262,114,0.5703823566436768,270.7276759147644,1688961059.018131,1688961329.174734,59.82316589355469,79.14433288574219,0.11502022296190262,12.303915977478027,41.85480117797851,26687.021484375,2.32731032371521
ReLU,0.4239456660245939,1,3,2,1,1,2,off,0.0004690239286059396,14,29.98795509338379,-1.1968762874603271,-0.5868486166000366,117,0.5738115310668945,108.20064210891724,1688961059.0215714,1688961166.6477993,29.98795509338379,74.5263900756836,0.5868486166000366,71.68384552001953,56.44326400756836,10439.3173828125,1.1968762874603271
Mish,0.1245437511053021,4,1,2,0,0,0,off,0.00040255871586456475,85,88.78379821777344,-1.9882681369781496,-0.3390956223011017,118,0.5749673843383789,958.1384062767028,1688961059.022726,1688962016.5855148,88.78379821777344,94.35012817382812,0.3390956223011017,42.76406478881836,91.39893341064452,95398.1640625,1.9882681369781496
Mish,0.18609883590939255,3,1,4,2,1,3,off,0.000206286306299396,55,87.09919738769531,-2.368678331375122,-0.3307550549507141,121,0.5837934017181396,707.0176582336426,1688961059.031552,1688961765.4647443,87.09919738769531,93.62890625,0.3307550549507141,52.53293991088867,89.09662628173828,70283.015625,2.368678331375122
ReLU,0.2227555029362653,1,3,0,4,4,0,on,0.00013185633360851356,24,84.50431823730469,-1.5394597053527832,-0.11608069390058516,124,0.5856406688690186,255.58830285072327,1688961059.0333908,1688961314.0353403,84.50431823730469,83.11372375488281,0.11608069390058516,10.902673721313477,80.44229888916016,25182.93359375,1.5394597053527832
Hardswish,0.9526159851716915,1,1,0,3,4,2,on,0.0003959922604934231,40,75.88529205322266,-1.5815718173980713,-0.36340174078941345,126,0.5867602825164795,465.9605712890625,1688961059.03452,1688961524.4076135,75.88529205322266,85.290283203125,0.36340174078941345,36.700496673583984,41.466331481933594,46178.1015625,1.5815718173980713
Hardswish,0.8767582273695318,3,4,4,0,4,3,off,0.00031477394433705724,51,72.84793090820312,-2.7811663150787354,-0.1096845269203186,128,0.5936450958251953,510.49710726737976,1688961059.0414028,1688961568.944141,72.84793090820312,88.42967987060547,0.1096845269203186,13.230998992919922,77.8517074584961,50639.140625,2.7811663150787354
ReLU,0.5954903320593395,0,1,2,2,2,2,off,0.0007267084456442812,77,46.191917419433594,-1.5357297658920288,-0.7472817301750183,13,0.4401590824127197,776.9335830211639,1688961058.8879108,1688961835.3806212,46.191917419433594,79.91850280761719,0.7472817301750183,105.88478088378906,53.6660270690918,77300.0625,1.5357297658920288
Mish,0.7286012723426835,4,1,0,3,1,3,off,0.00016598766386863287,28,81.5644760131836,-1.2786223888397217,-0.13512714207172394,130,0.598313570022583,367.8701739311218,1688961059.0460706,1688961426.3172717,81.5644760131836,90.11859130859376,0.13512714207172394,15.846330642700195,75.23323822021484,36400.96484375,1.2786223888397217
ReLU,0.8913413606060163,0,4,0,4,3,3,off,0.0006027845065425728,76,64.92110443115234,-2.0712318420410156,-0.14288179576396942,132,0.6020386219024658,699.0755052566528,1688961059.0497987,1688961757.522618,64.92110443115234,79.87649536132812,0.14288179576396942,14.096267700195312,42.1179313659668,69489.328125,2.0712318420410156
Hardswish,0.6110999092301239,3,3,1,1,3,3,off,0.0009828728398030072,32,22.50899314880371,-1.2791293859481812,-0.15484686195850372,136,0.6050779819488525,292.1053657531738,1688961059.0528307,1688961350.552392,22.50899314880371,47.736576080322266,0.15484686195850372,19.055110931396484,48.12491226196289,28802.60546875,1.2791293859481812
Hardswish,0.8663508601722406,4,3,0,1,1,4,off,0.0008477306149891233,52,32.287105560302734,-1.9128705263137815,-0.07653912901878357,139,0.6100602149963379,431.4677820205689,1688961059.0578167,1688961489.9148817,32.287105560302734,67.33856964111328,0.07653912901878357,11.96318531036377,50.572265625,42727.9609375,1.9128705263137815
Mish,0.4183015825359378,1,3,4,0,3,2,off,0.0006514117270977938,41,40.352169036865234,-3.43776798248291,-0.3584251403808594,140,0.6108262538909912,546.5143983364105,1688961059.058576,1688961604.9615145,40.352169036865234,77.61125946044922,0.3584251403808594,45.7282600402832,52.270965576171875,54267.16015625,3.43776798248291
Hardswish,0.2239044006573766,1,0,0,0,0,1,off,0.000360170907698648,43,86.65771484375,-0.666009783744812,-0.07949930429458618,141,0.6124072074890137,225.25256204605105,1688961059.0601616,1688961283.69958,86.65771484375,92.22642517089844,0.07949930429458618,9.65056037902832,73.08048248291016,22199.796875,0.666009783744812
Mish,0.4148247894918353,3,3,1,0,3,1,on,0.0005614560061063462,64,57.23375701904297,-2.261029005050659,-0.14908844232559204,145,0.621178150177002,834.2126870155334,1688961059.0689375,1688961892.6597276,57.23375701904297,77.91217803955078,0.14908844232559204,16.74925422668457,71.82975006103516,83005.53125,2.261029005050659
Hardswish,0.297773153882006,0,2,3,2,1,1,off,0.0001362608239417287,53,88.15962219238281,-1.2799005508422852,-0.5553146004676819,146,0.6218266487121582,397.15420174598694,1688961059.0695832,1688961455.6013055,88.15962219238281,93.5283660888672,0.5553146004676819,68.89227294921875,86.01063537597656,39303.44921875,1.2799005508422852
ReLU,0.8634785900682054,1,1,0,2,0,1,on,1.988016548117972e-05,36,71.51834869384766,-1.064036846160889,-0.3104941248893738,147,0.6222116947174072,213.11083245277405,1688961059.0699706,1688961271.5581658,71.51834869384766,86.19989776611328,0.3104941248893738,47.47364807128906,66.35568237304688,20902.568359375,1.064036846160889
