p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Hardswish,0.6700548753823463,1,3,0,4,0,3,off,0.0005729475028052458,198,94.24107360839844,-1.2674424648284912,-0.11253074556589127,119,0.5480251312255859,1704.7964944839478,1688844902.1485949,1688846606.3962395,94.24107360839844,95.42813110351562,0.11253074556589127,14.471879005432129,93.75618743896484,170190.5,1.2674424648284912
Mish,0.5410007128932812,3,1,0,0,1,2,off,0.0006955476614546677,109,76.85248565673828,-1.5032891035079956,-0.3451167345046997,10,0.4267935752868652,908.7651886940002,1688844902.0273623,1688845810.3644943,76.85248565673828,88.8088607788086,0.3451167345046997,43.34214782714844,77.62842559814453,90585.5546875,1.5032891035079956
Hardswish,0.25205710221285654,3,3,3,3,1,2,off,0.00025528513805466065,94,89.12833404541016,-1.503480315208435,-0.4080939590930938,100,0.5246531963348389,1108.1284759044647,1688844902.1252358,1688846009.72856,89.12833404541016,93.01243591308594,0.4080939590930938,57.97325134277344,85.089111328125,110520.171875,1.503480315208435
Hardswish,0.5064202052919479,4,2,3,1,0,0,on,0.00035891352188435,21,71.25957489013672,-1.499861478805542,-0.45056286454200745,101,0.5249121189117432,185.29456901550293,1688844902.125485,1688845086.8946726,71.25957489013672,85.41804504394531,0.45056286454200745,55.35867691040039,64.8527603149414,18247.068359375,1.499861478805542
Hardswish,0.05335903637973491,3,4,2,3,3,1,off,0.0008592392903915432,128,90.61687469482422,-1.639884114265442,-0.393038272857666,102,0.5277121067047119,1271.5838360786438,1688844902.128286,1688846173.1839278,90.61687469482422,97.06649017333984,0.393038272857666,61.58915328979492,84.76686096191406,126880.2578125,1.639884114265442
ReLU,0.5901998892718511,3,1,1,1,0,4,off,0.00019902039011844973,100,86.63724517822266,-1.5113998651504517,-0.12284141033887865,103,0.5273706912994385,801.8322458267212,1688844902.1279414,1688845703.4323623,86.63724517822266,84.98976135253906,0.12284141033887865,12.026200294494627,76.40650177001953,79912.7265625,1.5113998651504517
Hardswish,0.21298604713942923,2,3,4,1,1,0,on,0.00013414445027213397,77,91.36009979248048,-1.476430058479309,-0.3687838912010193,106,0.5308699607849121,605.6299209594727,1688844902.1314447,1688845507.230018,91.36009979248048,91.19515228271484,0.3687838912010193,48.728084564208984,84.36283874511719,60270.08984375,1.476430058479309
Hardswish,0.7441750903027895,4,2,0,0,4,2,off,0.00031081241528929513,109,82.35222625732422,-1.80893075466156,-0.5686423182487488,107,0.5318777561187744,1293.071692943573,1688844902.1324513,1688846194.6717649,82.35222625732422,93.2728500366211,0.5686423182487488,63.45117950439453,84.26165771484375,129019.4609375,1.80893075466156
Hardswish,0.5345819348441115,0,2,4,3,2,2,off,0.00016639882791920826,53,87.45730590820312,-2.1748392581939697,-0.8470388054847717,108,0.5329363346099854,636.4173727035522,1688844902.133502,1688845538.017457,87.45730590820312,93.80728912353516,0.8470388054847717,107.43186950683594,84.1722640991211,63360.1171875,2.1748392581939697
Hardswish,0.9099521232686592,4,3,2,2,3,1,on,0.000316548108856906,59,73.49021911621094,-2.125845432281494,-0.5584567189216614,109,0.5330700874328613,616.4885404109955,1688844902.1336443,1688845518.0886245,73.49021911621094,86.70410919189453,0.5584567189216614,68.45008850097656,83.62804412841797,61359.16015625,2.125845432281494
