p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
ReLU,0.7219363720086927,3,3,2,1,4,2,on,0.0002981726991608793,10,74.13790130615234,-1.818318486213684,-0.5849618911743164,5,0.33132195472717285,139.3815987110138,1691568453.934055,1691568592.9825697,0.5849618911743164,12483.1298828125,1.818318486213684,71.67781066894531,74.13790130615234,88.30426025390625,74.05753326416016
Hardswish,0.2315987452172002,0,4,3,0,0,0,on,0.0007905272944083654,3,71.34029388427734,-1.3285976648330688,-0.09965834766626358,6,0.3312652111053467,33.89452815055847,1691568453.9339883,1691568487.4967525,0.09965834766626358,1943.0274658203125,1.3285976648330688,12.826574325561523,71.34029388427734,77.15293884277344,66.34569549560547
Mish,0.40255033691041064,4,0,0,2,4,0,off,0.00045060032809372656,86,85.47532653808594,-2.5715489387512207,-0.37923282384872437,9,139.5713632106781,1089.7683737277985,1691568593.1740828,1691569543.3703604,0.37923282384872437,95007.203125,2.5715489387512207,44.0516357421875,85.47532653808594,90.15658569335938,62.86281967163086
Hardswish,0.942260501053081,3,0,3,2,4,4,off,0.0007747134169705514,4,54.953033447265625,-2.548774242401123,-0.47620540857315063,11,897.7273623943329,945.1146330833436,1691569351.330081,1691569398.7169747,0.47620540857315063,4731.53369140625,2.548774242401123,45.601173400878906,54.953033447265625,61.56541442871094,37.093360900878906
Hardswish,0.5663517371578195,3,0,3,1,2,1,on,0.0005750909701116898,28,67.28970336914062,-1.7096195220947266,-0.20465509593486783,2,0.33124876022338867,396.9811017513275,1691568453.9339678,1691568850.583334,0.20465509593486783,38244.1875,1.7096195220947266,56.91636276245117,67.28970336914062,77.4951171875,42.70542526245117
Mish,0.5317331740526077,3,3,1,4,2,3,off,0.0007733977056578558,50,53.464813232421875,-2.8186519145965576,-0.3870135247707367,3,0.33104991912841797,897.539050579071,1691568453.9337957,1691569351.1412754,0.3870135247707367,88304.3125,2.8186519145965576,57.302268981933594,53.464813232421875,85.58434295654297,75.68932342529297
Hardswish,0.5781316113417984,2,4,1,2,4,4,off,5.146835533874655e-05,138,93.36339569091797,-2.2149746417999268,-0.6439304351806641,13,1089.819500207901,2650.687644481659,1691569543.422212,1691571104.2896338,0.6439304351806641,156074.390625,2.2149746417999268,76.69549560546875,93.36339569091797,96.64962768554688,92.08694458007812
ReLU,0.02045337540499001,1,3,4,4,4,4,on,0.0004662267024830772,153,89.525390625,-2.3149633407592773,-0.05166872218251228,0,0.3312702178955078,2159.865915298462,1691568453.934025,1691570613.4681635,0.05166872218251228,214533.65625,2.3149633407592773,9.972506523132324,89.525390625,93.10255432128906,89.9897689819336
Mish,0.6285350070099467,2,3,4,1,4,0,on,0.0002568343322179358,122,88.80419921875,-2.3848812580108643,-0.366864413022995,1,0.33124828338623047,1467.2758111953735,1691568453.9339936,1691569920.8780432,0.366864413022995,145272.75,2.3848812580108643,48.69863510131836,88.80419921875,90.999267578125,80.35816955566406
Mish,0.7573303223744658,1,0,4,4,3,2,off,0.0008774518441650051,89,60.415409088134766,-2.8005776405334473,-0.33368751406669617,10,397.166448354721,2058.9295523166656,1691568850.7691622,1691570512.5319078,0.33368751406669617,166163.875,2.8005776405334473,45.70277404785156,60.415409088134766,60.64127349853515,64.53203582763672
Hardswish,0.4940250588827851,2,1,3,2,2,3,off,0.000614557919364454,81,58.3122444152832,-1.5587027072906494,-0.8200609683990479,12,945.162132024765,1949.4889116287231,1691569398.7648396,1691570403.0912614,0.8200609683990479,100420.296875,1.5587027072906494,116.08528900146484,58.3122444152832,85.53904724121094,74.13291931152344
ReLU,0.2604524002421536,3,2,1,0,3,3,on,0.0001296011382694254,80,85.98150634765625,-1.4721434116363523,-0.4409690201282501,14,1420.4489045143127,2066.4460878372192,1691569874.051613,1691570520.048459,0.4409690201282501,64587.34375,1.4721434116363523,58.10710525512695,85.98150634765625,89.46517181396484,91.49305725097656
ReLU,0.5022652606514297,0,4,1,2,4,0,off,0.0005329483906826712,43,41.49161148071289,-1.922355055809021,-0.3437405824661255,16,1949.536457777023,2395.685769557953,1691570403.1391664,1691570849.28808,0.3437405824661255,44602.5546875,1.922355055809021,43.851463317871094,41.49161148071289,80.69695281982422,41.67718124389648
Mish,0.7470647127619607,4,3,0,4,4,3,on,0.000985919223796093,164,77.02068328857422,-3.799870729446411,-0.13520614802837372,4,0.3312382698059082,2311.321437835694,1691568453.9339538,1691570764.9236906,0.13520614802837372,229678.03125,3.799870729446411,14.39912223815918,77.02068328857422,54.77244186401367,83.20689392089844
Mish,0.8413435781771311,4,3,1,2,2,3,on,0.0009097454934623412,73,40.16014862060547,-3.7477757930755615,-0.6225399374961853,8,34.112048625946045,1420.4003009796145,1691568487.7147646,1691569874.0026374,0.6225399374961853,138616.375,3.7477757930755615,72.57012176513672,40.16014862060547,72.72332763671875,54.46443176269531
