p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
ReLU,0.4927641171852395,2,0,1,2,2,3,off,0.0005172874237006,55,31.505983352661133,-1.5548453330993652,-0.811896800994873,103,0.3874428272247314,510.315452337265,1691381726.8168995,1691382236.744111,0.811896800994873,50742.26171875,1.5548453330993652,116.93736267089844,31.505983352661133,83.15032958984375,62.27265167236328,False
Hardswish,0.1868648691549819,0,2,2,3,1,4,on,0.0006253655490801,51,81.41798400878906,-2.0633485317230225,-0.595952033996582,101,0.3864779472351074,435.4645276069641,1691381726.8159263,1691382161.8934894,0.595952033996582,43251.7734375,2.0633485317230225,77.5506591796875,81.41798400878906,86.1007308959961,76.24258422851562,False
Mish,0.0446412400307376,3,4,0,4,2,3,on,2.1594752453926218e-05,13,87.6515121459961,-2.7071638107299805,-0.348695307970047,102,0.3863289356231689,220.72620558738708,1691381726.815775,1691381947.1551836,0.348695307970047,21802.599609375,2.7071638107299805,53.80597305297851,87.6515121459961,90.07658386230467,88.17298126220703,False
ReLU,0.5050013569175497,3,0,2,4,0,4,on,3.380324063616074e-05,61,86.03311157226562,-1.9671213626861568,-0.3363383114337921,105,0.3888247013092041,500.76074028015137,1691381726.8182695,1691382227.1897476,0.3363383114337921,49796.640625,1.9671213626861568,42.56515502929688,86.03311157226562,88.45301818847656,71.28734588623047,False
Hardswish,0.5557647593532208,1,1,4,1,1,0,off,0.0008212378131914,30,27.56521987915039,-1.2944209575653076,-0.0907411277294159,106,0.3899765014648437,208.36406898498532,1691381726.819425,1691381934.793062,0.0907411277294159,20533.681640625,1.2944209575653076,8.51218032836914,27.56521987915039,65.37989807128906,55.93476486206055,False
Mish,0.226070056342181,2,4,2,3,2,3,on,0.0001804103985028,20,90.30081939697266,-3.282875299453736,-0.6803292036056519,116,0.3967773914337158,337.0606904029846,1691381726.8262231,1691382063.4897857,0.6803292036056519,33424.7109375,3.282875299453736,128.41783142089844,90.30081939697266,88.36614227294922,86.42158508300781,False
ReLU,0.3876743499051918,0,3,1,3,0,0,off,0.0001491391263224,55,82.57955169677734,-1.0230239629745483,-0.1353050619363784,120,16.8151593208313,397.345888376236,1691381743.2446024,1691382123.774976,0.1353050619363784,38040.7578125,1.0230239629745483,16.15606117248535,82.57955169677734,92.23269653320312,78.62545776367188,False
Mish,0.5948990025977361,4,4,1,4,3,1,off,0.0009419880876342,13,22.598371505737305,-3.0215649604797363,-0.120409607887268,124,110.10710144042967,302.0357081890106,1691381836.536548,1691382028.4648027,0.120409607887268,19180.533203125,3.0215649604797363,11.827831268310549,22.598371505737305,69.52758026123047,47.22210311889648,False
Hardswish,0.5963053920118829,0,2,0,4,0,2,off,0.0003160968621428,22,70.90911865234375,-1.1916230916976929,-0.5925453901290894,126,151.31799578666687,353.3500928878784,1691381877.7474413,1691382079.7791731,0.5925453901290894,20190.890625,1.1916230916976929,62.72462844848633,70.90911865234375,89.6683120727539,81.81875610351562,False
Hardswish,0.3001735906376738,4,3,0,3,0,0,on,0.0002134152996516,16,77.94364166259766,-1.513250708580017,-0.1340616196393966,137,353.54769110679626,470.709358215332,1691382079.97714,1691382197.1384382,0.1340616196393966,11703.8369140625,1.513250708580017,16.6159725189209,77.94364166259766,87.67057800292969,79.63568115234375,False
Mish,0.9809563688197336,0,2,4,0,0,1,off,9.953895755577432e-05,2,36.34389114379883,-2.0998194217681885,-0.4249749481678009,19,0.307563304901123,26.98457169532776,1691381726.737008,1691381753.4135406,0.4249749481678009,2428.909912109375,2.0998194217681885,50.915557861328125,36.34389114379883,52.313926696777344,56.48008346557617,False
Hardswish,0.7863737806012611,3,0,0,4,1,3,on,0.0001372648656592,54,87.3052749633789,-1.5347989797592163,-0.1231286898255348,2,0.2553613185882568,450.02247619628906,1691381726.6848063,1691382176.4514794,0.1231286898255348,44730.14453125,1.5347989797592163,11.056924819946287,87.3052749633789,90.58386993408205,73.94157409667969,False
ReLU,0.8851580794280203,3,3,4,0,0,4,on,0.0004536780222477,10,52.710548400878906,-1.7868258953094482,-0.1431602239608764,25,0.3081295490264892,110.05644536018372,1691381726.7375798,1691381836.485447,0.1431602239608764,10742.572265625,1.7868258953094482,13.792038917541504,52.710548400878906,73.9310531616211,32.547550201416016,False
