p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
ReLU,0.4927641171852395,2,0,1,2,2,3,off,0.0005172874237006,55,31.505983352661133,-1.5548453330993652,-0.811896800994873,69,0.3856070041656494,510.8709764480591,1691431333.803965,1691431844.2874775,0.811896800994873,50742.26171875,1.5548453330993652,116.93736267089844,31.505983352661133,83.15032958984375,62.27265167236328,False
Mish,0.9458647070510728,0,1,2,2,2,1,on,0.0007185192330233,25,49.98876190185547,-1.8568919897079468,-0.7658358216285706,0,0.2828505039215088,415.0157356262207,1691431333.7011895,1691431748.43338,0.7658358216285706,41172.5390625,1.8568919897079468,101.4602279663086,49.98876190185547,78.88395690917969,48.49474334716797,False
Hardswish,0.5557647593532208,1,1,4,1,1,0,off,0.0008212378131914,30,27.56521987915039,-1.2944209575653076,-0.0907411277294159,10,0.3101210594177246,208.74170422554016,1691431333.7284553,1691431542.1584566,0.0907411277294159,20533.681640625,1.2944209575653076,8.51218032836914,27.56521987915039,65.37989807128906,55.93476486206055,False
Mish,0.6654792375906102,2,2,3,0,0,0,off,0.0007130524904428,1,38.280860900878906,-1.824313998222351,-0.5585031509399414,101,0.412881851196289,17.423043727874756,1691431333.8312182,1691431350.8401604,0.5585031509399414,1382.7301025390625,1.824313998222351,81.11588287353516,38.280860900878906,37.43935012817383,51.34513092041016,False
Mish,0.9214521021716902,4,0,3,2,0,0,on,0.0001467634970564,22,69.05599212646484,-2.571125745773315,-0.3225249946117401,109,0.4207890033721924,334.7951271533966,1691431333.839122,1691431668.2118914,0.3225249946117401,33131.71875,2.571125745773315,42.870418548583984,69.05599212646484,84.07588958740234,74.29277801513672,False
ReLU,0.3966935412983763,1,3,3,3,3,4,on,0.0006577278719317,40,14.583906173706056,-1.7511879205703735,-0.1766760647296905,111,0.4229726791381836,384.7190146446228,1691431333.8413105,1691431718.1366878,0.1766760647296905,38103.08984375,1.7511879205703735,19.92268943786621,14.583906173706056,57.475921630859375,54.802730560302734,False
Hardswish,0.7863737806012611,3,0,0,4,1,3,on,0.0001372648656592,54,87.3052749633789,-1.5347989797592163,-0.1231286898255348,113,0.4253756999969482,450.8332817554474,1691431333.8437085,1691431784.250188,0.1231286898255348,44730.14453125,1.5347989797592163,11.056924819946287,87.3052749633789,90.58386993408205,73.94157409667969,False
ReLU,0.4726664764619562,2,1,0,2,0,4,off,0.0006568891386629,27,39.07697296142578,-1.4311470985412598,-0.6523221135139465,116,0.4272654056549072,208.7025022506714,1691431333.8456008,1691431542.120122,0.6523221135139465,20503.609375,1.4311470985412598,73.32345581054688,39.07697296142578,86.36934661865234,64.9591064453125,False
ReLU,0.8851580794280203,3,3,4,0,0,4,on,0.0004536780222477,10,52.710548400878906,-1.7868258953094482,-0.1431602239608764,118,0.430307388305664,111.1256182193756,1691431333.848643,1691431444.54345,0.1431602239608764,10742.572265625,1.7868258953094482,13.792038917541504,52.710548400878906,73.9310531616211,32.547550201416016,False
Mish,0.4035880756405306,2,1,4,0,2,3,on,0.0002214367829396,34,84.75415802001953,-2.333340167999268,-0.6495569348335266,121,0.4323770999908447,458.08373379707336,1691431333.8507135,1691431791.5004866,0.6495569348335266,45434.01953125,2.333340167999268,79.56476593017578,84.75415802001953,90.03743743896484,76.66646575927734,False
