p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Hardswish,0.6700548753823463,1,3,0,4,0,3,off,0.0005729475028052458,198,94.24107360839844,-1.2674424648284912,-0.11253074556589127,31,0.15679097175598145,1703.9664015769958,1691537124.3483827,1691538828.1572483,0.11253074556589127,170190.5,1.2674424648284912,14.471879005432129,94.24107360839844,95.42813110351562,93.75618743896484
ReLU,0.2877138782764916,2,0,0,3,1,2,off,0.0003483737083984126,138,91.92381286621094,-1.4986952543258667,-0.5150166749954224,10,0.14283156394958496,1487.0211946964264,1691537124.334425,1691538611.2123096,0.5150166749954224,148471.015625,1.4986952543258667,80.09803771972656,91.92381286621094,95.74002075195312,83.14063262939453
ReLU,0.25615611798951565,2,4,1,3,4,4,off,0.000658273320037767,27,63.33818054199219,-2.4106650352478027,-0.4188595414161682,11,0.14274334907531738,326.5116214752197,1691537124.3343575,1691537450.701997,0.4188595414161682,32440.658203125,2.4106650352478027,48.14741897583008,63.33818054199219,85.72740936279297,67.01504516601562
Mish,0.4007813815184304,3,0,3,1,0,1,off,0.0004229338370206536,4,75.82882690429688,-2.2220919132232666,-0.11592216044664384,14,0.14674019813537598,41.01469683647156,1691537124.3383331,1691537165.205829,0.11592216044664384,3888.371826171875,2.2220919132232666,14.620739936828612,75.82882690429688,85.32466125488281,65.13658905029297
Hardswish,0.41768733493954663,1,0,2,0,2,3,on,0.00031979627287293325,178,93.2173080444336,-1.352426290512085,-0.6447844505310059,15,0.14634370803833008,1591.1623392105105,1691537124.337933,1691538715.3534565,0.6447844505310059,158910.96875,1.352426290512085,81.76228332519531,93.2173080444336,96.64104461669922,93.91693115234376
Mish,0.2684110016921536,1,4,1,1,4,1,on,0.00012225838457556107,108,58.64910507202149,-2.6333580017089844,-0.09322123229503632,16,0.1463642120361328,1263.203540802002,1691537124.337954,1691538387.394663,0.09322123229503632,126123.421875,2.6333580017089844,8.509916305541992,58.64910507202149,24.161293029785156,48.56709289550781
Hardswish,0.4376171560184092,0,2,2,2,0,2,off,8.001395094028894e-05,185,94.49278259277344,-1.5008000135421753,-0.7744374871253967,17,0.15150761604309082,1621.481945991516,1691537124.343098,1691538745.673054,0.7744374871253967,161941.953125,1.5008000135421753,104.6500244140625,94.49278259277344,99.89737701416016,93.80721282958984
Hardswish,0.381953542574902,2,1,4,4,0,0,off,9.820169468048432e-05,24,88.11074829101562,-1.4550504684448242,-0.35057535767555237,2,0.14256525039672852,227.19510126113892,1691537124.334159,1691537351.3862438,0.35057535767555237,22500.865234375,1.4550504684448242,42.95737075805664,88.11074829101562,91.00011444091795,77.3255844116211
Hardswish,0.00486115056855751,3,1,4,2,0,1,off,0.00016025858719637164,132,93.64547729492188,-1.5889288187026978,-0.2944338321685791,20,0.1465606689453125,1315.8089320659635,1691537124.3381538,1691538440.0000632,0.2944338321685791,131349.203125,1.5889288187026978,52.74432373046875,93.64547729492188,96.6327667236328,92.1205825805664
ReLU,0.4831303843381208,3,0,3,4,1,1,on,3.722135121980662e-05,50,90.19369506835938,-1.7121813297271729,-0.13778232038021088,21,0.1471695899963379,550.6686561107635,1691537124.3387632,1691537674.8597894,0.13778232038021088,54856.45703125,1.7121813297271729,14.204051971435549,90.19369506835938,88.73191833496094,75.11819458007812
