p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.0019185669498508,2,4,2,0,1,2,off,1.0402249319594583e-05,126,92.44371795654295,-1.3382291793823242,-1.0728137493133545,27,0.3841423988342285,1378.1065752506256,1691698211.902485,1691699589.6241446,1.0728137493133545,136466.625,1.3382291793823242,137.15359497070312,92.44371795654295,98.153076171875,93.15502166748048,False
ReLU,0.0012807254093238,0,0,2,0,3,0,off,6.0815434445859536e-05,17,85.51636505126953,-1.0615350008010864,-0.3493485450744629,0,0.3500843048095703,140.17046809196472,1691698211.8684225,1691698351.6874263,0.3493485450744629,12673.640625,1.0615350008010864,46.54108810424805,85.51636505126953,86.66214752197266,83.12528228759766,False
ReLU,0.3096308311519406,0,3,4,0,2,1,off,0.0008532922778657,55,43.8548698425293,-1.897960901260376,-0.2741699814796448,10,0.3608505725860596,621.9934589862823,1691698211.879166,1691698833.5112984,0.2741699814796448,60864.78125,1.897960901260376,37.63166809082031,43.8548698425293,61.09220123291016,69.68290710449219,False
Mish,0.1678503279559912,2,1,3,2,1,2,on,0.0001973060497602,62,90.40013885498048,-2.58135986328125,-0.7584905624389648,11,0.3548591136932373,764.0136344432831,1691698211.873176,1691698975.5315397,0.7584905624389648,75057.2109375,2.58135986328125,105.45303344726562,90.40013885498048,91.56058502197266,88.89683532714844,False
Hardswish,0.0013392399710639,3,1,0,4,2,2,off,0.0004135686867777,43,87.25515747070312,-1.525156855583191,-0.6058335900306702,13,0.3548429012298584,374.5717871189117,1691698211.8731594,1691698586.0896227,0.6058335900306702,36113.76171875,1.525156855583191,74.03721618652344,87.25515747070312,92.37808227539062,88.63529205322266,False
ReLU,0.1507983194875927,0,4,3,2,3,2,off,3.691808116945784e-05,1,58.10280227661133,-1.8268648386001587,-0.5319808721542358,14,0.3598682880401611,27.063636541366577,1691698211.878188,1691698238.580833,0.5319808721542358,1370.61767578125,1.8268648386001587,77.21834564208984,58.10280227661133,69.94723510742188,63.0098876953125,False
ReLU,0.0095242429694169,0,4,1,3,0,2,on,0.0001192962412433,111,91.75,-1.494552493095398,-0.3553944230079651,17,0.3596539497375488,914.3293495178224,1691698211.8779738,1691699125.8463583,0.3553944230079651,90089.4609375,1.494552493095398,54.92100143432617,91.75,94.5965576171875,92.58941650390624,False
Mish,0.7611725982457032,4,1,3,0,0,2,off,3.845280695663543e-05,117,90.94451141357422,-2.6088414192199707,-0.383470356464386,18,0.3605966567993164,1354.4082412719729,1691698211.878914,1691699565.9260705,0.383470356464386,134107.09375,2.6088414192199707,44.66440582275391,90.94451141357422,91.1475067138672,89.6725082397461,False
ReLU,0.082325701496483,4,3,3,0,1,3,on,7.876544326472364e-05,127,93.4520263671875,-1.5716642141342163,-0.1480222195386886,24,0.3756065368652344,1128.2021560668943,1691698211.893924,1691699339.7199943,0.1480222195386886,111475.9765625,1.5716642141342163,17.80628204345703,93.4520263671875,94.5017318725586,92.76361846923828,False
Mish,0.002054840243291,3,4,0,2,4,1,off,1.6149993086904558e-05,1,70.04318237304688,-3.0009255409240723,-0.405007004737854,25,0.3787229061126709,25.87462329864502,1691698211.8970404,1691698237.3914857,0.405007004737854,1252.1407470703125,3.0009255409240723,51.59965896606445,70.04318237304688,51.03807830810547,53.09250259399414,False
Mish,0.3149480265499321,1,2,3,0,0,0,off,9.116109826612526e-05,99,91.68353271484376,-1.935046672821045,-0.4869621694087982,26,0.3806984424591065,893.804759979248,1691698211.8990152,1691699105.3218448,0.4869621694087982,88036.9609375,1.935046672821045,51.27852630615234,91.68353271484376,95.05791473388672,90.86035919189452,False
ReLU,0.0030077633358218,3,0,1,2,3,2,off,1.201427339627487e-05,118,93.95596313476562,-1.5059555768966677,-0.721527636051178,28,0.385509729385376,1313.5913982391355,1691698211.9038248,1691699525.1092453,0.721527636051178,130015.171875,1.5059555768966677,79.59262084960938,93.95596313476562,98.03112030029295,93.60121154785156,False
Hardswish,0.0019432735698017,4,4,4,3,0,2,off,1.0053311078133667e-05,8,86.22689056396484,-2.053091049194336,-0.39704629778862,30,0.3893158435821533,112.24546337127686,1691698211.9076314,1691698323.7625835,0.39704629778862,9880.4287109375,2.053091049194336,48.96660614013672,86.22689056396484,87.18475341796875,78.62237548828125,False
Mish,0.2253281799004364,3,0,1,1,3,3,on,0.0001329890802924,93,91.19155883789062,-2.895094871520996,-0.1178896725177764,31,0.3908190727233886,1046.2919840812683,1691698211.9091358,1691699257.8098288,0.1178896725177764,103285.1328125,2.895094871520996,14.0668306350708,91.19155883789062,92.080078125,89.0606460571289,False
Mish,0.0055674040244515,0,0,0,3,2,3,on,0.0003984638174542,42,91.52648162841795,-2.489468574523926,-0.3460521399974823,33,0.3936841487884521,533.0499956607819,1691698211.9120014,1691698744.5678208,0.3460521399974823,51961.4609375,2.489468574523926,74.69330596923828,91.52648162841795,91.36968994140624,89.42281341552734,False
ReLU,0.8792068583400277,3,4,3,0,0,4,off,4.697855768342626e-05,28,73.72795104980469,-2.7081258296966557,-0.1209381893277168,34,0.3959615230560303,331.0710835456848,1691698211.9142785,1691698542.5889013,0.1209381893277168,31763.109375,2.7081258296966557,13.728671073913574,73.72795104980469,73.650146484375,66.1488265991211,False
Hardswish,0.0014578626881083,1,1,4,4,2,0,on,0.0001065638929307,115,91.13318634033205,-1.7188676595687866,-0.2057482451200485,35,0.397104263305664,1233.693344593048,1691698211.9154215,1691699445.2113008,0.2057482451200485,122025.21875,1.7188676595687866,41.92204284667969,91.13318634033205,89.24056243896484,86.89067077636719,False
Mish,0.0012359489527298,0,3,2,1,2,3,off,0.0003023983002341,71,89.12248992919922,-2.8455617427825928,-0.6693560481071472,37,0.4005336761474609,1056.6628532409668,1691698211.9188504,1691699268.1806526,0.6693560481071472,104322.171875,2.8455617427825928,112.23634338378906,89.12248992919922,94.86620330810548,89.81066131591797,False
Mish,0.0084386002961041,4,0,4,0,1,1,off,8.712874282990873e-05,63,87.56099700927734,-2.3182196617126465,-0.0930544137954712,39,0.4028244018554687,569.2472012042999,1691698211.9211411,1691698780.7650108,0.0930544137954712,55587.85546875,2.3182196617126465,9.1964693069458,87.56099700927734,92.15416717529295,87.10311889648438,False
ReLU,0.0065882166411167,1,0,0,0,2,1,on,6.910580613904626e-05,10,84.07915496826172,-0.8084290623664856,-0.282126247882843,41,27.251898527145386,78.84659099578857,1691698238.7702198,1691698290.3645377,0.282126247882843,5151.88330078125,0.8084290623664856,48.024051666259766,84.07915496826172,83.87541961669922,85.55948638916016,False
Mish,0.00212987137076,4,2,0,1,2,0,on,0.0001972655599731,73,92.39920043945312,-2.2462995052337646,-0.4417771995067597,42,78.89489650726318,936.0016050338744,1691698290.4132051,1691699147.519545,0.4417771995067597,85706.796875,2.2462995052337646,69.58976745605469,92.39920043945312,92.07048797607422,91.7303237915039,False
Mish,0.1355071592215645,1,2,2,0,3,0,on,0.0001193640194083,48,92.27696990966795,-2.6736762523651123,-0.5836507678031921,5,0.3599531650543213,548.4710550308228,1691698211.8782694,1691698759.988817,0.5836507678031921,53502.77734375,2.6736762523651123,72.31362915039062,92.27696990966795,92.6983871459961,93.04984283447266,False
Mish,0.645585730754317,1,3,2,1,3,0,on,0.0006202406668536,38,29.817670822143555,-2.539271116256714,-0.3326307535171509,51,764.4797677993774,1290.2188665866852,1691698975.9980838,1691699501.7368212,0.3326307535171509,52561.47265625,2.539271116256714,46.3723258972168,29.817670822143555,70.6229248046875,73.25414276123047,False
ReLU,0.0082011954077648,0,3,2,0,2,0,off,0.0003760579668667,135,93.41395568847656,-1.3574093580245972,-0.6204681992530823,7,0.3595387935638428,1184.01251912117,1691698211.8778543,1691699395.5303411,0.6204681992530823,117057.765625,1.3574093580245972,65.3163070678711,93.41395568847656,98.47220611572266,93.35929870605467,False
ReLU,0.1313779023657856,0,2,1,0,1,4,on,2.410901666398467e-05,148,84.11132049560547,-1.4896368980407717,-0.4863134920597077,8,0.3596229553222656,1225.175302028656,1691698211.877941,1691699436.6931338,0.4863134920597077,121173.40625,1.4896368980407717,53.51361083984375,84.11132049560547,94.37051391601562,93.59969329833984,False
Hardswish,0.0506284546212218,1,2,2,0,1,1,on,0.0003949200329148,114,92.39786529541016,-1.0723508596420288,-0.5762378573417664,9,0.3606188297271729,814.0287127494812,1691698211.8789372,1691699025.530073,0.5762378573417664,80062.8984375,1.0723508596420288,75.3433609008789,92.39786529541016,92.9460906982422,91.09356689453124,False
ReLU,0.0054793808173247,2,3,3,0,2,4,off,0.0009504748327442,133,92.70574188232422,-1.8283371925354004,-0.5727598667144775,65,1378.466091632843,2759.567966222763,1691699589.984408,1691700971.0856814,0.5727598667144775,138097.75,1.8283371925354004,102.91027069091795,92.70574188232422,98.15462493896484,92.0637435913086,False
ReLU,0.0893963421992064,0,1,1,2,3,4,on,0.0003542454179624,174,93.17594909667967,-1.6371411085128784,-0.3614680469036102,1,0.3497552871704101,1528.39604473114,1691698211.8681042,1691699739.9138415,0.3614680469036102,151495.703125,1.6371411085128784,46.49429702758789,93.17594909667967,95.82275390625,85.24547576904297,False
ReLU,0.0097315658082564,4,1,4,2,0,0,off,8.965286828978799e-05,148,90.12765502929688,-1.544330358505249,-0.2787285447120666,12,0.3550021648406982,1510.4731554985046,1691698211.8733182,1691699721.9783306,0.2787285447120666,149702.59375,1.544330358505249,46.03299331665039,90.12765502929688,96.56292724609376,91.45301055908205,False
Mish,0.8518236425059118,0,2,3,1,1,2,off,0.0008031457207898,147,55.50210571289063,-3.0490071773529053,-0.5922163724899292,15,0.3597335815429687,1981.2393844127653,1691698211.8780496,1691700192.7571936,0.5922163724899292,196780.578125,3.0490071773529053,75.7798843383789,55.50210571289063,93.5809326171875,88.30551147460938,False
Mish,0.5898211612836717,3,0,1,2,4,0,off,2.333558836719841e-05,152,93.7949447631836,-2.6059024333953857,-0.3633944988250733,19,0.3597464561462402,2017.8376851081848,1691698211.878059,1691700229.355554,0.3633944988250733,200434.984375,2.6059024333953857,51.27179718017578,93.7949447631836,98.43854522705078,85.219970703125,False
Hardswish,0.0130382246907441,0,4,3,4,4,2,off,0.0006832103232711,187,93.77306365966795,-2.095458745956421,-0.6656145453453064,2,0.3501789569854736,2003.491225481033,1691698211.8685098,1691700215.0090654,0.6656145453453064,199004.96875,2.095458745956421,50.70361709594727,93.77306365966795,99.87313842773438,93.42657470703124,False
ReLU,0.0239836335274398,1,4,3,1,3,3,off,0.0004447956071189,179,94.34814453125,-1.5240999460220337,-0.1468321681022644,20,0.3657515048980713,1687.630827665329,1691698211.8840644,1691699899.1486256,0.1468321681022644,167414.296875,1.5240999460220337,15.469064712524414,94.34814453125,98.51280212402344,93.08389282226562,False
Hardswish,0.3224736506497296,0,3,2,1,0,4,off,0.000218076521991,143,90.99004364013672,-1.4151725769042969,-0.1164109855890274,21,0.3685262203216553,1813.342200756073,1691698211.8868432,1691700024.860037,0.1164109855890274,179990.71875,1.4151725769042969,45.81514358520508,90.99004364013672,97.12155151367188,91.4873275756836,False
Hardswish,0.6906797701845271,3,4,0,0,2,0,off,1.951296832766771e-05,199,94.3001937866211,-1.4829941987991333,-0.2386925220489502,22,0.3718514442443848,1847.352300643921,1691698211.8901696,1691700058.870144,0.2386925220489502,183391.8125,1.4829941987991333,47.18220901489258,94.3001937866211,99.77449035644533,93.09562683105467,False
Mish,0.001819366610545,0,2,2,2,4,0,off,1.570532659107438e-05,159,92.00041198730467,-2.2729241847991943,-0.5393604636192322,23,0.3740262985229492,2628.3475091457367,1691698211.8923423,1691700839.8653266,0.5393604636192322,261490.546875,2.2729241847991943,82.86956787109375,92.00041198730467,99.03401947021484,92.07310485839844,False
Hardswish,0.4623963990016487,2,2,4,3,4,3,on,7.799442118279911e-05,156,93.5208969116211,-2.246048212051392,-0.5669498443603516,29,0.3871967792510986,1930.0594680309296,1691698211.905511,1691700141.5773234,0.5669498443603516,191657.15625,2.246048212051392,87.96565246582031,93.5208969116211,95.00753784179688,92.2025375366211,False
Mish,0.006907569185308,3,0,3,4,2,4,off,2.780079609853737e-05,162,93.7355499267578,-3.6932008266448975,-0.3916089832782745,3,0.3509066104888916,2755.758495092392,1691698211.8692253,1691700967.2763152,0.3916089832782745,274231.9375,3.6932008266448975,57.68914413452149,93.7355499267578,99.34120178222656,93.30300903320312,False
Hardswish,0.003021601072682,3,2,0,0,2,3,off,1.0581535280998726e-05,190,93.31686401367188,-1.1785452365875244,-0.5716716647148132,32,0.3914053440093994,1811.771121263504,1691698211.909719,1691700023.288948,0.5716716647148132,179832.90625,1.1785452365875244,74.25321197509766,93.31686401367188,99.34162139892578,94.16790771484376,False
Hardswish,0.5233688676041537,4,4,2,4,2,4,on,2.066771360933108e-05,129,90.62169647216795,-3.2085208892822266,-0.5600830316543579,36,0.3986415863037109,1754.291984796524,1691698211.9169586,1691699965.8097866,0.5600830316543579,174085.171875,3.2085208892822266,86.25529479980469,90.62169647216795,93.02703857421876,90.88631439208984,False
Hardswish,0.0471087076424349,1,2,4,3,2,0,on,0.0001772198471949,188,95.08836364746094,-1.6801917552947998,-0.7193203568458557,38,0.4011235237121582,1985.1115262508392,1691698211.9194374,1691700196.629348,0.7193203568458557,197162.359375,1.6801917552947998,83.26850128173828,95.08836364746094,96.1974639892578,93.7767105102539,True
Mish,0.8545920947925405,2,1,1,4,0,1,off,1.1674862380568054e-05,112,84.23600006103516,-2.218295097351074,-0.4253114759922027,4,0.3504176139831543,1590.3964331150055,1691698211.8687425,1691699801.9142745,0.4253114759922027,157702.78125,2.218295097351074,37.53939056396485,84.23600006103516,89.80760192871094,58.95825958251953,False
Hardswish,0.0049957660376149,3,3,4,4,1,2,on,5.0349439799001134e-05,158,94.14571380615234,-1.9257926940917969,-0.3868029415607453,40,26.09963822364807,1790.037246465683,1691698237.6179593,1691700001.5551853,0.3868029415607453,176381.265625,1.9257926940917969,51.42828369140625,94.14571380615234,96.21734619140624,93.67878723144533,False
ReLU,0.0102551304008869,3,2,2,4,4,4,on,1.3380562843945686e-05,174,93.51758575439452,-2.137501001358032,-0.6177932024002075,43,112.4558606147766,2275.385202884674,1691698323.9741788,1691700486.9031394,0.6177932024002075,216280.484375,2.137501001358032,73.4456558227539,93.51758575439452,96.35832214355467,94.10063934326172,False
Mish,0.2811387039537389,4,1,0,3,3,3,on,8.690560382364257e-05,171,93.90149688720705,-1.9210283756256104,-0.1882757693529129,44,140.35804748535156,2055.9771916866302,1691698351.8763645,1691700267.4950995,0.1882757693529129,191549.484375,1.9210283756256104,17.665788650512695,93.90149688720705,95.79759216308594,93.47964477539062,False
Hardswish,0.1712400215981409,1,2,2,3,0,3,on,0.0002123083924894,127,92.71119689941406,-1.367085099220276,-0.6076859831809998,45,331.26200819015503,1378.881733417511,1691698542.780327,1691699590.3996792,0.6076859831809998,104749.4765625,1.367085099220276,82.00531005859375,92.71119689941406,94.29039001464844,93.52246856689452,False
Mish,0.0139297843035016,0,0,4,4,0,3,on,0.000294104153252,160,90.53006744384766,-2.620063066482544,-0.0996137633919716,46,374.7593340873718,2403.848777770996,1691698586.2776527,1691700615.366726,0.0996137633919716,202896.5,2.620063066482544,12.050556182861328,90.53006744384766,90.84051513671876,92.44029998779295,False
Mish,0.0099679255212003,1,3,3,3,0,1,on,0.0002401365825744,161,93.52161407470705,-2.2741990089416504,-0.1508819609880447,47,533.2321209907532,2224.8965570926666,1691698744.7504385,1691700436.4145195,0.1508819609880447,169154.015625,2.2741990089416504,16.665145874023438,93.52161407470705,93.70305633544922,92.94336700439452,False
Hardswish,0.0305103135108479,4,1,1,3,2,0,on,3.911551705438623e-05,123,93.0308609008789,-1.3479429483413696,-0.2239834815263748,48,548.662632226944,1751.7647244930267,1691698760.1809509,1691699963.282667,0.2239834815263748,120297.765625,1.3479429483413696,46.16155242919922,93.0308609008789,94.65177917480467,71.064208984375,False
Mish,0.1174747268870924,0,2,3,1,3,1,on,0.0005196090965572,62,78.2178955078125,-2.31619930267334,-0.4405478239059448,50,622.3184444904327,1501.1343264579773,1691698833.8367598,1691699712.6522565,0.4405478239059448,87869.171875,2.31619930267334,55.55437850952149,78.2178955078125,88.9682388305664,86.64897918701172,False
Hardswish,0.0205946015282869,0,4,3,0,4,3,on,0.0006582463881323,133,89.89820098876953,-1.8422276973724363,-0.1059851646423339,52,814.665554523468,2123.532134771347,1691699026.1838682,1691700335.050074,0.1059851646423339,130879.328125,1.8422276973724363,12.976752281188965,89.89820098876953,93.79876708984376,92.16217041015624,False
Hardswish,0.0129990968117337,0,3,2,0,2,1,on,0.0008166223912525,114,91.9778289794922,-1.3467106819152832,-0.4095385074615478,53,894.1719162464142,1741.333377122879,1691699105.6902306,1691699952.851323,0.4095385074615478,84703.703125,1.3467106819152832,68.60520935058594,91.9778289794922,92.57735443115234,89.68267822265625,False
ReLU,0.0247041062506113,1,3,4,1,2,0,on,0.0006481115884209,114,90.8531265258789,-1.5810716152191162,-0.3227792680263519,54,914.6805062294006,2122.8290450572968,1691699126.19882,1691700334.346993,0.3227792680263519,120802.421875,1.5810716152191162,39.80327224731445,90.8531265258789,90.7899932861328,91.54597473144533,False
ReLU,0.0017915666175482,0,3,0,1,2,0,on,0.0008030230448209,109,92.85382843017578,-1.17940354347229,-0.364221453666687,55,936.2087440490724,1758.0079514980316,1691699147.7270567,1691699969.5259004,0.364221453666687,82167.53125,1.17940354347229,39.980445861816406,92.85382843017578,91.83296966552734,91.3681411743164,False
ReLU,0.7710854844478108,4,4,4,2,3,1,on,1.7068215065081324e-05,126,72.53439331054688,-2.005194664001465,-0.321443110704422,59,1184.360140800476,2648.6238384246826,1691699395.8784578,1691700860.1417816,0.321443110704422,146413.921875,2.005194664001465,54.34165573120117,72.53439331054688,88.8771743774414,65.87073516845703,False
Mish,0.2144061512438615,3,0,0,1,2,0,on,3.632944808734483e-05,184,93.75730895996094,-2.829617500305176,-0.3522986173629761,6,0.359821081161499,2282.041561126709,1691698211.8781374,1691700493.5593843,0.3522986173629761,226860.65625,2.829617500305176,54.59587097167969,93.75730895996094,96.14547729492188,90.90154266357422,False
ReLU,0.0134182048259139,0,4,0,0,2,0,off,0.0005472894817254,133,90.62190246582033,-1.3882129192352295,-0.3410265147686004,60,1225.5271670818329,2287.536021232605,1691699437.0454805,1691700499.0539443,0.3410265147686004,106188.4453125,1.3882129192352295,44.04021835327149,90.62190246582033,97.73724365234376,91.09809112548828,False
ReLU,0.4239954980993625,4,3,3,3,1,3,on,7.133928697394271e-05,146,94.1224136352539,-2.132970333099365,-0.1725793927907943,61,1234.0423645973206,2757.555168867111,1691699445.560681,1691700969.0731144,0.1725793927907943,152338.828125,2.132970333099365,21.928760528564453,94.1224136352539,95.1737289428711,86.31000518798828,False
ReLU,0.0264364596859053,3,4,3,1,3,1,off,0.0007607892056927,126,89.67113494873047,-1.4751228094100952,-0.1586283147335052,63,1313.9383835792542,2481.7026748657227,1691699525.4567003,1691700693.220632,0.1586283147335052,116763.9296875,1.4751228094100952,17.287931442260742,89.67113494873047,96.62657928466795,88.8409194946289,False
ReLU,0.010280888252244,1,4,1,0,4,1,off,0.0009665179867796,147,56.92325210571289,-1.6216657161712646,-0.0701323077082634,64,1354.7611830234528,2430.111374855041,1691699566.2794986,1691700641.6293235,0.0701323077082634,107522.6015625,1.6216657161712646,8.482682228088379,56.92325210571289,14.236173629760742,38.59572982788086,False
ReLU,0.0037687800915611,0,0,2,2,4,2,off,0.0009018319397363,134,92.5960464477539,-1.780387043952942,-1.001193284988403,70,1590.7580351829529,2746.0678458213806,1691699802.2763546,1691700957.585796,1.001193284988403,115518.5078125,1.780387043952942,91.50358581542967,92.5960464477539,98.12005615234376,93.01844787597656,False
ReLU,0.5743710550323069,1,4,0,1,1,1,off,0.0002178204649518,188,93.51983642578124,-1.3834309577941897,-0.0735198855400085,100,2759.80726647377,3952.265321016312,1691700971.325579,1691702163.7573104,0.0735198855400085,119230.5,1.3834309577941897,9.71123504638672,93.51983642578124,95.42928314208984,92.52198028564452,False
Mish,0.4874276290055527,1,0,2,2,3,1,on,0.0003635082664939,169,92.9102554321289,-3.0317952632904053,-0.6253020167350769,16,0.3597302436828613,3217.462968111038,1691698211.8780472,1691701428.980803,0.6253020167350769,320402.375,3.0317952632904053,80.814697265625,92.9102554321289,93.6834487915039,92.10296630859376,False
Mish,0.1301370881864009,3,4,2,1,3,0,on,0.0003946129618409,150,93.88748168945312,-3.2750396728515625,-0.3578618764877319,49,569.6983911991119,3030.0013575553894,1691698781.2167077,1691701241.5192962,0.3578618764877319,246017.90625,3.2750396728515625,46.790435791015625,93.88748168945312,94.8244400024414,93.3731689453125,False
