,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,Mish,0.39868553257580375,0,0,2,4,1,0,off,0.000659064303067485,79,72.0063705444336,-2.6102335453033447,-0.33268865942955017,0,1688837090.0876637,1688837932.9074178,72.0063705444336,78.98727416992188,0.33268865942955017,41.21291732788086,68.6257095336914,84155.515625,2.6102335453033447
1,Hardswish,0.057622316090800256,4,2,4,1,4,4,on,3.9853768724863746e-05,60,89.40109252929688,-2.8377685546875,-0.34770461916923523,1,1688837090.4199471,1688838049.8269553,89.40109252929688,90.28438568115234,0.34770461916923523,52.52182388305664,87.11804962158203,95841.5078125,2.8377685546875
2,Hardswish,0.898959700411607,4,4,4,0,2,2,on,0.0003185579120873231,131,80.12774658203125,-2.8009841442108154,-0.41615191102027893,2,1688837090.425193,1688838767.3035777,80.12774658203125,80.56526184082031,0.41615191102027893,77.29296112060547,81.28173828125,167589.390625,2.8009841442108154
3,Mish,0.5601688862277542,0,1,4,4,0,3,on,0.0005648277441739275,7,52.6999397277832,-2.437277317047119,-0.10439233481884003,3,1688837090.4278393,1688837175.3795612,52.6999397277832,79.5105972290039,0.10439233481884003,12.431509971618652,59.400760650634766,8400.9541015625,2.437277317047119
4,Mish,0.6276145250869279,0,0,4,0,4,4,off,0.0005376865676380219,16,46.5396614074707,-2.3949623107910156,-0.08259450644254684,4,1688837093.1763296,1688837349.8314745,46.5396614074707,77.91148376464844,0.08259450644254684,8.639667510986328,32.072635650634766,25535.578125,2.3949623107910156
5,Mish,0.12904111803016452,0,1,1,4,1,4,on,0.000560151692752248,89,81.53543853759766,-2.16709041595459,-0.08871804922819138,5,1688837093.231163,1688838040.636116,81.53543853759766,89.06036376953125,0.08871804922819138,11.033413887023926,85.32272338867188,94623.3046875,2.16709041595459
6,Mish,0.9286648540532418,4,3,0,0,2,3,off,0.0007741385011296374,152,57.747615814208984,-3.0774905681610107,-0.37288933992385864,6,1688837093.4752069,1688839546.257689,57.747615814208984,97.20437622070312,0.37288933992385864,42.348304748535156,86.52393341064453,245178.46875,3.0774905681610107
7,ReLU,0.9182594389168617,2,2,0,2,3,3,off,0.0003248083079234067,39,69.05291748046875,-2.0425984859466553,-0.72038334608078,7,1688837093.482157,1688837506.8773122,69.05291748046875,90.05886840820312,0.72038334608078,95.99076843261719,66.36103820800781,41240.16796875,2.0425984859466553
8,Hardswish,0.10929725808547666,4,4,3,3,1,0,off,0.0009592742680100245,157,83.71861267089844,-2.1539058685302734,-0.1280374377965927,8,1688837093.559242,1688838563.8856547,83.71861267089844,97.82598876953125,0.1280374377965927,15.658578872680664,86.88642883300781,146887.390625,2.1539058685302734
9,Hardswish,0.7351851453452712,0,1,3,4,2,3,off,0.00035135195989249927,101,58.501319885253906,-1.5962597131729126,-0.2673189043998718,9,1688837093.5883257,1688838293.9719262,58.501319885253906,93.55815887451172,0.2673189043998718,47.55020523071289,65.19149017333984,119893.3828125,1.5962597131729126
10,Hardswish,0.608712009205208,4,3,4,0,2,2,off,0.0009754302266399952,91,39.665523529052734,-1.8913666009902954,-0.46161720156669617,10,1688837093.6908243,1688838092.7764065,39.665523529052734,50.275978088378906,0.46161720156669617,75.31385040283203,82.31233978271484,99774.3515625,1.8913666009902954
11,Hardswish,0.20268263730567543,1,3,1,2,3,4,on,0.000455632581851586,21,49.79190444946289,-1.7052335739135742,-0.4174860119819641,11,1688837093.698154,1688837293.3799891,49.79190444946289,78.03221893310547,0.4174860119819641,48.931156158447266,76.68751525878906,19829.021484375,1.7052335739135742
12,Mish,0.36860196443313575,0,1,2,3,4,3,off,0.00011684477036080162,155,94.06820678710938,-2.6874635219573975,-0.36232122778892517,12,1688837093.7074347,1688839196.6183214,94.06820678710938,97.33747100830078,0.36232122778892517,52.32460403442383,92.13794708251953,210158.015625,2.6874635219573975
13,Hardswish,0.8816032411303406,1,4,3,3,1,2,on,0.0002696598799803073,162,90.91552734375,-1.7677195072174072,-0.3342600464820862,13,1688837093.7135053,1688839036.447383,90.91552734375,95.42522430419922,0.3342600464820862,50.193363189697266,90.74909210205078,194141.265625,1.7677195072174072
14,ReLU,0.8955413709338916,2,2,2,2,3,3,off,0.00025743143819962846,52,68.79312896728516,-1.9268481731414795,-0.8365815877914429,14,1688837093.7206075,1688837563.3252213,68.79312896728516,89.73204803466797,0.8365815877914429,114.98332977294922,78.5290298461914,46820.609375,1.9268481731414795
15,ReLU,0.20395747193590824,2,0,3,4,4,3,on,0.0005706362614431354,34,79.3218994140625,-2.2464702129364014,-0.4680398404598236,15,1688837093.7239075,1688837422.7902336,79.3218994140625,87.44017028808594,0.4680398404598236,52.859683990478516,81.78036499023438,32766.5546875,2.2464702129364014
16,Mish,0.474277902872568,1,4,1,1,0,0,off,0.00010774902446730531,132,90.67569732666016,-2.2201688289642334,-0.0997573658823967,16,1688837093.7268558,1688838394.2254717,90.67569732666016,82.33798217773438,0.0997573658823967,9.613500595092773,88.23003387451172,129916.7578125,2.2201688289642334
17,Hardswish,0.5856366831501183,0,3,3,0,1,3,on,0.0006101068037214057,191,91.5072021484375,-1.3077205419540405,-0.11021804809570312,17,1688837093.730044,1688838976.5765207,91.5072021484375,95.02674102783203,0.11021804809570312,17.622482299804688,93.79505920410156,188145.125,1.3077205419540405
18,Hardswish,0.5267256275951895,0,3,4,4,0,1,on,0.0008863790472338473,15,47.08304977416992,-1.437601923942566,-0.08983942866325378,18,1688837093.7328706,1688837295.9391506,47.08304977416992,63.65352249145508,0.08983942866325378,13.162097930908203,63.34935760498047,20081.826171875,1.437601923942566
19,Mish,0.03460845480064007,0,0,1,0,2,2,off,0.0002799124428462959,50,87.97869110107422,-2.417393207550049,-0.5911378264427185,19,1688837093.7355359,1688837603.789261,87.97869110107422,93.55550384521484,0.5911378264427185,80.56588745117188,88.26598358154297,50866.6171875,2.417393207550049
20,ReLU,0.7774468413612166,2,4,0,3,4,2,off,0.000231483826455956,143,91.07209777832031,-2.591386318206787,-0.6098092794418335,20,1688837093.7384574,1688839022.8584228,91.07209777832031,95.4122543334961,0.6098092794418335,74.45008087158203,90.6930923461914,192784.96875,2.591386318206787
