,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,Hardswish,0.5709420179152366,0,1,2,2,3,4,off,5.311232971324222e-05,96,90.93028259277344,-1.8416378498077397,-0.5407660603523254,21,0.2703893184661865,924.0309028625488,1688617829.72661,1688618753.4863193,90.93028259277344,94.63849639892578,0.5407660603523254,69.43697357177734,93.23619842529295,92206.0,1.8416378498077397
1,ReLU,0.4071766128677575,4,3,4,2,4,2,on,0.0003546214442896,52,75.35993957519531,-2.3379547595977783,-0.6143409013748169,1,0.2667162418365478,696.2709777355194,1688617829.7229705,1688618525.726685,75.35993957519531,87.05840301513672,0.6143409013748169,82.12000274658203,75.98756408691406,69424.21875,2.3379547595977783
2,ReLU,0.2403182552225701,1,2,4,1,1,1,on,0.0004996942142885,144,88.23560333251953,-1.9408857822418213,-0.4024408161640167,10,0.2766675949096679,915.6026434898376,1688617829.732889,1688618745.0583742,88.23560333251953,86.76364135742188,0.4024408161640167,46.80727767944336,86.30632019042969,91348.984375,1.9408857822418213
3,Mish,0.151321647781633,2,1,3,2,1,1,on,0.0008283645736549,67,81.96928405761719,-2.2622592449188232,-0.5826160311698914,13,0.2709002494812011,875.0743410587311,1688617829.727117,1688618704.5300367,81.96928405761719,87.99803161621094,0.5826160311698914,82.4608383178711,83.30642700195312,87307.8359375,2.2622592449188232
4,ReLU,0.2144446052436588,1,2,1,1,1,3,on,1.1236037237865944e-05,51,89.37126159667969,-1.3370966911315918,-0.4232192635536194,16,0.2712438106536865,456.5827534198761,1688617829.727466,1688618286.03765,89.37126159667969,74.52326202392578,0.4232192635536194,54.68344497680664,88.46574401855469,45446.7890625,1.3370966911315918
5,Mish,0.2254428868223852,3,2,2,0,1,1,on,0.0009766060400354,109,86.80718994140625,-2.8957183361053467,-0.5603301525115967,17,0.2768080234527588,888.433066368103,1688617829.7330258,1688618717.8878646,86.80718994140625,87.53203582763672,0.5603301525115967,85.47598266601562,85.35911560058594,88627.9609375,2.8957183361053467
6,ReLU,0.544751207079613,4,2,0,3,3,1,on,0.0002290196526844,46,70.45197296142578,-1.1500049829483032,-0.3562922477722168,19,0.2763984203338623,459.8348717689514,1688617829.732627,1688618289.2906013,70.45197296142578,81.354736328125,0.3562922477722168,56.9135856628418,79.96680450439453,45783.7265625,1.1500049829483032
7,ReLU,0.7192688458885436,1,0,4,0,0,1,on,0.0005695113280033,109,74.41197967529297,-1.4179272651672363,-0.0896161869168281,2,0.2667224407196045,586.6045396327972,1688617829.7229674,1688618416.0602753,74.41197967529297,62.73844146728515,0.0896161869168281,8.695963859558105,43.27335739135742,58449.546875,1.4179272651672363
8,Hardswish,0.1186857208448072,1,2,2,3,0,0,off,0.0009494556803364,20,82.99720764160156,-1.2254821062088013,-0.6072043180465698,22,0.2710573673248291,138.2604696750641,1688617829.727274,1688617967.7161543,82.99720764160156,90.75164794921876,0.6072043180465698,76.29085540771484,77.19882202148438,13626.4208984375,1.2254821062088013
9,Hardswish,0.9664307895590536,3,3,0,2,3,2,off,0.0005111542611264,1,35.42034912109375,-1.5730314254760742,-0.5573914051055908,25,0.2775676250457763,14.591681718826294,1688617829.7337892,1688617844.0465858,35.42034912109375,57.08753204345703,0.5573914051055908,72.54641723632812,35.9586296081543,1258.7845458984375,1.5730314254760742
