p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Mish,0.04209239034858693,3,1,1,0,0,2,on,0.00018068117471293295,80,92.10968780517578,-2.024226427078247,-0.3498910665512085,70,0.5053181648254395,985.3216421604156,1688837082.934162,1688838067.749643,92.10968780517578,93.18340301513672,0.3498910665512085,48.52060317993164,90.57148742675781,98070.265625,2.024226427078247
Hardswish,0.2219372844117392,1,1,4,0,4,2,off,0.0003536547894908446,103,89.30221557617188,-1.8415106534957888,-0.29352015256881714,0,0.40854573249816895,861.246720790863,1688837082.8373868,1688837943.6750517,89.30221557617188,92.61650848388672,0.29352015256881714,36.53661346435547,80.08082580566406,85681.1953125,1.8415106534957888
ReLU,0.7514554437468032,2,0,0,0,2,0,off,6.336830464264384e-05,42,68.60980987548828,-1.2345784902572632,-0.5902490019798279,1,0.40857553482055664,329.96376943588257,1688837082.8374283,1688837412.391457,68.60980987548828,90.4778823852539,0.5902490019798279,82.52137756347656,62.0163688659668,32552.8125,1.2345784902572632
Mish,0.7294969197820748,1,3,3,1,4,3,off,0.0006975879630329231,16,40.83007049560547,-2.354792594909668,-0.2626301348209381,100,0.5395355224609375,289.18970942497253,1688837082.9683716,1688837371.6173754,40.83007049560547,68.55316162109375,0.2626301348209381,15.713788986206056,41.85090637207031,28470.390625,2.354792594909668
ReLU,0.20390024204161117,3,3,0,2,3,2,on,0.0006222384585254706,52,80.3412094116211,-1.564281702041626,-0.6184626817703247,101,0.546605110168457,488.7644274234772,1688837082.975445,1688837571.1927664,80.3412094116211,85.3809585571289,0.6184626817703247,82.17744445800781,86.31660461425781,48414.75390625,1.564281702041626
ReLU,0.4852813766988951,3,0,3,0,0,1,off,0.0004837764982256532,15,51.39568328857422,-1.0418561697006226,-0.1172710433602333,102,0.5386021137237549,102.12889766693117,1688837082.9674497,1688837184.5564878,51.39568328857422,84.12213897705078,0.1172710433602333,14.500130653381348,52.2027473449707,9747.9326171875,1.0418561697006226
ReLU,0.6812440331582664,3,1,3,3,0,4,off,0.00044006364578593545,60,64.46320343017578,-1.783141016960144,-0.14307068288326263,103,0.5494744777679443,526.8732187747955,1688837082.9783125,1688837609.3015518,64.46320343017578,88.00914001464844,0.14307068288326263,19.126163482666016,71.82575988769531,52225.4296875,1.783141016960144
ReLU,0.4343307803942746,0,2,4,1,1,0,off,0.0003348314790207934,20,78.81371307373047,-1.4718341827392578,-0.37461671233177185,104,0.5599327087402344,158.62964296340942,1688837082.9887726,1688837241.0573854,78.81371307373047,89.80766296386719,0.37461671233177185,51.171531677246094,73.5185546875,15394.1181640625,1.4718341827392578
Mish,0.24688432410616176,1,1,3,1,3,2,off,0.00011923183657865804,5,80.1545181274414,-2.436671257019043,-0.4003190398216248,106,0.544945240020752,57.595738649368286,1688837082.973782,1688837140.0240915,80.1545181274414,86.9061279296875,0.4003190398216248,46.64548873901367,68.64693450927734,5327.3779296875,2.436671257019043
ReLU,0.3626575266585436,4,2,0,2,2,3,off,0.00039348696760802,66,78.2331314086914,-1.6825463771820068,-0.6122332811355591,11,0.4088292121887207,698.6104502677917,1688837082.8376946,1688837781.038785,78.2331314086914,89.84557342529297,0.6122332811355591,95.82852935791016,77.95222473144531,69393.296875,1.6825463771820068
ReLU,0.8985077648361377,0,2,3,3,1,4,on,0.0008591298465504376,96,21.27515983581543,-3.709352970123291,-0.6252729892730713,114,0.5848379135131836,914.0479383468628,1688837083.0136738,1688837996.4754367,21.27515983581543,21.19607162475586,0.6252729892730713,61.29160690307617,53.116207122802734,90932.9921875,3.709352970123291
ReLU,0.9634543343491286,0,0,1,1,4,3,on,6.722403115092654e-05,89,72.09228515625,-1.989702582359314,-0.14300434291362762,116,0.5982334613800049,616.9403922557831,1688837083.0270698,1688837699.3687522,72.09228515625,87.9914321899414,0.14300434291362762,8.708406448364258,58.51153945922851,61231.38671875,1.989702582359314
Mish,0.1067110854063464,2,3,3,0,4,4,on,0.0009339834859981692,21,79.43718719482422,-2.8385770320892334,-0.43824440240859985,117,0.5867023468017578,399.0617792606354,1688837083.015547,1688837481.490137,79.43718719482422,88.34789276123047,0.43824440240859985,45.905029296875,71.58478546142578,39441.00390625,2.8385770320892334
ReLU,0.5229370457431888,2,1,4,0,4,3,on,0.0009617342461278996,3,40.90552520751953,-1.593040108680725,-0.3993076980113983,118,0.5716357231140137,39.2878360748291,1688837083.000473,1688837121.7161975,40.90552520751953,55.425750732421875,0.3993076980113983,41.44294738769531,65.05096435546875,3484.27978515625,1.593040108680725
