,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,Mish,0.588491143564911,2,4,0,3,1,2,on,0.0002248213324509734,199,94.91967010498047,-2.2805278301239014,-0.5738065838813782,0,1688793743.959607,1688797124.0133517,94.91967010498047,97.97523498535156,0.5738065838813782,99.04168701171875,94.21147155761719,337835.21875,2.2805278301239014
1,Hardswish,0.5658067937707009,1,3,1,2,2,2,off,0.0002310192561434537,53,86.54443359375,-1.5481849908828735,-0.6082268357276917,1,1688793744.3584027,1688794335.9725378,86.54443359375,89.52517700195312,0.6082268357276917,83.39476013183594,63.0213623046875,59032.0390625,1.5481849908828735
2,ReLU,0.34083447520697263,0,2,3,3,2,0,on,0.0007669895881056163,53,53.10318374633789,-1.6201391220092773,-0.7132321000099182,2,1688793744.3611393,1688794343.0976038,53.10318374633789,69.5548095703125,0.7132321000099182,91.55519104003906,53.45940399169922,59743.62109375,1.6201391220092773
3,ReLU,0.20700833323248577,1,0,0,0,0,0,on,0.0007074564308066168,6,57.09114456176758,-0.8961623907089233,-0.09175580739974976,3,1688793744.364294,1688793783.8195822,57.09114456176758,79.20195007324219,0.09175580739974976,8.377555847167969,54.41382598876953,3822.922607421875,0.8961623907089233
4,Mish,0.14665815876189242,0,4,2,0,1,3,on,0.0004435012723355501,137,91.25237274169922,-2.550903081893921,-0.3526594042778015,4,1688793745.890831,1688795429.6154606,91.25237274169922,92.94256591796875,0.3526594042778015,48.93083953857422,92.6958999633789,168192.328125,2.550903081893921
5,Hardswish,0.28743886966297594,3,0,1,2,3,3,on,0.0008429084515972717,122,64.90705871582031,-1.6790647506713867,-0.3676380515098572,5,1688793745.8932788,1688794874.2710187,64.90705871582031,87.48722076416016,0.3676380515098572,46.24299240112305,83.91787719726562,112661.8828125,1.6790647506713867
6,Mish,0.49403598479912186,2,2,2,4,3,4,off,0.0008728585224677687,5,35.182395935058594,-3.2148120403289795,-0.8085353970527649,6,1688793745.9070706,1688793850.879401,35.182395935058594,75.44344329833984,0.8085353970527649,113.30089569091797,38.848846435546875,10318.943359375,3.2148120403289795
7,Hardswish,0.4979115014784187,0,3,1,3,0,3,on,9.705506286230272e-05,55,90.97494506835938,-1.3609648942947388,-0.10872960835695267,7,1688793745.8134208,1688794208.4270191,90.97494506835938,90.81131744384766,0.10872960835695267,17.356306076049805,88.54570770263672,46073.73828125,1.3609648942947388
8,ReLU,0.9436351864183372,0,4,3,3,4,0,on,0.0002970940958816396,77,68.21745300292969,-2.8765833377838135,-0.13430730998516083,8,1688793745.9103093,1688794493.2682376,68.21745300292969,84.15899658203125,0.13430730998516083,14.089905738830566,58.46309280395508,74547.828125,2.8765833377838135
9,Mish,0.6670726262552376,1,1,3,1,0,2,off,0.0003793702807100193,47,69.34040832519531,-2.468740701675415,-0.3659999370574951,9,1688793745.9352682,1688794294.9548929,69.34040832519531,79.46499633789062,0.3659999370574951,44.59693145751953,60.96153259277344,54716.12890625,2.468740701675415
10,ReLU,0.9596659339994079,0,1,1,2,0,4,off,5.523233276781988e-05,36,48.2074089050293,-1.6781913042068481,-0.21688741445541382,10,1688793745.9377522,1688794020.6290143,48.2074089050293,84.21665954589844,0.21688741445541382,46.11814880371094,39.35309982299805,27283.529296875,1.6781913042068481
11,Hardswish,0.049540203262503794,0,1,3,3,0,3,off,0.00035328441348646635,186,94.29215240478516,-1.1662412881851196,-0.13435958325862885,11,1688793745.9684443,1688795395.9887736,94.29215240478516,99.05545806884766,0.13435958325862885,16.73384666442871,93.65839385986328,164828.46875,1.1662412881851196
12,Hardswish,0.22563043856305925,1,4,3,4,0,4,off,0.0008521435541263775,37,50.58242416381836,-1.9757808446884155,-0.11271282285451889,12,1688793745.9710684,1688794133.4085548,50.58242416381836,85.98452758789062,0.11271282285451889,12.10420036315918,55.598785400390625,38533.1015625,1.9757808446884155
13,Hardswish,0.24482261997832344,3,4,3,2,0,2,off,0.0008960447553953807,118,83.50602722167969,-1.9832160472869873,-0.6172304153442383,13,1688793745.9739625,1688795395.6206264,83.50602722167969,92.9037094116211,0.6172304153442383,77.50653076171875,71.62210845947266,164754.40625,1.9832160472869873
14,ReLU,0.012613138077108007,1,3,3,1,1,0,off,0.0007319992908360791,28,90.369384765625,-1.240488052368164,-0.16869671642780304,14,1688793745.9793541,1688793925.0557745,90.369384765625,93.16070556640625,0.16869671642780304,13.960464477539062,86.41934967041016,17697.798828125,1.240488052368164
15,ReLU,0.6918810910677942,3,3,4,0,1,2,on,0.0002619828937893828,159,92.19869232177734,-1.9064433574676514,-0.35748574137687683,15,1688793745.9846342,1688795607.5463758,92.19869232177734,91.11641693115234,0.35748574137687683,50.80567932128906,93.02122497558594,185946.9375,1.9064433574676514
16,Hardswish,0.5483253704576344,1,1,2,3,3,0,on,0.00015706389216551257,121,90.07032775878906,-1.2500929832458496,-0.28544092178344727,16,1688793745.9878035,1688794794.8873453,90.07032775878906,92.85707092285156,0.28544092178344727,44.72697067260742,92.36762237548828,104706.7734375,1.2500929832458496
17,Mish,0.44620266669869413,0,1,3,4,1,3,off,0.0005944354139612169,61,75.13624572753906,-2.1813223361968994,-0.12872010469436646,17,1688793745.9903593,1688794470.962776,75.13624572753906,82.05660247802734,0.12872010469436646,16.001205444335938,64.20999908447266,72323.453125,2.1813223361968994
18,ReLU,0.3776746044089868,1,2,3,1,2,4,on,0.00040119617338977485,130,86.15524291992188,-1.7287349700927734,-0.707635223865509,18,1688793745.9929838,1688794978.1481292,86.15524291992188,90.7070083618164,0.707635223865509,86.8531723022461,88.64411926269531,123041.2890625,1.7287349700927734
19,Mish,0.12386142741211632,3,0,0,2,1,4,on,0.0006831158306475886,117,74.13356018066406,-2.6765689849853516,-0.41004982590675354,19,1688793745.9958935,1688794996.0516462,74.13356018066406,89.34114074707031,0.41004982590675354,43.53866195678711,82.51232147216797,124822.9609375,2.6765689849853516
20,Mish,0.23371296015322304,4,0,2,2,1,4,on,0.0008780551083100769,66,53.808441162109375,-3.605928897857666,-0.6249777674674988,20,1688793745.924511,1688794682.3205867,53.808441162109375,40.310516357421875,0.6249777674674988,78.3542251586914,36.48177719116211,93424.4765625,3.605928897857666
21,ReLU,0.2058014439912626,2,0,0,4,4,2,on,0.000696113970404106,1,51.20877456665039,-1.8713767528533936,-0.4890103042125702,21,1688793745.9986055,1688793761.3707597,51.20877456665039,58.91987228393555,0.4890103042125702,74.17762756347656,41.65961456298828,1324.76318359375,1.8713767528533936
22,Mish,0.8741034193158349,0,3,3,2,1,2,on,0.00016084891858503692,123,85.74480438232422,-5.0295939445495605,-0.5598408579826355,22,1688793746.0012486,1688795937.917806,85.74480438232422,93.60035705566406,0.5598408579826355,77.24301147460938,89.75239562988281,218984.328125,5.0295939445495605
23,ReLU,0.0749425395825525,2,1,3,4,0,4,off,0.0005740302607868625,135,92.11947631835938,-1.6715805530548096,-0.4086383581161499,23,1688793746.0038602,1688795200.7812693,92.11947631835938,96.1891860961914,0.4086383581161499,43.60999298095703,91.75666809082031,145257.0,1.6715805530548096
24,Mish,0.6219633568502856,4,0,3,2,0,2,on,0.0008383413769675721,151,58.224613189697266,-4.60042142868042,-0.5654810070991516,24,1688793746.0064464,1688796324.1408606,58.224613189697266,83.74004364013672,0.5654810070991516,76.6654052734375,88.49530029296875,257606.34375,4.60042142868042
25,ReLU,0.14657918629526245,0,4,2,1,2,3,off,0.0009950610040553199,121,75.14643859863281,-1.740517258644104,-0.6658079028129578,25,1688793746.0089467,1688795113.8630815,75.14643859863281,93.01252746582031,0.6658079028129578,78.3782730102539,88.56105041503906,136578.578125,1.740517258644104
26,Hardswish,0.7467651119096045,3,3,2,3,4,4,off,0.00017165213666638275,117,91.7392349243164,-2.5723652839660645,-0.3146143853664398,26,1688793746.0114226,1688795461.9977715,91.7392349243164,94.281494140625,0.3146143853664398,55.261070251464844,90.72893524169922,171378.703125,2.5723652839660645
27,ReLU,0.25524012503953897,3,4,3,4,2,4,on,0.0004512847658136254,164,91.88743591308594,-2.9672470092773438,-0.35684460401535034,27,1688793746.0139463,1688795731.9945467,91.88743591308594,93.62349700927734,0.35684460401535034,53.56965637207031,91.77665710449219,198378.328125,2.9672470092773438
28,Hardswish,0.8884432603111674,4,2,4,2,1,2,off,0.0004833461634712346,165,86.86554718017578,-2.6650781631469727,-0.6174165606498718,28,1688793746.0165148,1688795879.2761426,86.86554718017578,96.87123107910156,0.6174165606498718,80.99992370605469,80.5222396850586,213128.875,2.6650781631469727
29,Hardswish,0.6151344503469812,0,4,0,2,2,3,off,0.0005394280691518642,5,60.939964294433594,-1.3144736289978027,-0.5703316330909729,29,1688793746.0193858,1688793796.853376,60.939964294433594,76.11465454101562,0.5703316330909729,72.13740539550781,43.66103744506836,4891.8779296875,1.3144736289978027
30,ReLU,0.5070492565831622,4,3,3,3,3,3,off,0.00022311447833786875,200,94.65361785888672,-2.044919013977051,-0.21984465420246124,30,1688793746.0224655,1688796076.37277,94.65361785888672,98.69930267333984,0.21984465420246124,23.81443977355957,92.71471405029297,232838.515625,2.044919013977051
31,Mish,0.039182532825960265,0,0,2,1,0,3,off,0.0005486947922502848,40,80.56027221679688,-2.539121627807617,-0.3100142776966095,31,1688793746.0252612,1688794169.3852422,80.56027221679688,92.16275787353516,0.3100142776966095,47.053443908691406,82.84548950195312,42126.76953125,2.539121627807617
32,Hardswish,0.528281748474465,3,4,4,3,3,0,off,0.0007562076880821748,8,54.47470474243164,-1.7624077796936035,-0.14615364372730255,32,1688793746.0276165,1688793831.8025055,54.47470474243164,69.22572326660156,0.14615364372730255,16.890724182128906,32.39578628540039,8373.8330078125,1.7624077796936035
33,ReLU,0.7528809225980295,1,0,1,1,2,0,on,0.0002712773673021249,151,79.58306121826172,-1.345712423324585,-0.2721950113773346,33,1688793746.0300581,1688795325.387644,79.58306121826172,88.40533447265625,0.2721950113773346,48.60222625732422,84.01795959472656,157726.84375,1.345712423324585
34,Hardswish,0.6008261448233078,4,3,3,0,3,3,on,0.000791382372662005,91,46.16435623168945,-1.6444436311721802,-0.1560993641614914,34,1688793746.0324965,1688794724.374736,46.16435623168945,79.54536437988281,0.1560993641614914,20.234851837158203,72.88219451904297,97625.5546875,1.6444436311721802
35,Mish,0.9934160480107966,0,1,3,4,0,1,off,0.0009784813863757224,26,21.750499725341797,-1.7239253520965576,-0.1815151423215866,35,1688793746.0350633,1688794055.682194,21.750499725341797,33.08680725097656,0.1815151423215866,12.369470596313477,15.349782943725586,30760.201171875,1.7239253520965576
36,Hardswish,0.46136361628478534,0,4,3,4,2,1,on,0.0006216285941214989,45,73.36518859863281,-1.6583826541900635,-0.1983126699924469,36,1688793745.9765759,1688794217.0819266,73.36518859863281,81.94095611572266,0.1983126699924469,50.731201171875,65.62911987304688,46900.1484375,1.6583826541900635
37,Hardswish,0.43984645163024594,0,3,1,3,1,3,off,0.0004601426435379223,73,76.6395492553711,-1.2483479976654053,-0.11480297893285751,37,1688793746.0374994,1688794288.8219783,76.6395492553711,76.81201171875,0.11480297893285751,17.409751892089844,81.25971221923828,54083.7890625,1.2483479976654053
38,Mish,0.630561276603667,2,4,2,3,0,1,on,0.00045202592336160543,108,87.12142944335938,-2.699777364730835,-0.5954444408416748,38,1688793746.0401387,1688795182.328181,87.12142944335938,92.0766372680664,0.5954444408416748,89.89593505859375,78.36132049560547,143425.046875,2.699777364730835
39,ReLU,0.747227405576354,0,0,2,0,3,3,on,0.0005534696590250906,10,51.71187210083008,-1.2447006702423096,-0.3820038437843323,39,1688793745.9820716,1688793830.1697543,51.71187210083008,87.85562133789062,0.3820038437843323,42.98427963256836,28.965646743774414,8207.07421875,1.2447006702423096
40,ReLU,0.33522970637385885,2,1,0,1,1,0,off,0.0007723366781122028,20,57.65135192871094,-1.0121572017669678,-0.16939972341060638,40,1688793761.7685935,1688793856.69905,57.65135192871094,76.34944915771484,0.16939972341060638,43.1831169128418,70.52900695800781,9481.1982421875,1.0121572017669678
41,Mish,0.788907222221611,0,1,3,0,2,4,off,0.0004367031771049579,23,53.66669845581055,-2.6298229694366455,-0.3820417821407318,41,1688793784.0784543,1688794099.896766,53.66669845581055,85.53255462646484,0.3820417821407318,37.412506103515625,57.34892654418945,31569.4765625,2.6298229694366455
42,Hardswish,0.15966349219889914,3,4,3,1,2,3,on,5.162302979611489e-05,7,77.7383804321289,-1.9635767936706543,-0.2549154758453369,42,1688793797.2518091,1688793878.0593162,77.7383804321289,86.8543472290039,0.2549154758453369,57.0161018371582,84.57566833496094,8070.263671875,1.9635767936706543
43,ReLU,0.6201856001236196,4,4,2,3,0,1,off,0.0007300201862814677,65,35.25020217895508,-1.977921485900879,-0.3508879840373993,43,1688793830.5709772,1688794575.4324324,35.25020217895508,67.33043670654297,0.3508879840373993,45.88717269897461,32.85987854003906,74476.6875,1.977921485900879
44,Mish,0.14617753863902777,0,0,0,4,2,2,on,0.0007758690823303475,122,91.48635864257812,-2.290184736251831,-0.577231228351593,44,1688793832.2035441,1688796367.0456982,91.48635864257812,91.01863098144531,0.577231228351593,79.98770141601562,90.61576080322266,253471.8125,2.290184736251831
45,Mish,0.3455581672296928,4,1,1,2,2,2,on,0.0005006348094268359,163,67.95463562011719,-3.727346658706665,-0.5822240114212036,45,1688793851.2643328,1688796326.339039,67.95463562011719,80.99849700927734,0.5822240114212036,91.72280883789062,90.56372833251953,247495.84375,3.727346658706665
46,Hardswish,0.145217431144011,0,1,1,4,3,4,on,0.00010159137003489541,154,90.75983428955078,-2.130647659301758,-0.09523776173591614,46,1688793856.963485,1688795331.709509,90.75983428955078,94.43352508544922,0.09523776173591614,12.448342323303223,92.51026916503906,147462.1875,2.130647659301758
47,Mish,0.02151786573677554,1,3,4,3,1,0,off,0.00043036014116108544,81,91.24864196777344,-2.6766624450683594,-0.1517406702041626,47,1688793878.3199797,1688794749.857374,91.24864196777344,96.04293823242188,0.1517406702041626,14.4613037109375,87.95146179199219,87141.3515625,2.6766624450683594
48,Hardswish,0.21841861524546813,2,1,1,0,0,0,on,0.0007791328048045088,124,88.85136413574219,-1.026393175125122,-0.4011111855506897,48,1688793925.4463124,1688794661.4675102,88.85136413574219,91.94074249267578,0.4011111855506897,38.76970672607422,82.29912567138672,73589.765625,1.026393175125122
49,Mish,0.32937120161134315,1,0,1,0,0,1,on,0.0009500821540933532,173,85.27911376953125,-2.3650362491607666,-0.08335714042186737,49,1688794021.032883,1688795632.4229999,85.27911376953125,13.15882396697998,0.08335714042186737,9.197210311889648,34.78104782104492,161126.640625,2.3650362491607666
50,ReLU,0.007118968335971698,1,3,0,0,0,0,on,0.0003392639542707239,83,92.8350601196289,-1.0661680698394775,-0.12133407592773438,50,1688794056.1004982,1688794726.703512,92.8350601196289,90.47537994384766,0.12133407592773438,10.992863655090332,89.76614379882812,67047.9609375,1.0661680698394775
51,ReLU,0.006431986141832879,1,3,0,0,0,0,on,0.0009689386120048298,77,87.65611267089844,-1.0656094551086426,-0.11739197373390198,51,1688794100.3073685,1688794846.0047557,87.65611267089844,89.18811798095703,0.11739197373390198,10.642186164855957,83.8617172241211,74557.390625,1.0656094551086426
52,ReLU,0.025400105219017484,1,3,0,0,1,0,on,0.0006415162793236962,190,93.94519805908203,-1.0447430610656738,-0.10304532945156097,52,1688794133.8234954,1688795289.0031185,93.94519805908203,93.14311981201172,0.10304532945156097,11.303285598754883,94.03485107421875,115505.640625,1.0447430610656738
53,ReLU,0.0756870322763048,1,3,0,0,1,0,on,0.0003578885020640905,193,94.22834014892578,-0.9948968887329102,-0.10333484411239624,53,1688794169.8131523,1688795416.603047,94.22834014892578,95.64305114746094,0.10333484411239624,11.370585441589355,93.85846710205078,124666.640625,0.9948968887329102
54,ReLU,0.36914815811133805,4,3,1,3,0,0,on,0.0003168575309576144,84,77.99664306640625,-1.55207359790802,-0.11864699423313141,54,1688794208.8420894,1688794968.430811,77.99664306640625,90.33602905273438,0.11864699423313141,16.311906814575195,82.33615112304688,75946.53125,1.55207359790802
55,ReLU,0.28705727515572227,4,3,1,3,0,0,on,0.0003444636812701339,84,86.09223937988281,-1.3746616840362549,-0.12128295004367828,55,1688794217.4978786,1688794984.9529316,86.09223937988281,92.09798431396484,0.12128295004367828,16.18560791015625,90.27947998046875,76733.125,1.3746616840362549
56,ReLU,0.34856281843960213,4,0,0,0,4,0,on,0.000392479580555676,157,89.07666015625,-1.5076137781143188,-0.09448790550231934,56,1688794289.2469988,1688795564.3765652,89.07666015625,90.98737335205078,0.09448790550231934,10.147591590881348,84.5026626586914,127501.8125,1.5076137781143188
57,ReLU,0.3396146081947239,4,0,0,0,4,0,on,0.0003003419423524917,153,90.72713470458984,-1.4811033010482788,-0.09347110241651535,57,1688794295.359909,1688795522.895079,90.72713470458984,91.77619934082031,0.09347110241651535,10.152584075927734,83.81700897216797,122741.1875,1.4811033010482788
58,ReLU,0.3568260835757313,4,0,0,0,4,0,on,0.0003964740762270121,149,85.37154388427734,-1.4532002210617065,-0.09432347118854523,58,1688794336.3855813,1688795507.7447321,85.37154388427734,90.56427764892578,0.09432347118854523,10.147536277770996,82.6117172241211,117123.546875,1.4532002210617065
59,ReLU,0.36485235398576066,4,0,0,0,4,0,on,0.00038934648927897215,178,84.41350555419922,-1.5035942792892456,-0.09370952844619751,59,1688794343.5147119,1688795878.2322948,84.41350555419922,92.2179946899414,0.09370952844619751,10.181565284729004,87.21617889404297,153459.375,1.5035942792892456
60,ReLU,0.357504437407296,4,3,1,0,4,0,on,0.0002826878617655593,133,90.6813735961914,-1.5298631191253662,-0.08217307180166245,60,1688794471.396747,1688795813.0222552,90.6813735961914,82.58686065673828,0.08217307180166245,11.413589477539062,88.75926971435547,134150.203125,1.5298631191253662
61,Hardswish,0.36677940524592684,4,3,1,0,0,0,on,0.0004625407701323977,138,72.1817626953125,-1.1860862970352173,-0.09402409940958023,61,1688794493.6957555,1688795398.045175,72.1817626953125,71.51100158691406,0.09402409940958023,11.792444229125977,87.29901123046875,90422.6171875,1.1860862970352173
62,Hardswish,0.38551769004677783,4,3,1,0,0,0,on,0.00045434565425213303,155,91.71073913574219,-1.144839882850647,-0.09468655288219452,62,1688794575.7213767,1688795661.030977,91.71073913574219,77.62255859375,0.09468655288219452,11.828658103942871,90.31680297851562,108518.5625,1.144839882850647
63,ReLU,0.004805508442681072,1,3,0,0,0,0,on,0.00013911937380664218,168,93.22491455078125,-1.0221481323242188,-0.11659111827611923,63,1688794661.7492254,1688795641.1320488,93.22491455078125,93.79491424560547,0.11659111827611923,11.313204765319824,93.06000518798828,97925.890625,1.0221481323242188
