,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Mish,0.5879007018503275,0,1,3,0,3,4,off,0.0009816523492299,81.06824493408203,-2.271764039993286,7,0.1754741668701172,0.6640350818634033,1688083275.7825303,1688083276.2707193
1,Mish,0.9506222461345252,2,4,2,3,0,0,off,0.0005654033535985,87.39083862304688,-4.150029182434082,0,0.1626529693603515,0.6598231792449951,1688083275.7697186,1688083276.2666364
2,Mish,0.6370905772993891,3,4,4,3,4,0,off,0.0006604281730871,79.59085845947266,-3.660645484924317,2,0.1636366844177246,0.6648268699645996,1688083275.770682,1688083276.2716389
3,ReLU,0.7625287035551603,4,1,2,0,1,0,off,0.0005688063541236,83.94025421142578,-1.2756872177124023,3,0.1645369529724121,0.6641862392425537,1688083275.771582,1688083276.271002
4,ReLU,0.563743853964845,3,0,0,3,0,0,off,0.0008814012525773,79.65968322753906,-0.7133578658103943,6,0.171682596206665,0.6622755527496338,1688083275.778733,1688083276.2690697
5,Hardswish,0.9313784811864524,2,1,4,4,4,2,off,0.0005739086088078,84.7705307006836,-2.68417763710022,12,0.714102029800415,0.737678050994873,1688083276.3211536,1688083276.344455
6,Mish,0.0068886126974,4,0,1,3,1,4,off,0.0001497162293698,71.3590087890625,-2.2624340057373047,1,0.1633884906768798,0.6703698635101318,1688083275.770434,1688083276.2771788
7,ReLU,0.7798329553432888,0,4,3,0,3,1,off,0.0003181610300017,85.9248275756836,-1.1586099863052368,10,0.7098631858825684,0.7332372665405273,1688083276.3169014,1688083276.3401425
8,ReLU,0.9217446985659176,3,0,2,3,3,0,off,0.000892612433136,84.25008392333984,-1.2982317209243774,11,0.7104809284210205,0.7332608699798584,1688083276.3175206,1688083276.3401608
9,ReLU,0.0164749635936534,1,2,3,0,0,3,on,0.0001969921078998,88.96558380126953,-0.8516218662261963,13,0.7155582904815674,,,
10,Hardswish,0.6927794051163518,0,0,1,3,4,3,off,0.000975653701134,77.68924713134766,-1.4106814861297607,4,0.1651651859283447,0.6756362915039062,1688083275.7722163,1688083276.2824495
11,Hardswish,0.7001464887580527,2,3,0,3,3,1,on,0.0004346615675465,89.94023895263672,-1.044461965560913,5,0.1692094802856445,0.6702115535736084,1688083275.776261,1688083276.2770176
12,Mish,0.2721327146432822,3,4,4,4,2,1,on,0.0008445967072144,87.8890609741211,-3.3778223991394043,8,0.7056827545166016,0.7285385131835938,1688083276.312732,1688083276.3354394
13,Hardswish,0.3698219011875522,0,0,4,2,3,0,off,0.0001361314637642,83.73220825195312,-1.3072645664215088,9,0.70806884765625,0.7314894199371338,1688083276.315109,1688083276.338387
14,Hardswish,0.7664298546758127,2,3,0,2,4,1,on,0.0009178771414637,87.62879943847656,-2.3094375133514404,21,0.9299817085266112,0.9534568786621094,1688083276.537033,1688083276.5602355
15,Mish,0.3219398701030739,2,3,2,2,4,1,on,0.0007810053003488,89.18750762939453,-3.517279624938965,14,0.7160594463348389,0.7394318580627441,1688083276.3231,1688083276.346329
16,ReLU,0.4058020034385203,3,2,1,2,3,2,off,0.0004383652511267,88.0826644897461,-1.381067395210266,15,0.7207522392272949,0.743732213973999,1688083276.3277926,1688083276.350633
17,Mish,0.1987194202367414,3,1,3,0,0,4,off,0.0004804874334931,87.11198425292969,-2.1087777614593506,16,0.7728869915008545,0.7953927516937256,1688083276.379925,1688083276.4022956
