,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Mish,0.5879007018503275,0,1,3,0,3,4,off,0.0009816523492299,81.06824493408203,-2.271764039993286,6,0.1665389537811279,0.6410696506500244,1688013317.6759665,1688013318.1501002
1,ReLU,0.7625287035551603,4,1,2,0,1,0,off,0.0005688063541236,83.94025421142578,-1.2756872177124023,0,0.1600635051727295,0.640557050704956,1688013317.6694777,1688013318.1497138
2,Mish,0.0068886126974,4,0,1,3,1,4,off,0.0001497162293698,71.3590087890625,-2.2624340057373047,1,0.161792516708374,0.6311640739440918,1688013317.6712115,1688013318.1403549
3,Mish,0.6370905772993891,3,4,4,3,4,0,off,0.0006604281730871,79.59085845947266,-3.660645484924317,2,0.16298508644104,0.6346695423126221,1688013317.6724026,1688013318.143871
4,Mish,0.9506222461345252,2,4,2,3,0,0,off,0.0005654033535985,87.39083862304688,-4.150029182434082,3,0.164102554321289,0.6374857425689697,1688013317.673521,1688013318.1466708
5,Hardswish,0.7001464887580527,2,3,0,3,3,1,on,0.0004346615675465,89.94023895263672,-1.044461965560913,4,0.1655640602111816,0.6287050247192383,1688013317.6749785,1688013318.1379018
6,Hardswish,0.6927794051163518,0,0,1,3,4,3,off,0.000975653701134,77.68924713134766,-1.4106814861297607,5,0.1661345958709716,0.634425163269043,1688013317.6755445,1688013318.1436143
7,ReLU,0.563743853964845,3,0,0,3,0,0,off,0.0008814012525773,79.65968322753906,-0.7133578658103943,7,0.1674511432647705,0.637641429901123,1688013317.6768658,1688013318.1468232
8,Hardswish,0.9313784811864524,2,1,4,4,4,2,off,0.0005739086088078,84.7705307006836,-2.68417763710022,15,0.691096305847168,0.7148840427398682,1688013318.2005072,1688013318.224049
9,ReLU,0.4058020034385203,3,2,1,2,3,2,off,0.0004383652511267,88.0826644897461,-1.381067395210266,10,0.6796486377716064,0.7027003765106201,1688013318.189052,1688013318.2119849
10,ReLU,0.9217446985659176,3,0,2,3,3,0,off,0.000892612433136,84.25008392333984,-1.2982317209243774,11,0.6811280250549316,0.7044315338134766,1688013318.1905348,1688013318.2137165
11,Mish,0.2721327146432822,3,4,4,4,2,1,on,0.0008445967072144,87.8890609741211,-3.3778223991394043,12,0.6832735538482666,0.7067539691925049,1688013318.1926816,1688013318.2160218
12,Hardswish,0.3698219011875522,0,0,4,2,3,0,off,0.0001361314637642,83.73220825195312,-1.3072645664215088,13,0.6838283538818359,0.7075338363647461,1688013318.1932368,1688013318.2168038
13,ReLU,0.7798329553432888,0,4,3,0,3,1,off,0.0003181610300017,85.9248275756836,-1.1586099863052368,14,0.6865503787994385,0.7103447914123535,1688013318.195959,1688013318.2196164
14,Mish,0.3219398701030739,2,3,2,2,4,1,on,0.0007810053003488,89.18750762939453,-3.517279624938965,8,0.6739521026611328,0.6966273784637451,1688013318.1833558,1688013318.205913
15,ReLU,0.0164749635936534,1,2,3,0,0,3,on,0.0001969921078998,88.96558380126953,-0.8516218662261963,9,0.6762819290161133,0.6995360851287842,1688013318.185686,1688013318.2088225
16,Hardswish,0.7747944387411633,3,3,0,4,3,3,on,0.0002152364074394,89.51229858398438,-1.4585658311843872,23,0.9097275733947754,0.9329900741577148,1688013318.4191368,1688013318.4421563
17,Hardswish,0.8828855325677605,2,3,3,3,3,4,on,0.0008985744775389,83.7797622680664,-2.252995252609253,16,0.7403726577758789,0.7624492645263672,1688013318.2497742,1688013318.271738
18,ReLU,0.0257429279344291,1,4,3,0,0,3,on,0.000242437733307,86.80757141113281,-1.1771584749221802,17,0.8810837268829346,0.9034194946289062,1688013318.3904853,1688013318.4127097
19,ReLU,0.0073409951641292,0,2,3,0,0,1,on,0.000273685098995,84.28732299804688,-0.7015538811683655,18,0.8848710060119629,0.907618522644043,1688013318.3942728,1688013318.4169054
20,Mish,0.0275698482298881,1,1,3,0,0,3,on,0.0003177519775322,86.87885284423828,-1.5928980112075806,19,0.8883898258209229,0.9113054275512696,1688013318.3977926,1688013318.4205918
21,Hardswish,0.8276090002763936,3,3,0,4,3,4,on,0.0001957428713279,87.82054901123047,-1.9331830739974976,20,0.895594596862793,0.918238878250122,1688013318.405,1688013318.427513
22,ReLU,0.0390103140185148,1,2,3,0,0,4,on,6.244255245393123e-05,86.92664337158203,-1.3012956380844116,21,0.8984906673431396,0.9214167594909668,1688013318.4078968,1688013318.430691
23,ReLU,0.0521302041742291,0,4,4,0,0,3,on,0.0003407321213713,82.47665405273438,-1.5141736268997192,22,0.9025366306304932,0.9255211353302002,1688013318.4119442,1688013318.434791
24,ReLU,0.0059622884363287,1,0,0,0,1,4,off,0.0001608998476205,71.29402160644531,-0.8887725472450256,31,1.1349141597747805,1.1579420566558838,1688013318.6443226,1688013318.6671052
25,ReLU,0.8184360616731199,3,0,0,0,0,0,off,0.0007254635939466,80.54281616210938,-0.5236535668373108,24,0.954334020614624,0.9764091968536376,1688013318.4637356,1688013318.485701
26,Mish,0.1567598380541951,3,0,3,0,0,3,on,1.091926013583353e-05,87.3779296875,-2.001198530197144,25,1.0947728157043457,1.1171770095825195,1688013318.6041744,1688013318.6264677
27,Hardswish,0.7671460161380231,0,3,0,3,0,1,on,6.327933103794037e-05,82.49279022216797,-0.6331037878990173,26,1.1009290218353271,1.1229972839355469,1688013318.6103313,1688013318.6322887
28,ReLU,0.1203759650569197,3,0,1,0,0,4,on,0.0001885703912545,84.4002456665039,-0.998888909816742,27,1.1055378913879397,1.1279377937316897,1688013318.6149404,1688013318.6372275
29,Hardswish,0.5258461714106066,0,3,0,3,0,1,on,0.0004457661937153,81.51789093017578,-0.639929473400116,28,1.1172101497650146,1.139641046524048,1688013318.6266172,1688013318.648918
30,ReLU,0.0771867860372727,0,1,3,1,0,1,on,0.0005465485844818,87.7498550415039,-0.5321699976921082,29,1.1211035251617432,1.143920660018921,1688013318.6305091,1688013318.6531978
31,ReLU,0.0167457712310969,3,2,3,0,0,2,off,0.0001542866473882,87.4062728881836,-1.0083134174346924,30,1.1249873638153076,1.1478753089904783,1688013318.6343944,1688013318.6571486
32,ReLU,0.1346883440405608,0,1,4,1,0,3,on,0.0006393097849065,82.238525390625,-1.0317927598953247,39,1.3647220134735107,1.387725591659546,1688013318.87413,1688013318.8968918
33,ReLU,0.2354979260142023,4,0,0,0,0,0,off,0.0005234697471108,64.78023529052734,-0.8803310990333557,32,1.1744613647460938,1.1964337825775146,1688013318.6838622,1688013318.7057245
34,ReLU,0.0126780426725052,1,0,2,1,1,3,on,0.0001865883942874,88.56583404541016,-0.8002407550811768,33,1.3161988258361816,1.338483810424805,1688013318.8256,1688013318.8477747
35,ReLU,0.0084355542854089,4,2,2,1,0,3,on,8.42472331100347e-05,87.85459899902344,-1.5237605571746826,34,1.321915864944458,1.3441119194030762,1688013318.8313177,1688013318.8534002
36,ReLU,0.0158195063193284,3,3,4,0,0,2,on,0.0001934509767938,87.97855377197266,-1.4023233652114868,35,1.328524112701416,1.3506755828857422,1688013318.837926,1688013318.859967
37,ReLU,0.0085494103381848,0,0,2,1,3,3,off,0.0001696143898819,85.616455078125,-0.8346592783927917,36,1.3417541980743408,1.363938570022583,1688013318.851159,1688013318.8732154
38,ReLU,0.0152979257129312,1,3,1,0,0,2,on,0.0002371806037192,87.4837646484375,-0.7568893432617188,37,1.3464150428771973,1.3687145709991455,1688013318.8558214,1688013318.8779905
39,Hardswish,0.117178725289667,2,4,0,0,4,1,on,0.0004912925363336,88.73202514648438,-1.7184072732925415,38,1.3508834838867188,1.3735792636871338,1688013318.860289,1688013318.8828545
40,ReLU,0.037087162777464,0,0,3,1,4,1,on,0.0008326669987669,86.27639770507812,-1.078152775764465,47,1.7370326519012451,1.7610516548156738,1688013319.246443,1688013319.270195
41,ReLU,0.0899293743979281,1,1,3,1,0,1,on,0.0008228352544288,86.62207794189453,-0.5411412715911865,40,1.5201523303985596,1.543424367904663,1688013319.0295582,1688013319.052702
42,ReLU,0.0702805567747394,1,0,4,1,2,3,on,5.0146591875394986e-05,83.75536346435547,-1.263474702835083,41,1.6626627445220947,1.6861214637756348,1688013319.1720688,1688013319.195398
43,ReLU,0.035419805824421,0,1,2,2,0,1,off,0.0007250534958989,88.65670013427734,-0.8417254686355591,42,1.6714560985565186,1.69465970993042,1688013319.180863,1688013319.203934
44,ReLU,0.0820463762018108,0,1,4,1,0,2,on,0.0006734635597837,83.48207092285156,-1.129591941833496,43,1.675917148590088,1.6992239952087402,1688013319.1853228,1688013319.208502
45,ReLU,0.0403582849675691,0,1,1,3,0,0,on,0.00059241099268,85.87023162841797,-0.5149363279342651,44,1.6928396224975586,1.7161192893981934,1688013319.202248,1688013319.2253833
46,ReLU,0.1211644640550409,0,0,4,2,4,0,on,0.000748871589094,80.358642578125,-1.7843763828277588,45,1.7000768184661863,1.723569631576538,1688013319.2094862,1688013319.2328298
47,ReLU,0.2433009228392602,0,1,4,1,0,0,on,0.0007417401304711,78.18276977539062,-0.8876653909683228,46,1.7007014751434326,1.724102258682251,1688013319.2101142,1688013319.2333615
48,ReLU,0.1151510929509296,0,2,1,3,1,0,on,0.0007481996612914,88.85782623291016,-0.7285109758377075,55,1.9759972095489504,1.9989068508148196,1688013319.4854054,1688013319.508064
49,ReLU,0.5728137223722435,1,2,1,0,1,4,on,0.0001978503451664,80.22652435302734,-1.2162127494812012,48,1.7506325244903564,1.7731037139892578,1688013319.2600348,1688013319.282395
50,Mish,0.0077389516787557,0,1,3,2,0,0,on,0.0006102600617805,87.60272979736328,-1.821711182594299,49,1.8921282291412351,1.914668560028076,1688013319.401529,1688013319.4239602
51,ReLU,0.1658387064374945,0,1,3,1,4,1,on,0.0005609931884711,86.50817108154297,-1.0888005495071411,50,1.901101350784301,1.923586130142212,1688013319.4105043,1688013319.4328732
52,ReLU,0.0579548823542779,0,1,3,2,2,0,on,0.0004908504824468,90.38771057128906,-0.9357720613479614,51,1.907228946685791,1.9296040534973145,1688013319.4166317,1688013319.438895
53,ReLU,0.0154725135337066,2,0,1,4,1,2,on,7.720478197913939e-05,87.70008850097656,-1.4272035360336304,52,1.927143096923828,1.949744701385498,1688013319.436549,1688013319.459017
54,ReLU,0.2221232174241344,0,0,2,1,1,1,on,0.0005588772472651,89.73257446289062,-0.6338501572608948,53,1.935776710510254,1.9587602615356443,1688013319.4451833,1688013319.4680352
55,ReLU,0.8890096521580074,0,1,3,1,2,1,on,0.0005154625440476,88.36714172363281,-0.7633793354034424,54,1.93699312210083,1.96002197265625,1688013319.4464014,1688013319.4692943
56,ReLU,0.4195017490886034,0,0,1,1,1,1,on,0.0007557164859821,13.984707832336426,-0.4288703799247741,63,2.215602397918701,2.238203287124634,1688013319.7250094,1688013319.7473717
57,Mish,0.1730688845738794,1,2,4,0,0,3,on,0.0001459848290043,88.67630004882812,-2.5269501209259038,56,1.9827935695648191,2.00480580329895,1688013319.4921954,1688013319.5140903
58,Hardswish,0.0207500736956156,2,0,2,3,1,3,on,2.5551241377291628e-05,89.30387878417969,-1.0639474391937256,57,2.1227195262908936,2.144981622695923,1688013319.6321204,1688013319.6542726
59,ReLU,0.0305727448090981,2,1,2,1,1,3,on,0.0003953022348525,88.94098663330078,-1.013677000999451,58,2.132240295410156,2.154492139816284,1688013319.641643,1688013319.6637783
60,Mish,0.1085269461556771,1,2,3,1,0,3,off,0.0002631604889125,88.8631362915039,-2.3833510875701904,59,2.1400225162506104,2.1626176834106445,1688013319.6494248,1688013319.6719074
61,ReLU,0.8642734457928208,0,1,3,0,0,1,on,0.0005024842267736,86.60494995117188,-0.5111051201820374,60,2.163237333297729,2.185612201690674,1688013319.6726415,1688013319.694886
62,ReLU,0.2668736465091313,0,0,1,1,1,1,on,0.0001556488670465,18.939455032348636,-0.4057960212230682,61,2.1723763942718506,2.194931983947754,1688013319.6817825,1688013319.7042058
63,ReLU,0.1586703160320196,0,1,3,1,0,1,on,0.0006359099937446,87.69207000732422,-0.5328517556190491,62,2.1751086711883545,2.1978542804718018,1688013319.684516,1688013319.707129
64,ReLU,0.0606952134022532,0,1,4,1,1,1,on,0.0005153200928104,74.61790466308594,-0.948632538318634,72,2.458608388900757,2.4816105365753174,1688013319.9680154,1688013319.9907594
65,ReLU,0.2529951243553551,0,0,2,0,1,1,on,0.000462443067309,89.18899536132812,-0.5825000405311584,64,2.2172558307647705,2.239285469055176,1688013319.7266574,1688013319.7485764
66,Mish,0.5006766886811783,0,0,2,1,1,1,on,0.0002181559528576,89.1575698852539,-1.2351099252700806,65,2.3564515113830566,2.3788766860961914,1688013319.8658524,1688013319.8881676
67,ReLU,0.9118510090553522,0,2,3,2,2,0,on,0.0001329278241389,89.99656677246094,-1.220850706100464,66,2.3674471378326416,2.3898143768310547,1688013319.8768494,1688013319.899103
68,ReLU,0.7722332116732877,0,0,2,0,1,4,on,0.0005400188465689,82.33841705322266,-1.300666093826294,67,2.37650465965271,2.398688077926636,1688013319.8859065,1688013319.9079788
69,ReLU,0.348474538463409,0,0,1,2,2,1,on,0.0005562417532266,86.99269104003906,-0.8520297408103943,68,2.40274715423584,2.425128698348999,1688013319.912152,1688013319.934402
70,ReLU,0.3030593916181014,0,0,1,1,1,2,on,0.0005508117593719,87.15746307373047,-0.6187161803245544,69,2.411595106124878,2.4342026710510254,1688013319.9210012,1688013319.9434738
71,ReLU,0.834212326001072,1,2,4,0,0,1,on,0.0004843958276502,72.6363525390625,-1.1865019798278809,70,2.416337013244629,2.439056873321533,1688013319.9257436,1688013319.948336
72,ReLU,0.0991907722976198,0,0,3,0,0,1,on,0.0004420961136285,87.20059967041016,-0.4834764301776886,71,2.4533846378326416,2.4751839637756348,1688013319.9627862,1688013319.9844756
73,ReLU,0.1161930052294087,0,0,4,1,0,1,off,0.000156874173243,74.17707061767578,-0.8446728587150574,80,2.7048428058624268,2.7278220653533936,1688013320.214251,1688013320.236977
74,ReLU,0.0012276435702116,3,1,3,2,2,0,on,0.0001200968298147,78.8861312866211,-1.05243182182312,73,2.595541000366211,2.617769718170166,1688013320.1049418,1688013320.1270614
75,ReLU,0.1265855095186218,0,3,3,0,0,1,on,0.0005261632227089,87.74726104736328,-0.6332835555076599,74,2.604333877563477,2.626318454742432,1688013320.1137352,1688013320.1356063
76,ReLU,0.8380168903518839,0,1,4,0,0,0,on,0.000714561829155,70.31851959228516,-0.962775707244873,75,2.614405870437622,2.6366238594055176,1688013320.1238086,1688013320.1459117
77,ReLU,0.8346066727995566,0,4,4,0,0,1,on,0.0007955065490934,70.86600494384766,-1.4100924730300903,76,2.645991086959839,2.6681745052337646,1688013320.155396,1688013320.177452
78,ReLU,0.8963302646469801,0,0,2,0,0,1,on,0.0007255042499249,87.61750030517578,-0.6146242618560791,77,2.654435396194458,2.676896095275879,1688013320.1638415,1688013320.1861696
79,ReLU,0.91373592616951,0,1,1,0,0,4,on,0.0003655489416198,76.7461166381836,-0.9501304030418396,78,2.660861730575561,2.683176279067993,1688013320.170269,1688013320.192453
80,ReLU,0.4870611939051546,0,0,2,0,1,1,on,9.567952709434012e-05,88.74047088623047,-0.5737035870552063,79,2.6910240650177,2.7127652168273926,1688013320.2004254,1688013320.2220511
81,ReLU,0.5000150980982631,0,0,3,0,0,1,on,0.0009472080289692,84.31925964355469,-0.4924720227718353,88,2.9498019218444824,2.972681760787964,1688013320.4592085,1688013320.481829
