,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Mish,0.7022010783261701,1,2,3,1,4,1,on,0.0007501691698877,83.325439453125,-2.38954496383667,0,0.1267738342285156,1.7678399085998535,1684451750.144243,1684451751.784913
1,Mish,0.4503666392896813,3,1,0,3,2,0,off,0.0002900202435307,"[89.24449920654297, -2.189723014831543]","[89.24449920654297, -2.189723014831543]",1,0.1266982555389404,1.7654390335083008,1684451750.1441424,1684451751.78267
2,ReLU,0.1882798338478077,4,1,3,3,1,2,off,0.0004900650541627,"[87.78242492675781, -1.4196012020111084]","[87.78242492675781, -1.4196012020111084]",2,0.1266870498657226,1.7683870792388916,1684451750.1441464,1684451751.785606
3,ReLU,0.6021898353025091,3,4,0,3,1,0,off,0.0004982134996264,"[81.2277603149414, -1.265449285507202]","[81.2277603149414, -1.265449285507202]",3,0.1266603469848632,1.734654188156128,1684451750.1441245,1684451751.751874
4,Mish,0.5756070215910248,1,3,2,4,3,1,off,0.0006407299771519,"[87.24555969238281, -2.6920595169067383]","[87.24555969238281, -2.6920595169067383]",4,0.1265923976898193,1.7685086727142334,1684451750.1440492,1684451751.7857244
5,Mish,0.1549816628432146,3,0,3,4,0,2,off,0.0001016386166122,"[88.11347198486328, -2.760183095932007]","[88.11347198486328, -2.760183095932007]",5,0.1266572475433349,1.7287898063659668,1684451750.1441123,1684451751.746015
6,ReLU,0.1120694958667292,0,1,3,3,4,2,on,0.0006010539721813,"[89.27151489257812, -1.4530491828918457]","[89.27151489257812, -1.4530491828918457]",6,0.1266493797302246,1.7348017692565918,1684451750.1441064,1684451751.7520287
7,Hardswish,0.4373032105007797,4,1,4,4,2,1,on,0.0009810042865856,"[75.8793716430664, -2.3803865909576416]","[75.8793716430664, -2.3803865909576416]",7,0.1266617774963379,1.7316110134124756,1684451750.1441295,1684451751.748843
8,Mish,0.6409364730171875,3,1,2,0,2,3,on,0.0005422704565308,89.4112319946289,-2.9274168014526367,14,1.8226852416992188,1.8458609580993648,1684451751.8401277,1684451751.863082
9,Hardswish,0.924653157983972,2,4,2,2,3,1,on,1.0487345573101488e-05,"[89.06645202636719, -1.7190937995910645]","[89.06645202636719, -1.7190937995910645]",10,1.7821393013000488,1.8056199550628664,1684451751.7995796,1684451751.822934
10,Mish,0.8712318964925773,4,2,0,2,1,0,on,0.0007767465524476,"[86.17772674560547, -3.5168957710266113]","[86.17772674560547, -3.5168957710266113]",11,1.7819674015045166,1.8052928447723389,1684451751.7994075,1684451751.8226063
11,Hardswish,0.6214791342771052,0,0,0,1,2,1,off,0.0009367378664698,"[85.73959350585938, -0.6381202936172485]","[85.73959350585938, -0.6381202936172485]",12,1.8222198486328125,1.8454868793487549,1684451751.8396587,1684451751.8628066
12,Hardswish,0.4953584679300095,1,1,1,2,3,3,off,0.0001794860470932,"[13.008614540100098, -0.9408111572265624]","[13.008614540100098, -0.9408111572265624]",13,1.8224544525146484,1.846020460128784,1684451751.8398936,1684451751.8633397
13,Mish,0.0205743242567682,3,0,2,2,4,2,on,0.0003521832116968,"[90.16493225097656, -3.6323976516723633]","[90.16493225097656, -3.6323976516723633]",15,1.8226513862609863,1.846418857574463,1684451751.840093,
14,Hardswish,0.2022871622239813,2,3,0,4,1,0,off,1.8813288910102416e-05,"[86.57675170898438, -1.3088867664337158]","[86.57675170898438, -1.3088867664337158]",8,1.7795612812042236,1.8028855323791504,1684451751.7970035,1684451751.820202
15,ReLU,0.0115438147864255,2,2,3,0,1,4,off,4.941614461442112e-05,"[84.49699401855469, -1.4898037910461426]","[84.49699401855469, -1.4898037910461426]",9,1.781114101409912,1.8041439056396484,1684451751.798553,1684451751.8214478
16,Mish,0.7382485209709492,0,0,0,1,2,1,off,0.001,86.35393524169922,-1.3717528581619263,22,2.07284951210022,2.095654249191284,1684451752.0902894,1684451752.1128702
17,Mish,0.3835920262877964,0,3,3,3,3,3,on,0.0007971030772358,"[88.29254150390625, -3.1937737464904785]","[88.29254150390625, -3.1937737464904785]",16,1.849831819534301,1.8725099563598635,1684451751.8672683,1684451751.88983
18,Hardswish,0.2279156046156662,1,4,0,3,1,0,off,1e-05,"[73.74823760986328, -1.0760021209716797]","[73.74823760986328, -1.0760021209716797]",17,2.020294666290283,2.042834997177124,1684451752.037731,1684451752.060156
19,ReLU,0.001,0,0,4,4,4,3,on,0.0006424830799242,"[65.5909423828125, -2.147005796432495]","[65.5909423828125, -2.147005796432495]",18,2.023630380630493,2.04638671875,1684451752.0410728,1684451752.063704
20,ReLU,0.001,0,1,3,4,4,2,on,0.0008407705490917,"[76.57440185546875, -1.8779150247573853]","[76.57440185546875, -1.8779150247573853]",19,2.0254440307617188,2.047837495803833,1684451752.0428813,1684451752.0651588
21,ReLU,0.2679701777295588,4,1,3,1,3,2,off,0.0001807590929645,"[86.47238159179688, -1.388107419013977]","[86.47238159179688, -1.388107419013977]",20,2.0701584815979004,2.092785596847534,1684451752.0875947,1684451752.1101017
22,Hardswish,0.6311667264397846,0,0,0,0,0,0,off,0.001,"[65.80570220947266, -0.3678249418735504]","[65.80570220947266, -0.3678249418735504]",21,2.0723235607147217,2.0954337120056152,1684451752.0897608,1684451752.112754
23,Mish,0.8718919926745796,0,0,0,1,1,4,off,0.001,"[63.53167343139648, -1.8812534809112549]","[63.53167343139648, -1.8812534809112549]",23,2.0731141567230225,2.0961356163024902,1684451752.0905516,1684451752.1134531
24,Hardswish,0.5287498281699453,0,0,0,0,4,1,off,0.0005110962255827,74.5031509399414,-0.8861344456672668,30,2.328420639038086,2.3509109020233154,1684451752.3458598,1684451752.368133
25,Hardswish,0.2785812929147503,0,0,0,0,2,3,on,0.000898461315722,"[88.86759185791016, -0.6474277377128601]","[88.86759185791016, -0.6474277377128601]",24,2.093404054641724,2.115630388259888,1684451752.1108403,1684451752.132955
26,Hardswish,0.710151438998997,0,0,0,1,1,3,off,0.0009242946964757,"[82.65452575683594, -0.5803015828132629]","[82.65452575683594, -0.5803015828132629]",25,2.26539158821106,2.2876718044281006,1684451752.282828,1684451752.3049903
27,Hardswish,0.6880088427177109,0,0,0,0,3,1,off,0.0009878959511752,"[82.7085189819336, -0.4920641779899597]","[82.7085189819336, -0.4920641779899597]",26,2.2705657482147217,2.293464422225952,1684451752.288002,1684451752.3107831
28,Hardswish,0.2173350823238283,2,2,0,4,1,0,off,9.532087679129296e-05,"[87.68266296386719, -1.4190444946289062]","[87.68266296386719, -1.4190444946289062]",27,2.272469043731689,2.294557809829712,1684451752.2899055,1684451752.31188
29,Hardswish,0.2416310402545206,0,0,0,0,2,4,off,0.001,"[73.10768127441406, -1.1937199831008911]","[73.10768127441406, -1.1937199831008911]",28,2.3227360248565674,2.345068454742432,1684451752.340172,1684451752.362389
30,Hardswish,0.0518983176710522,1,0,0,1,2,2,off,0.0007772626572337,"[88.15467071533203, -0.8400312066078186]","[88.15467071533203, -0.8400312066078186]",29,2.325533151626587,2.348388195037842,1684451752.34297,1684451752.3657107
31,Hardswish,0.5358570006861987,0,0,3,1,3,2,off,0.0008712758900002,"[85.94105529785156, -0.8985894918441772]","[85.94105529785156, -0.8985894918441772]",31,,,,
32,Hardswish,0.5238126752838947,4,0,0,1,2,0,on,0.0009467299659916,78.01689910888672,-1.2909990549087524,38,2.5916669368743896,2.6141912937164307,1684451752.609105,1684451752.6314106
33,Hardswish,0.2549475054778082,1,4,0,0,2,3,on,0.0008700583801313,"[86.3197021484375, -1.2780531644821167]","[86.3197021484375, -1.2780531644821167]",32,2.346881151199341,2.3689634799957275,1684451752.364319,1684451752.3862867
34,Hardswish,0.7565969634033888,1,0,3,1,1,3,off,0.001,"[77.6828842163086, -0.8646543622016907]","[77.6828842163086, -0.8646543622016907]",33,2.521152973175049,2.5431325435638428,1684451752.5385888,1684451752.5604558
35,Hardswish,0.49860617485245,2,0,0,1,3,0,off,0.0009263288200279,"[84.73836517333984, -0.803689181804657]","[84.73836517333984, -0.803689181804657]",34,2.525976181030273,2.5483920574188232,1684451752.5434122,1684451752.565714
36,Hardswish,0.0854579366629093,0,0,0,0,2,3,on,0.0004601235024306,"[89.49290466308594, -0.6096939444541931]","[89.49290466308594, -0.6096939444541931]",35,2.5290186405181885,2.551307439804077,1684451752.5464551,1684451752.5686269
37,Hardswish,0.1423611933131227,1,0,0,1,3,1,off,0.0009572536440205,"[83.30091094970703, -0.5427582263946533]","[83.30091094970703, -0.5427582263946533]",36,2.583128929138184,2.605494499206543,1684451752.6005654,1684451752.6228142
