p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
Mish,0.7022010783261701,1,2,3,1,4,1,on,0.0007501691698877887,83.325439453125,-2.38954496383667,6,0.11950945854187012,1.8210828304290771,1684196706.927788,1684196708.6285787
Hardswish,0.43730321050077975,4,1,4,4,2,1,on,0.0009810042865856011,"[75.8793716430664, -2.3803865909576416]","[75.8793716430664, -2.3803865909576416]",0,0.11959457397460938,1.8205134868621824,1684196706.9278915,1684196708.6285794
ReLU,0.6021898353025091,3,4,0,3,1,0,off,0.0004982134996264964,"[81.2277603149414, -1.265449285507202]","[81.2277603149414, -1.265449285507202]",1,0.1195852756500244,1.82356595993042,1684196706.9278755,1684196708.631637
Mish,0.1549816628432146,3,0,3,4,0,2,off,0.00010163861661224704,"[88.11347198486328, -2.760183095932007]","[88.11347198486328, -2.760183095932007]",2,0.11962008476257324,1.8179876804351809,1684196706.9279149,1684196708.6255443
ReLU,0.1120694958667292,0,1,3,3,4,2,on,0.0006010539721813241,"[89.27151489257812, -1.4530491828918457]","[89.27151489257812, -1.4530491828918457]",3,0.11960649490356444,1.823467254638672,1684196706.927907,1684196708.6315234
ReLU,0.18827983384780775,4,1,3,3,1,2,off,0.0004900650541627095,"[87.78242492675781, -1.4196012020111084]","[87.78242492675781, -1.4196012020111084]",7,,,,
Mish,0.6409364730171875,3,1,2,0,2,3,on,0.0005422704565308072,89.4112319946289,-2.9274168014526367,15,1.8747589588165283,1.8987836837768555,1684196708.6830363,1684196708.7067947
ReLU,0.011543814786425587,2,2,3,0,1,4,off,4.941614461442112e-05,"[84.49699401855469, -1.4898037910461426]","[84.49699401855469, -1.4898037910461426]",10,1.8706915378570557,1.8936543464660645,1684196708.678963,1684196708.7018034
Mish,0.8712318964925773,4,2,0,2,1,0,on,0.0007767465524476331,"[86.17772674560547, -3.5168957710266113]","[86.17772674560547, -3.5168957710266113]",11,1.8707547187805176,1.893916130065918,1684196708.6790245,1684196708.7020657
Mish,0.02057432425676822,3,0,2,2,4,2,on,0.000352183211696897,"[90.16493225097656, -3.6323976516723633]","[90.16493225097656, -3.6323976516723633]",12,1.8719186782836912,1.895294189453125,1684196708.6801896,1684196708.7034452
Hardswish,0.4953584679300095,1,1,1,2,3,3,off,0.00017948604709320975,"[13.008614540100098, -0.9408111572265624]","[13.008614540100098, -0.9408111572265624]",13,1.8722484111785889,1.8959498405456543,1684196708.6805203,1684196708.7040958
Hardswish,0.6214791342771052,0,0,0,1,2,1,off,0.000936737866469866,"[85.73959350585938, -0.6381202936172485]","[85.73959350585938, -0.6381202936172485]",14,1.8732023239135744,1.897195816040039,1684196708.681474,1684196708.7053237
Mish,0.4503666392896813,3,1,0,3,2,0,off,0.000290020243530755,"[89.24449920654297, -2.189723014831543]","[89.24449920654297, -2.189723014831543]",4,0.1194906234741211,1.8250408172607424,1684196706.9277678,1684196708.6330976
Mish,0.5756070215910248,1,3,2,4,3,1,off,0.0006407299771519989,"[87.24555969238281, -2.6920595169067383]","[87.24555969238281, -2.6920595169067383]",5,0.11941146850585938,1.824876070022583,1684196706.927688,1684196708.632937
Hardswish,0.2022871622239813,2,3,0,4,1,0,off,1.8813288910102416e-05,"[86.57675170898438, -1.3088867664337158]","[86.57675170898438, -1.3088867664337158]",8,1.8698968887329104,1.8931605815887451,1684196708.678168,1684196708.7013097
Hardswish,0.924653157983972,2,4,2,2,3,1,on,1.0487345573101488e-05,"[89.06645202636719, -1.7190937995910645]","[89.06645202636719, -1.7190937995910645]",9,1.8706541061401367,1.8939204216003416,1684196708.678927,1684196708.7020683
Hardswish,0.8304592828497221,0,0,1,0,2,4,off,0.0008797973775658242,73.52454376220703,-1.3212381601333618,23,2.127903461456299,2.1515166759490967,1684196708.9361799,1684196708.9595208
ReLU,0.001,0,1,4,0,4,3,on,0.0006064887589335504,"[66.07394409179688, -1.6404629945755005]","[66.07394409179688, -1.6404629945755005]",16,2.1075186729431152,2.130094289779663,1684196708.9157867,1684196708.9382477
ReLU,0.0033793416498805323,0,0,4,2,4,3,on,0.0006171948401996433,"[78.91390228271484, -1.875568151473999]","[78.91390228271484, -1.875568151473999]",17,2.108790636062622,2.1313962936401367,1684196708.9170592,1684196708.9395506
