,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Mish,0.7166267685527872,0,4,3,0,1,1,on,6.857247940682673e-05,86.01863098144531,-1.5172266960144043,6,0.0570595264434814,0.6117737293243408,1684452131.0460074,1684452131.6003492
1,Mish,0.415992837854644,1,2,0,2,1,3,on,8.641404003734444e-05,"[90.33483123779295, -2.538846015930176]","[90.33483123779295, -2.538846015930176]",5,0.0568156242370605,0.6111128330230713,1684452131.0457604,1684452131.5998435
2,Hardswish,0.5274859599641186,1,2,4,3,2,0,off,0.0008116010294071,84.80084991455078,-1.6386936902999878,12,0.6619174480438232,0.6852734088897705,1684452131.650861,1684452131.6739826
3,Mish,0.0912889743776127,1,1,4,2,2,3,off,0.0009829936123581,"[73.77544403076172, -3.0671133995056152]","[73.77544403076172, -3.0671133995056152]",0,0.0526278018951416,0.6163330078125,1684452131.0415723,1684452131.605059
4,ReLU,0.3645120342867589,4,0,4,1,4,0,on,0.0008614893558493,"[59.325172424316406, -2.219486713409424]","[59.325172424316406, -2.219486713409424]",1,0.0525758266448974,0.6139430999755859,1684452131.0415187,1684452131.6026728
5,Mish,0.9295431133784636,2,0,3,0,2,4,on,0.0003014665660031,"[88.50334167480469, -3.173506498336792]","[88.50334167480469, -3.173506498336792]",10,0.6613466739654541,0.6845231056213379,1684452131.6502888,1684452131.6733365
6,ReLU,0.8395868368914245,4,2,3,0,0,1,off,0.0003676983752267,"[82.26484680175781, -1.3385077714920044]","[82.26484680175781, -1.3385077714920044]",11,0.6614181995391846,0.684492826461792,1684452131.650358,1684452131.6733112
7,ReLU,0.767005095396737,3,4,4,4,0,4,off,0.0009503620120128,"[70.53451538085938, -2.9318909645080566]","[70.53451538085938, -2.9318909645080566]",13,,,,
8,ReLU,0.2667861922565264,2,1,4,3,2,0,off,0.000618830044157,"[88.64571380615234, -1.5689237117767334]","[88.64571380615234, -1.5689237117767334]",2,0.0540592670440673,0.6135661602020264,1684452131.043003,1684452131.6022866
9,ReLU,0.1425192917417974,4,3,0,2,0,1,on,0.0004405319334368,"[78.99369812011719, -1.295548677444458]","[78.99369812011719, -1.295548677444458]",3,0.0551230907440185,0.6133968830108643,1684452131.0440676,1684452131.6021192
10,ReLU,0.6680431708381277,3,0,2,2,4,1,off,0.0007451009086942,"[84.58547973632812, -1.743501901626587]","[84.58547973632812, -1.743501901626587]",4,0.0560832023620605,0.6147716045379639,1684452131.0450408,1684452131.6034944
11,Hardswish,0.676092581885157,2,2,0,1,2,3,on,0.0005531898149655,"[90.36882019042967, -1.1855032444000244]","[90.36882019042967, -1.1855032444000244]",7,0.0580949783325195,0.615781307220459,1684452131.0470378,1684452131.6045048
