,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Mish,0.0984825959468272,1,2,1,2,1,4,on,0.0001773607407708,85.4041519165039,-2.5216455459594727,1,0.1141881942749023,0.6750278472900391,1686747861.9986358,1686747862.5591028
1,ReLU,0.5295238096225311,3,4,4,4,3,1,on,0.0005941020265401,82.84134674072266,-2.20181655883789,0,0.1131353378295898,0.6684377193450928,1686747861.9975812,1686747862.5526648
2,ReLU,0.4458481064075014,1,2,4,4,0,4,on,0.0005901306068932,83.53543853759766,-2.272915363311768,10,0.1238903999328613,0.6671652793884277,1686747862.0083363,1686747862.551399
3,Hardswish,0.6364864274841752,1,1,2,0,3,4,off,0.0002944927797105,86.37895202636719,-1.3088560104370115,11,0.1249456405639648,0.674515962600708,1686747862.00939,1686747862.5587416
4,Mish,0.1644597996476588,2,4,0,1,4,3,on,9.15712385205738e-05,88.88658905029297,-2.8001596927642822,12,0.1263821125030517,0.6686813831329346,1686747862.010827,1686747862.5529103
5,Hardswish,0.1818437426728094,2,4,2,1,4,1,on,0.000944570014512,88.36541748046875,-2.048781633377075,14,0.1281270980834961,0.6753454208374023,1686747862.012572,1686747862.559578
6,Mish,0.9329452781562736,4,2,1,4,4,0,on,0.0004157327454211,76.73309326171875,-3.2479500770568848,2,0.1150410175323486,0.6689207553863525,1686747861.99949,1686747862.553147
7,Hardswish,0.0805758690344125,2,0,1,2,1,2,off,0.0007579102328688,88.46278381347656,-1.0910747051239014,4,0.1166427135467529,0.6752116680145264,1686747862.0010877,1686747862.5594409
8,Hardswish,0.3057003811764219,4,0,0,2,2,1,on,0.0005715242426024,85.68824005126953,-1.4043631553649902,27,0.7279782295227051,0.7519779205322266,1686747862.6124227,1686747862.6361792
9,Hardswish,0.6924974650971674,2,3,3,4,3,1,on,0.0007835154208929,86.48251342773438,-1.813594937324524,13,0.127619981765747,0.701453447341919,1686747862.0120685,1686747862.5856757
10,Hardswish,0.6055825106399874,3,4,2,2,1,0,off,0.0001233956787433,88.21351623535156,-1.5150946378707886,15,0.1299188137054443,0.7071957588195801,1686747862.0143695,1686747862.5914145
11,ReLU,0.3327368474171401,0,4,1,4,0,1,on,0.0002549943942731,82.64897155761719,-1.4320967197418213,16,0.131122350692749,0.7072353363037109,1686747862.0155704,1686747862.5914578
12,ReLU,0.8001746999093603,3,0,0,2,1,2,on,6.969363046189889e-05,90.79464721679688,-0.977111279964447,17,0.1324007511138916,0.7097208499908447,1686747862.0168505,1686747862.5939384
13,Hardswish,0.4573881212552113,0,1,1,2,1,0,off,5.83508406088808e-05,84.74038696289062,-0.6201555132865906,18,0.1334905624389648,0.7137184143066406,1686747862.017938,1686747862.5979412
14,ReLU,0.3983232739664791,4,2,1,4,3,3,off,0.0002463510252942,86.46919250488281,-2.038348197937012,19,0.1347918510437011,0.7110240459442139,1686747862.01924,1686747862.5952425
15,ReLU,0.0493891818122775,3,1,3,3,4,3,on,0.0009190797725292,88.94611358642578,-1.4881489276885986,20,0.7141754627227783,0.7364914417266846,1686747862.598619,1686747862.620817
