,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Hardswish,0.6679637496219065,0,0,3,3,3,4,on,0.0003781187288339,84.75711059570312,-1.2957626581192017,0,0.1654860973358154,0.6707799434661865,1688083364.3379638,1688083364.84288
1,Hardswish,0.4407956789301862,0,4,2,0,2,3,on,0.000451107749298,89.30067443847656,-1.464877367019653,1,0.1664721965789795,0.6700856685638428,1688083364.3389423,1688083364.8423283
2,Hardswish,0.3275816620018747,3,3,4,0,1,4,on,0.0007408866395275,83.3832778930664,-1.7531319856643677,4,0.1679365634918213,,,
3,ReLU,0.4402355033178018,1,1,3,3,3,0,on,0.0002511676212342,85.81722259521484,-0.7846471667289734,5,0.1685025691986084,0.6698167324066162,1688083364.340979,1688083364.8420491
4,ReLU,0.978630058094053,1,3,3,2,2,2,off,0.0009239084036036,71.33050537109375,-2.4530086517333984,6,0.1731288433074951,0.6687753200531006,1688083364.345615,1688083364.8409984
5,ReLU,0.4906394250476833,1,2,2,1,0,3,on,0.0002701002585214,90.00978088378906,-1.0207611322402954,7,0.1768429279327392,0.6682717800140381,1688083364.3493173,1688083364.8405132
6,Hardswish,0.540560545526312,1,0,1,2,0,1,on,0.0005381746208153,14.188209533691406,-0.6226296424865723,15,0.7213833332061768,0.745405912399292,1688083364.8938558,1688083364.9176128
7,Mish,0.1120881513120285,3,2,0,0,3,3,off,0.0004157086563972,89.56382751464844,-2.770658254623413,10,0.7154231071472168,0.7381069660186768,1688083364.8879006,1688083364.910436
8,ReLU,0.1313843948607842,4,4,0,2,0,2,off,0.0007566971633703,83.91845703125,-2.018550395965576,11,0.7171840667724609,0.7401559352874756,1688083364.889649,1688083364.9124863
9,ReLU,0.9013234281493296,1,3,4,4,1,3,off,0.0007279379268118,81.36294555664062,-2.154121160507202,12,0.7180495262145996,0.7416927814483643,1688083364.890514,1688083364.9140182
10,Hardswish,0.05760411834441,0,3,0,0,4,2,off,0.0005457075283842,85.54436492919922,-1.264564871788025,13,0.7188863754272461,0.7417769432067871,1688083364.8913522,1688083364.9141064
11,ReLU,0.7961423692676904,3,3,2,4,2,1,off,0.0009195112729897,81.5185775756836,-2.2248034477233887,14,0.7194154262542725,0.7424755096435547,1688083364.8918898,1688083364.914802
12,Hardswish,0.9526159851716915,1,1,0,3,4,2,on,0.0003959922604934,84.06578063964844,-1.434004545211792,2,0.1670289039611816,0.6737504005432129,1688083364.3395054,1688083364.845977
13,ReLU,0.6186427745895363,4,0,2,2,4,0,on,0.0002222163772263,86.28766632080078,-2.338953256607056,3,0.1674833297729492,0.6734158992767334,1688083364.3399534,1688083364.8456464
14,Hardswish,0.1972244167474396,0,4,3,3,1,4,off,0.0009736700674294,82.58467102050781,-1.7331870794296265,8,0.7148690223693848,0.737969160079956,1688083364.8873336,1688083364.9102955
15,Mish,0.5447651624224285,4,4,4,2,3,1,on,0.0005823270206769,74.70159912109375,-3.465702533721924,9,0.714916467666626,0.738633394241333,1688083364.8873816,1688083364.9109576
16,Hardswish,0.1938247362981554,2,0,1,0,0,1,on,0.0005713754862584,87.40345001220703,-0.5852274894714355,23,0.9428420066833496,0.9658639430999756,1688083365.1153083,1688083365.138084
17,ReLU,0.5771596597084043,4,2,2,1,0,2,on,0.0001775844062983,90.10821533203124,-1.7501459121704102,16,0.9210090637207032,0.9436488151550292,1688083365.0934734,1688083365.115979
18,ReLU,0.5739542601563759,1,4,2,1,0,3,off,5.744579061113649e-05,87.12223052978516,-1.331437110900879,17,0.9206759929656982,0.9431004524230956,1688083365.093138,1688083365.1154304
19,ReLU,0.1210982040332274,2,1,3,3,4,0,on,0.0001862582782712,89.55242156982422,-1.4153810739517212,18,0.9249594211578368,0.947622776031494,1688083365.0974214,1688083365.1199565
20,ReLU,0.1390696870181546,1,2,2,1,0,3,on,0.0002215427258165,90.4013214111328,-0.9916865229606628,19,0.9252469539642334,0.9483699798583984,1688083365.097711,1688083365.12069
21,ReLU,0.3808668107265571,0,2,4,4,3,0,on,2.226354599859567e-05,84.45178985595703,-1.8947291374206543,20,0.9308061599731444,0.953273057937622,1688083365.103268,1688083365.1256096
22,ReLU,0.5850257347539827,0,3,4,1,0,4,on,0.0002436940258011,78.02671813964844,-1.60582172870636,21,0.9313802719116212,0.9543871879577636,1688083365.1038425,1688083365.1267192
23,ReLU,0.5233537522280267,1,2,1,1,0,4,on,0.0002822348537077,79.591552734375,-1.2344259023666382,22,0.9329841136932372,0.9560425281524658,1688083365.1054468,1688083365.1283753
24,ReLU,0.1486656857395105,1,3,3,1,0,4,on,0.0002350434888378,87.73577117919922,-1.2124271392822266,31,1.1698064804077148,1.1932637691497805,1688083365.3422728,1688083365.3654735
25,Mish,0.8947283956715647,4,0,0,0,0,2,on,0.00014302135051,84.06523895263672,-2.0505096912384038,24,1.1367745399475098,1.15875244140625,1688083365.3092363,1688083365.3310876
26,Mish,0.9165982404304934,4,2,1,0,0,2,on,0.0001122724855442,86.63861846923828,-2.461628198623657,25,1.138514757156372,1.1606597900390625,1688083365.310977,1688083365.332994
27,ReLU,0.4729552762291786,4,2,2,0,0,0,on,0.0001399653786009,85.88443756103516,-1.4095542430877686,26,1.141841173171997,1.164445400238037,1688083365.314304,1688083365.3367794
28,Hardswish,0.5703112406385771,0,0,1,1,0,1,on,0.0009979809655883,75.84130096435547,-0.4012072086334229,27,1.1468682289123535,1.1696810722351074,1688083365.319332,1688083365.34201
29,ReLU,0.1901857944711277,0,1,3,1,0,4,on,0.000222659807233,86.55381774902344,-1.0182549953460691,28,1.149195671081543,1.1715199947357178,1688083365.3216572,1688083365.3438451
30,ReLU,0.1361030081131402,2,2,4,0,0,4,on,2.443386221375245e-05,86.403564453125,-1.9635169506073,29,1.1509718894958496,1.1735424995422363,1688083365.3234336,1688083365.3458798
31,Mish,0.1155624082438442,1,1,2,1,0,4,on,9.578255589466488e-05,88.57982635498047,-1.8381696939468384,30,1.1568591594696045,1.17966628074646,1688083365.3293211,1688083365.3519936
32,ReLU,0.1658480100577245,1,2,0,3,1,3,on,0.000252520778686,90.21273803710938,-0.8997054696083069,39,1.4038920402526855,1.4271485805511477,1688083365.5763593,1688083365.5993688
33,Hardswish,0.1287323842798407,3,0,2,0,0,0,off,0.0006614456851575,88.17090606689453,-0.689578115940094,32,1.3571829795837402,1.3791511058807373,1688083365.5296457,1688083365.5514843
34,Hardswish,0.0158082520929065,4,0,1,1,0,1,off,0.0006776341527767,69.96199798583984,-0.890924334526062,33,1.363055944442749,1.3852567672729492,1688083365.5355177,1688083365.5575902
35,Hardswish,0.0562138155648987,2,0,0,0,0,0,on,0.0007377166960875,87.88870239257812,-0.5184136629104614,34,1.3647546768188477,1.387171745300293,1688083365.537217,1688083365.559507
36,Mish,0.1302123666700149,1,2,2,3,1,4,on,0.0001981981451766,89.38236236572266,-3.096308946609497,35,1.373774528503418,1.396073818206787,1688083365.5462358,1688083365.5684102
37,ReLU,0.1524450226673961,1,2,2,1,0,3,on,0.000381827817488,90.49664306640624,-0.9961440563201904,36,1.3748548030853271,1.3976237773895264,1688083365.547318,1688083365.5699527
38,Hardswish,0.3072670937536677,0,0,0,1,1,0,off,0.0009822112035333,78.23492431640625,-0.3936241567134857,37,1.3758561611175537,1.3983712196350098,1688083365.5483189,1688083365.570706
39,ReLU,0.1118832804155622,1,2,2,0,2,3,on,0.0001970404096259,90.1176528930664,-1.1844290494918823,38,1.3869616985321045,1.4096641540527344,1688083365.5594244,1688083365.581993
40,ReLU,0.1522447158500241,1,1,2,1,3,3,on,0.0005593940169257,89.43260955810547,-0.9186406135559082,47,1.7668354511260986,1.7909703254699707,1688083365.9393077,1688083365.9631715
41,Hardswish,0.8665258373268545,0,0,1,1,3,1,on,0.0009783909932813,70.20179748535156,-0.7741599678993225,40,1.7088019847869873,1.7318873405456543,1688083365.8812675,1688083365.904209
42,ReLU,0.2695950148418239,2,2,2,2,0,3,on,0.0005373213183236,90.94412994384766,-1.3787753582000732,41,1.7117688655853271,1.735349178314209,1688083365.884237,1688083365.9076655
43,ReLU,0.0487478951762101,0,2,2,0,3,3,on,0.0002014666236333,90.05463409423828,-1.0108623504638672,42,1.716094970703125,1.739445686340332,1688083365.8885648,1688083365.911759
44,Mish,0.7321570032314122,0,0,0,4,4,0,off,0.0009572472072546,52.22882461547851,-2.42254638671875,43,1.7273898124694824,1.7508220672607422,1688083365.8998566,1688083365.9231434
45,Hardswish,0.4365197676719602,0,0,1,2,1,1,on,0.0009675559896947,11.398879051208496,-0.7542826533317566,44,1.7278313636779783,1.7510242462158203,1688083365.900297,1688083365.923348
46,ReLU,0.1685519346549668,4,2,2,2,2,3,on,0.0004984800237043,90.32635498046876,-1.9405484199523928,45,1.7474024295806885,1.7713181972503662,1688083365.9198723,1688083365.9436293
47,Hardswish,0.7596796599264455,1,0,0,1,4,0,off,0.0009595116701528,74.02188873291016,-1.0816776752471924,46,1.7501952648162842,1.7738699913024902,1688083365.9226608,1688083365.9461873
48,ReLU,0.2669789071759075,2,1,0,2,0,4,on,0.0009923598353227,89.50564575195312,-1.4495339393615725,55,2.0108587741851807,2.0344197750091557,1688083366.183336,1688083366.206621
49,Hardswish,0.8999314580564929,0,0,0,2,0,0,off,0.0008807276381713,74.48820495605469,-0.8287185430526733,48,1.939162015914917,1.9614250659942627,1688083366.1116242,1688083366.133755
50,ReLU,0.3064337521717744,3,2,1,2,2,3,on,0.0005884887914166,88.27650451660156,-1.335014581680298,49,1.942813873291016,1.9651732444763184,1688083366.1152773,1688083366.1375055
51,Hardswish,0.0201609657329862,0,0,0,0,1,0,on,0.0002329405708986,77.00090026855469,-0.2967819273471832,50,1.9499258995056152,1.9726715087890625,1688083366.1223905,1688083366.1449995
52,ReLU,0.0906676098467389,0,0,0,3,4,3,on,0.0004546907761701,84.58883666992188,-1.207663893699646,51,1.959415435791016,1.982031345367432,1688083366.1318882,1688083366.154364
53,Hardswish,0.6534881233986802,0,0,0,1,1,0,off,0.0009517469653873,74.18282318115234,-0.4448284804821014,52,1.9612934589385984,1.9836537837982176,1688083366.133755,1688083366.155989
54,Hardswish,0.0509391525110642,1,0,0,0,1,0,off,0.0009861031494638,80.90105438232422,-0.3709394335746765,53,1.9856653213500977,2.0088212490081787,1688083366.1581314,1688083366.1811454
55,Hardswish,0.3846630210577134,2,4,0,2,1,0,off,0.0009815096943793,84.22198486328125,-1.6987109184265137,54,1.9883275032043457,2.011218309402466,1688083366.1607895,1688083366.18354
56,Hardswish,0.0030755103470695,1,0,1,0,1,0,on,9.673801002583286e-05,74.7581558227539,-0.3765117526054382,63,2.253710985183716,2.277063131332397,1688083366.4261773,1688083366.4492805
57,Hardswish,0.0467215436763346,1,0,0,1,2,0,off,0.0009308222343491,82.34362030029297,-0.5864263772964478,56,2.171782970428467,2.193642854690552,1688083366.344245,1688083366.3659792
58,Hardswish,0.3589062797812398,3,0,0,1,4,4,off,0.0009874990376766,73.22406005859375,-1.7201478481292725,57,2.175882577896118,2.198378324508667,1688083366.348346,1688083366.370712
59,ReLU,0.2835833992662547,2,0,4,2,0,3,on,0.0007134067569345,90.19312286376952,-1.52448308467865,58,2.186870574951172,2.2093429565429688,1688083366.3593326,1688083366.3816748
60,Hardswish,0.0674235977037345,4,0,0,4,2,0,on,0.0001041122961821,77.68731689453125,-1.7575411796569824,59,2.194373846054077,2.216829299926758,1688083366.3668356,1688083366.3891647
61,ReLU,0.8702835595980944,2,0,2,2,0,3,on,0.0005528020291672,89.50298309326172,-1.1843795776367188,60,2.194677352905273,2.2169649600982666,1688083366.3671386,1688083366.3893025
62,Hardswish,0.0792765642170614,0,0,0,0,2,1,on,0.0001777464381368,88.5199203491211,-0.5154931545257568,61,2.2242987155914307,2.2473301887512207,1688083366.3967638,1688083366.4196577
63,Hardswish,0.0249534515365061,0,0,3,0,1,0,on,0.0002060721871091,84.17259979248047,-0.4878748059272766,62,2.226557493209839,2.249169111251831,1688083366.3990192,1688083366.4214978
64,Hardswish,0.5022371255372722,0,2,1,0,1,0,on,0.0002468932274933,87.5001449584961,-0.5536561608314514,71,2.499920606613159,2.5232865810394287,1688083366.672387,1688083366.6955023
65,Hardswish,0.009672105189654,0,0,4,1,2,0,on,8.441027884655167e-05,81.99846649169922,-1.129206657409668,64,2.4077672958374023,2.429683208465576,1688083366.5802293,1688083366.602018
66,Hardswish,0.0604552670397383,0,2,0,0,3,0,on,4.40979847621415e-05,86.83561706542969,-0.6321516633033752,65,2.4128010272979736,2.435276985168457,1688083366.5852642,1688083366.607612
67,Mish,0.2059213431709912,2,2,2,2,0,3,on,0.0005083959429383,91.11868286132812,-3.7289717197418217,66,2.4263129234313965,2.4485318660736084,1688083366.5987754,1688083366.620866
68,Hardswish,0.0338049663138962,1,1,4,0,1,0,on,2.971046552715464e-05,71.55896759033203,-0.8747584819793701,67,2.431976318359375,2.45420241355896,1688083366.6044376,1688083366.6265366
69,Hardswish,0.0317502946378132,0,4,4,0,1,0,on,0.0001012794176535,68.33087921142578,-1.448699116706848,68,2.4320435523986816,2.4543848037719727,1688083366.6045058,1688083366.626718
70,ReLU,0.6734587511448057,2,2,2,4,0,3,on,0.000758947230929,87.9686279296875,-1.840978503227234,69,2.467092990875244,2.490109443664551,1688083366.6395566,1688083366.662434
71,ReLU,0.2802849217293118,2,3,0,4,0,3,on,0.0003932497059313,90.47225952148438,-1.4089200496673584,70,2.4689385890960693,2.4914355278015137,1688083366.641405,1688083366.6637714
72,ReLU,0.2296343137714271,0,3,2,4,0,2,on,0.000415086686531,90.6850814819336,-1.481489896774292,79,2.748318910598755,2.771457433700561,1688083366.9207852,1688083366.943675
73,ReLU,0.2316767703740681,2,4,4,2,0,3,on,0.0007492745268943,89.71765899658203,-1.9550189971923828,72,2.645107746124268,2.666859865188598,1688083366.8175695,1688083366.839181
74,ReLU,0.0746776902861909,2,2,2,4,0,3,off,0.0006785800107623,89.64799499511719,-1.7711248397827148,73,2.6505792140960693,2.672811508178711,1688083366.823041,1688083366.8451464
75,Mish,0.2448107153451597,2,2,4,4,0,3,on,0.0008767669342258,89.69482421875,-3.540414810180664,74,2.668538808822632,2.6905386447906494,1688083366.841001,1688083366.8628752
76,Mish,0.0769144165980496,2,3,2,2,0,3,on,0.0005332474131776,90.97695922851562,-3.698828935623169,75,2.67120099067688,2.693423271179199,1688083366.843662,1688083366.8657577
77,Hardswish,0.0192691263208674,3,0,0,0,0,0,on,0.0009350965648745,85.06763458251953,-0.4421613216400146,76,2.67210054397583,2.694445371627808,1688083366.8445628,1688083366.8667746
78,Hardswish,0.1544291234124532,0,0,1,0,1,3,off,0.0009703699767333,83.73251342773438,-0.4823455810546875,77,2.711900472640991,2.7346737384796143,1688083366.8843634,1688083366.907003
79,Mish,0.2472059980002839,4,4,4,2,0,3,on,0.0002786441884379,79.71385192871094,-3.642045259475708,78,2.713634967803955,2.736092329025269,1688083366.8860989,1688083366.9084249
80,Hardswish,0.4764118125397834,0,0,0,0,1,4,on,0.0004284895173649,66.08673095703125,-0.8889322280883789,87,3.001215934753418,3.0243709087371826,1688083367.1736822,1688083367.1965635
81,Hardswish,0.0403364586362402,0,1,0,0,0,2,on,0.0002434295112808,87.21053314208984,-0.5540928244590759,80,2.8858509063720703,2.907680988311768,1688083367.058313,1688083367.080014
82,Hardswish,0.0111891950150081,0,0,0,0,4,2,on,0.00061781280549,86.06816101074219,-1.0789637565612793,81,2.89285945892334,2.9151365756988525,1688083367.0653217,1688083367.0874677
83,Mish,0.2204561731493389,4,1,2,3,0,3,on,0.0005150368052843,88.80308532714844,-2.764656543731689,82,2.9130570888519287,2.935077667236328,1688083367.08552,1688083367.1074152
84,Hardswish,0.0198810470561867,3,1,0,0,3,0,off,0.0002537220991417,85.63394927978516,-0.5876155495643616,83,2.9145750999450684,2.93665075302124,1688083367.0870368,1688083367.1089883
85,Hardswish,0.3415774933301805,3,0,0,0,1,2,off,0.000257156038108,89.24604034423828,-0.6865394115447998,84,2.9171459674835205,2.9393954277038574,1688083367.0896077,1688083367.1117296
86,Mish,0.3181980037698613,3,2,3,2,0,3,on,0.0004958584366274,90.71536254882812,-3.3520278930664062,85,2.958669900894165,2.98145079612732,1688083367.131133,1688083367.1537757
87,Hardswish,0.6246562045123141,1,0,0,0,0,0,on,0.0002345761306865,81.44690704345703,-0.3431025147438049,86,2.9617087841033936,2.98422646522522,1688083367.1341724,1688083367.1565597
88,Mish,0.4794267416360576,2,2,2,2,3,3,on,0.0006329296253407,90.46501159667967,-4.28010368347168,95,3.2552602291107178,3.2783682346343994,1688083367.4277363,1688083367.4505851
89,Mish,0.0841684467564308,2,3,2,3,0,2,on,0.0005367940397229,90.89437103271484,-3.629070520401001,88,3.1290295124053955,3.150946617126465,1688083367.3014915,1688083367.3232796
90,Hardswish,0.3354929679535318,0,0,0,0,3,0,on,0.0004704795475859,81.51614379882812,-0.4690389931201935,89,3.137182235717773,3.1593267917633057,1688083367.309644,1688083367.3316574
91,Mish,0.2079711798081469,2,1,0,2,0,3,on,0.0003280644894882,90.95127868652344,-2.426380157470703,90,3.1598825454711914,3.181703805923462,1688083367.3323443,1688083367.354036
92,Hardswish,0.0181654187685749,0,0,0,0,0,0,on,0.0002697422688886,72.2757797241211,-0.3158379793167114,91,3.1601052284240723,3.1821043491363525,1688083367.3325665,1688083367.3544383
93,Hardswish,0.254113026950768,1,0,0,1,1,1,on,0.0002226295824389,84.85042572021484,-0.4254062473773956,92,3.1635165214538574,3.185564994812012,1688083367.3359792,1688083367.3579009
94,Hardswish,0.1493976060769621,0,0,1,0,2,0,on,0.0003591065238716,86.44557189941406,-0.5460954308509827,93,3.2098138332366943,3.2322566509246826,1688083367.3822782,1688083367.4045844
95,Mish,0.3750536767140379,2,2,2,2,0,3,on,0.0004104416487264,90.92078399658205,-3.692098379135132,94,3.2105872631073,3.232715129852295,1688083367.3830495,1688083367.4050484
96,Mish,0.221302687152427,3,2,1,2,0,2,off,0.0005095408541687,89.79053497314453,-3.0571062564849854,103,3.514791250228882,3.53800106048584,1688083367.687266,1688083367.7102182
97,Hardswish,0.4456452235148282,2,0,3,0,3,1,off,0.000146701343526,88.83162689208984,-0.8561025261878967,100,3.410837888717652,3.433039426803589,1688083367.5832996,1688083367.6053712
98,Mish,0.3480548766738002,2,2,2,2,0,3,on,0.0009423889718325,90.21146392822266,-4.011224746704102,101,3.4607274532318115,3.4830050468444824,1688083367.6331902,1688083367.655338
99,Hardswish,0.5893547692806066,0,1,0,0,1,0,on,0.0002198508476359,84.26709747314453,-0.3327006697654724,102,3.461577177047729,3.484198808670044,1688083367.634041,1688083367.65653
100,Hardswish,0.0663459291776151,0,0,1,0,0,0,off,5.8391106933044034e-05,71.98252868652344,-0.3379790782928467,96,3.374807596206665,3.396620035171509,1688083367.547269,1688083367.5689547
101,Mish,0.2823540101746566,0,2,1,2,0,3,on,0.0005035307665418,90.31043243408205,-2.519353151321411,97,3.3826496601104736,3.404793739318848,1688083367.5551124,1688083367.577127
102,Hardswish,0.5058383522832502,0,0,0,2,1,0,on,0.0002877337919397,85.41387939453125,-0.6021485924720764,98,3.407195806503296,3.4293227195739746,1688083367.5796576,1688083367.601657
103,Mish,0.2831843061003867,2,2,1,2,4,4,on,0.0005039231976658,88.03070068359375,-3.69250226020813,99,3.407862424850464,3.429779529571533,1688083367.5803246,1688083367.6021116
104,Hardswish,0.0557695311068849,0,0,1,0,1,0,on,0.0003629134009938,81.21114349365234,-0.3460378646850586,111,3.901270627975464,3.9253509044647217,1688083368.073742,1688083368.0975509
105,Mish,0.1960101245513104,2,2,1,0,0,3,off,0.000552897932781,89.17882537841797,-2.294907569885254,104,3.749280214309693,3.7724342346191406,1688083367.9217465,1688083367.9447553
106,Mish,0.210748594342556,0,2,2,1,0,3,off,0.0005528511759052,89.78834533691406,-2.405992269515991,105,3.754130363464355,3.7775096893310542,1688083367.9265983,1688083367.9498277
107,Mish,0.0465191610425809,2,2,2,0,0,3,on,0.0006080809388795,90.8694076538086,-3.206336975097656,106,3.784790277481079,3.808051347732544,1688083367.957255,1688083367.9803743
