,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Hardswish,0.1647527283862365,1,3,2,4,4,1,on,0.0005468970030857,89.10172271728516,-1.8311570882797241,6,0.0549023151397705,0.6108739376068115,1684457318.51012,1684457319.0657346
1,ReLU,0.4030560376960653,2,2,3,1,3,2,on,0.000489155250835,"[90.79251861572266, -1.329639911651611]","[90.79251861572266, -1.329639911651611]",4,0.0537588596343994,0.6119074821472168,1684457318.5089777,
2,Mish,0.2600237242345807,0,3,4,3,2,2,off,0.0004472422728088,88.799560546875,-3.596722364425659,11,0.6618421077728271,0.6848626136779785,1684457319.117057,1684457319.1398504
3,ReLU,0.947052420219432,3,1,4,0,1,2,off,0.0006983799929212,"[83.5488510131836, -1.480691909790039]","[83.5488510131836, -1.480691909790039]",0,0.0530328750610351,0.6187441349029541,1684457318.5082667,1684457319.07374
4,ReLU,0.8231509185159771,0,4,2,0,1,4,on,0.0008415620534217,"[76.6753158569336, -1.8513282537460327]","[76.6753158569336, -1.8513282537460327]",1,0.0532588958740234,0.6155033111572266,1684457318.5084765,1684457319.0705018
5,Mish,0.8262684145857985,0,2,2,1,0,3,on,0.0009061811851231,"[87.72029113769531, -3.23750901222229]","[87.72029113769531, -3.23750901222229]",10,0.6610870361328125,0.6839070320129395,1684457319.116299,1684457319.1390004
6,Mish,0.3962396253702269,1,4,4,0,1,3,off,0.0005645538013732,"[80.7682113647461, -2.154757022857666]","[80.7682113647461, -2.154757022857666]",12,0.6622910499572754,0.685035228729248,1684457319.1175053,1684457319.1401217
7,Hardswish,0.8140206108374909,3,1,4,1,2,0,on,0.0007145205712734,"[85.2928237915039, -1.4348746538162231]","[85.2928237915039, -1.4348746538162231]",2,0.0531249046325683,0.6134271621704102,1684457318.508343,1684457319.0684166
8,Hardswish,0.5855858383256562,1,1,4,0,2,3,on,0.0008772006984768,"[70.97093200683594, -1.324723720550537]","[70.97093200683594, -1.324723720550537]",3,0.0538516044616699,0.6162352561950684,1684457318.50907,1684457319.0712416
9,ReLU,0.6245063426848682,2,3,2,1,3,1,off,0.0008055047547342,"[82.66527557373047, -1.1761528253555298]","[82.66527557373047, -1.1761528253555298]",5,0.0547339916229248,0.6140909194946289,1684457318.5099523,1684457319.0690932
10,ReLU,0.136842562154356,3,4,0,1,2,0,off,0.0009099309856148,"[86.50389099121094, -1.2547242641448977]","[86.50389099121094, -1.2547242641448977]",7,0.0552704334259033,0.6152362823486328,1684457318.5104887,1684457319.0702343
11,Mish,0.8483326131452588,0,1,0,0,4,3,off,0.0003998848577879,"[80.85120391845703, -1.6385648250579834]","[80.85120391845703, -1.6385648250579834]",8,0.6586899757385254,0.6814632415771484,1684457319.1139023,1684457319.1365583
12,ReLU,0.4211408599756379,2,1,1,4,4,1,off,0.0004414179826086,"[81.08968353271484, -1.7946267127990725]","[81.08968353271484, -1.7946267127990725]",9,0.6607043743133545,0.6839921474456787,1684457319.1159167,1684457319.139086
13,Mish,0.3218629795476883,0,0,3,0,0,0,on,2.1426555104260085e-05,80.06610870361328,-1.3606512546539307,22,0.7338528633117676,0.7565553188323975,1684457319.1890652,1684457319.2115471
14,ReLU,0.7412214128906198,3,2,0,1,0,2,on,0.0004381080751099,"[90.28355407714844, -1.0552994012832642]","[90.28355407714844, -1.0552994012832642]",13,0.6629207134246826,0.6859259605407715,1684457319.1181352,1684457319.1410146
15,Mish,0.8326415213915073,3,0,2,4,2,3,off,0.0006395735148461,"[87.42986297607422, -3.869141578674317]","[87.42986297607422, -3.869141578674317]",14,0.6633238792419434,0.6861464977264404,1684457319.1185365,1684457319.1412408
16,Mish,0.4424349086765118,4,2,4,4,2,3,on,0.0006382655427458,"[86.41429901123047, -4.195985317230225]","[86.41429901123047, -4.195985317230225]",15,0.6659889221191406,0.6892209053039551,1684457319.1212022,1684457319.144313
17,Hardswish,0.5625180567284367,4,1,3,3,2,3,off,0.0006158689453185,"[83.27559661865234, -1.5911757946014404]","[83.27559661865234, -1.5911757946014404]",16,0.7266850471496582,0.749237060546875,1684457319.1818955,1684457319.2043357
18,Mish,0.4047302098508593,1,4,4,4,3,1,on,0.000182475625867,"[74.90637969970703, -2.5567171573638916]","[74.90637969970703, -2.5567171573638916]",17,0.7299842834472656,0.7526710033416748,1684457319.1851952,1684457319.207768
19,ReLU,0.4216770548443314,1,3,4,2,4,2,off,3.168363142572369e-05,"[84.63324737548828, -2.2616066932678223]","[84.63324737548828, -2.2616066932678223]",18,0.730449914932251,0.752997636795044,1684457319.1856625,1684457319.2080908
20,Hardswish,0.4009359082891125,0,2,1,3,4,2,off,0.0001613287173509,"[87.52806854248047, -1.637052297592163]","[87.52806854248047, -1.637052297592163]",19,0.7306923866271973,0.7534582614898682,1684457319.1859047,1684457319.2085571
21,Mish,0.4075265710708781,3,0,3,2,3,3,off,0.000898305387988,"[86.96416473388672, -3.5094316005706787]","[86.96416473388672, -3.5094316005706787]",20,0.7320125102996826,0.7542750835418701,1684457319.1872225,1684457319.2093737
