p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
ReLU,0.42808857603075584,4,3,3,3,4,0,on,0.00029798499195594176,83.84912109375,-1.9837952852249146,5,0.10465574264526367,1.7375428676605225,1684278326.9954855,1684278328.628014
ReLU,0.8765203955436522,0,3,2,4,4,3,off,0.0003637802646234907,"[86.90660095214844, -2.145087718963623]","[86.90660095214844, -2.145087718963623]",1,0.09805536270141602,1.7354114055633545,1684278326.988907,1684278328.6260052
ReLU,0.23527025504150675,0,1,1,1,0,1,off,0.0006819158067330801,"[83.31841278076172, -0.4005327224731446]","[83.31841278076172, -0.4005327224731446]",4,0.10469937324523926,1.739793300628662,1684278326.995542,1684278328.6303954
ReLU,0.2697002013815789,0,0,0,0,4,3,on,0.0008470876953260493,81.78663635253906,-1.0451122522354126,15,1.7913854122161865,1.8148066997528076,1684278328.6822114,1684278328.7053967
Hardswish,0.697478294021277,0,1,0,4,3,3,off,0.0005687588555028914,"[86.76227569580078, -1.1574115753173828]","[86.76227569580078, -1.1574115753173828]",0,0.09807443618774414,1.7424616813659668,1684278326.9889147,1684278328.6330812
ReLU,0.4463648860993447,0,3,1,1,4,0,on,8.135412871950625e-05,"[84.48467254638672, -1.1557108163833618]","[84.48467254638672, -1.1557108163833618]",10,1.7894680500030518,1.812312364578247,1684278328.6802914,1684278328.7030149
Hardswish,0.9382702063129044,3,0,0,4,4,4,on,0.00010372155175573148,"[78.761962890625, -2.2522616386413574]","[78.761962890625, -2.2522616386413574]",11,1.789870023727417,1.812883377075195,1684278328.680693,1684278328.7035856
Hardswish,0.3370799913685975,2,1,4,2,3,0,off,0.0005091527826748308,"[88.47083282470703, -1.539800763130188]","[88.47083282470703, -1.539800763130188]",12,1.7899649143218994,1.8135271072387695,1684278328.6807897,1684278328.7042289
Mish,0.4721267387321261,4,0,0,4,4,2,off,0.00027855162646662053,"[80.54325866699219, -2.9691736698150635]","[80.54325866699219, -2.9691736698150635]",13,1.79015851020813,1.813725233078003,1684278328.680982,1684278328.7044296
Mish,0.048633757851340664,3,3,4,1,3,0,on,0.000135572546254898,"[87.18602752685547, -2.7930285930633545]","[87.18602752685547, -2.7930285930633545]",14,1.7905004024505615,1.813734531402588,1684278328.681323,1684278328.7044396
Mish,0.8033377841804987,2,4,2,4,3,2,off,0.0006115525101334526,"[87.67420196533203, -4.559237480163574]","[87.67420196533203, -4.559237480163574]",2,0.09808707237243652,1.7423412799835205,1684278326.9889262,1684278328.6329546
Mish,0.8959969805175314,1,2,4,0,4,4,on,0.0006487971902897086,"[80.01158142089844, -3.1997828483581543]","[80.01158142089844, -3.1997828483581543]",3,0.09809279441833496,1.7417488098144531,1684278326.9889417,1684278328.6323595
Mish,0.7074565524923999,3,1,3,1,2,0,on,3.070463065154968e-05,"[89.20771026611328, -2.300244092941284]","[89.20771026611328, -2.300244092941284]",6,0.1045546531677246,1.742467164993286,1684278326.995382,1684278328.633062
Mish,0.5797942968675364,0,2,0,0,4,4,off,0.000984833184394155,"[68.74684143066406, -2.8472025394439697]","[68.74684143066406, -2.8472025394439697]",7,0.10454511642456056,1.7423808574676514,1684278326.9953728,1684278328.63299
Mish,0.44908685479311133,3,1,2,0,2,4,off,0.0002166670412161793,"[88.56629180908203, -2.965174436569214]","[88.56629180908203, -2.965174436569214]",8,1.7870972156524658,1.8100991249084473,1684278328.6779194,1684278328.7008057
ReLU,0.18087872401787444,0,4,2,0,3,2,on,0.0008637005326290008,"[89.89878845214844, -1.5062055587768557]","[89.89878845214844, -1.5062055587768557]",9,1.7885534763336182,1.812248468399048,1684278328.6793766,1684278328.702945
