,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0,Hardswish,0.8186040621798331,2,2,3,1,3,1,off,1.2852475164204534e-05,87.1768798828125,-1.0844411849975586,6,0.0586700439453125,0.6242036819458008,1684453151.488811,1684453152.053975
1,Mish,0.9633283204062072,4,3,2,0,1,4,off,0.0007809454342905,"[80.18001556396484, -3.3017919063568115]","[80.18001556396484, -3.3017919063568115]",0,0.0530273914337158,0.6214783191680908,1684453151.483166,1684453152.0513957
2,ReLU,0.2855109437888972,2,4,4,2,1,4,off,0.0006083126418923,"[82.32035064697266, -2.476085901260376]","[82.32035064697266, -2.476085901260376]",1,0.0539698600769043,0.624415397644043,1684453151.484124,1684453152.054335
3,ReLU,0.7361373474434593,0,3,2,3,4,3,on,0.000254194827236,"[88.867431640625, -1.6364011764526367]","[88.867431640625, -1.6364011764526367]",2,0.0548377037048339,0.6225488185882568,1684453151.4849775,1684453152.0524669
4,Hardswish,0.1026991535917642,1,0,1,1,3,4,off,0.0004908044574869,"[72.31298065185547, -1.096835970878601]","[72.31298065185547, -1.096835970878601]",3,0.0554940700531005,0.619633674621582,1684453151.4856336,1684453152.0495553
5,Mish,0.6122277037945492,2,0,0,0,0,2,on,0.0004771066288746,"[90.653076171875, -1.853414535522461]","[90.653076171875, -1.853414535522461]",5,0.0570180416107177,0.6194469928741455,1684453151.487158,1684453152.049366
6,ReLU,0.5680416208363357,0,4,2,1,3,0,off,2.1698892607519743e-05,84.82892608642578,-1.2321823835372925,15,0.6753804683685303,0.6990995407104492,1684453152.1055183,1684453152.1289947
7,Mish,0.941354398568468,0,2,0,3,1,1,off,0.0002705747368956,"[83.9711685180664, -1.7027127742767334]","[83.9711685180664, -1.7027127742767334]",10,0.6686162948608398,0.6916725635528564,1684453152.09875,1684453152.12169
8,Mish,0.5972891788743978,4,1,3,3,0,1,off,0.0001645358590422,"[84.19498443603516, -2.1836440563201904]","[84.19498443603516, -2.1836440563201904]",11,0.670881986618042,0.6942198276519775,1684453152.1010158,1684453152.1242309
9,Hardswish,0.4124745023415089,3,2,3,1,1,2,off,0.0004301943695154,"[89.21773529052734, -1.1229398250579834]","[89.21773529052734, -1.1229398250579834]",12,0.6725118160247803,0.6959285736083984,1684453152.1026452,1684453152.1259394
10,Mish,0.8479761739027516,4,4,4,4,1,0,off,0.0004168731228728,"[57.922481536865234, -3.161121368408203]","[57.922481536865234, -3.161121368408203]",13,0.674562931060791,0.6980385780334473,1684453152.104697,1684453152.1280496
11,ReLU,0.0667406496606057,4,2,2,3,4,1,off,8.981139808066848e-05,"[84.8759994506836, -2.202869176864624]","[84.8759994506836, -2.202869176864624]",14,0.6752274036407471,0.6985213756561279,1684453152.105363,1684453152.1285293
12,Hardswish,0.3299487166246365,4,3,0,1,4,0,on,0.0005832455310525,"[74.18555450439453, -1.740652561187744]","[74.18555450439453, -1.740652561187744]",4,0.056516408920288,0.6270978450775146,1684453151.4866557,1684453152.057022
13,Mish,0.0191631733456593,1,2,3,3,1,0,on,4.696723628059739e-05,"[89.03500366210938, -2.2369143962860107]","[89.03500366210938, -2.2369143962860107]",7,0.0587062835693359,0.6274354457855225,1684453151.488844,1684453152.0573514
14,ReLU,0.0966383770078736,1,0,3,4,1,4,on,0.0008685281108678,"[85.7837142944336, -1.6591084003448486]","[85.7837142944336, -1.6591084003448486]",8,0.6671867370605469,0.6905138492584229,1684453152.0973215,1684453152.1205306
15,Mish,0.9209242465024798,1,4,4,3,2,4,on,0.0004846927908844,"[62.746726989746094, -3.493647813796997]","[62.746726989746094, -3.493647813796997]",9,0.6673426628112793,0.690831184387207,1684453152.0974786,1684453152.1208484
16,Hardswish,0.2554846051216404,1,1,1,0,1,3,off,0.0003052839645923,14.222304344177246,-0.5753976702690125,23,0.7478647232055664,0.7716090679168701,1684453152.1780107,1684453152.2015052
17,ReLU,0.1246926645000753,3,0,4,3,3,4,off,0.0008246583054581,"[83.52786254882812, -1.9253442287445068]","[83.52786254882812, -1.9253442287445068]",16,0.7371811866760254,0.7594621181488037,1684453152.167313,1684453152.1894844
