,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,valid-loss,latency
0,0.22623160412879936,0.0009604880728797487,ReLU,off,1.0,3.0,2.0,2.0,3.0,1.0,12.114410400390625,1.157546043395996
1,0.7094923913424926,0.000513489841651776,ReLU,off,3.0,1.0,3.0,3.0,3.0,0.0,14.12615966796875,0.9391928911209106
2,0.6764016996928273,0.0005985787683664803,Mish,off,3.0,0.0,2.0,3.0,2.0,3.0,11.769180297851562,3.508633852005005
3,0.015110227970180235,0.0009272581922645426,ReLU,on,2.0,1.0,3.0,0.0,2.0,1.0,9.682266235351562,0.965765655040741
4,0.4720963297328464,0.00047042426394501406,ReLU,on,0.0,1.0,1.0,2.0,2.0,0.0,11.361724853515625,0.8966062664985657
5,0.9459800466358759,0.0005441865359150132,Hardswish,off,0.0,1.0,2.0,3.0,1.0,2.0,11.97625732421875,1.0226809978485107
6,0.5986725253207612,0.0008196709960506019,Hardswish,on,0.0,2.0,0.0,1.0,1.0,1.0,17.685836791992188,0.624147891998291
7,0.9247633608507968,0.0001301030304757308,Mish,on,0.0,1.0,3.0,0.0,1.0,3.0,11.483352661132812,1.5221667289733887
8,0.37669264440760347,0.0002423372628873032,ReLU,on,2.0,3.0,3.0,3.0,2.0,1.0,9.370414733886719,1.2219868898391724
9,0.7621046183498424,0.0005235830035859865,ReLU,off,2.0,3.0,2.0,2.0,2.0,2.0,11.556724548339844,1.6085728406906128
10,0.5676507133512922,0.0005301462865041649,ReLU,on,2.0,1.0,1.0,1.0,2.0,2.0,16.59484100341797,1.1186786890029907
11,0.016911780726237634,0.0001701869892323434,ReLU,on,3.0,1.0,2.0,3.0,3.0,0.0,11.199897766113281,0.954720675945282
12,0.19927374106835113,0.00037516758791434235,Mish,off,3.0,1.0,3.0,1.0,2.0,2.0,10.771858215332031,2.847628116607666
13,0.5865587615730181,0.0008276718395135251,ReLU,on,1.0,3.0,1.0,2.0,1.0,0.0,26.49022674560547,0.8966159820556641
14,0.9918970951894626,0.0007480417970055438,ReLU,off,3.0,1.0,0.0,0.0,2.0,3.0,13.535560607910156,0.9919388890266418
15,0.04187484790459784,0.0007095214918913623,ReLU,off,2.0,0.0,1.0,0.0,0.0,3.0,11.033660888671875,0.6848195195198059
16,0.28271495676807695,0.000875976160016519,Hardswish,on,2.0,0.0,1.0,3.0,1.0,3.0,13.883895874023438,0.9719046354293823
17,0.664722149522677,0.0004280489452140335,Mish,off,3.0,2.0,2.0,0.0,1.0,1.0,11.922225952148438,2.2386200428009033
18,0.5952251810388374,0.0005563980950791247,Hardswish,off,0.0,3.0,2.0,0.0,3.0,2.0,11.184844970703125,1.041783332824707
19,0.493197501758896,0.00031992908076021144,Hardswish,off,3.0,2.0,3.0,3.0,2.0,1.0,11.415374755859375,1.2046455144882202
20,0.9257006550503892,0.000354445260454088,ReLU,on,0.0,2.0,3.0,3.0,2.0,1.0,11.716743469238281,1.0620139837265015
21,0.4102083300676702,0.0008225135855674039,Mish,on,0.0,1.0,1.0,2.0,1.0,2.0,17.003433227539062,2.006065845489502
22,0.5060059420545633,4.068818497680871e-05,Hardswish,on,0.0,3.0,0.0,2.0,2.0,3.0,9.941017150878906,1.0968303680419922
23,0.13053737705481303,0.00015602124454730296,ReLU,on,3.0,1.0,2.0,3.0,3.0,0.0,10.172889709472656,0.9712356925010681
24,0.9129197291106462,0.00039987785995819605,ReLU,on,3.0,3.0,0.0,1.0,1.0,2.0,10.969947814941406,0.9454647898674011
